# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AT0005R,Station_AT0005R,46.677776,12.972222,
AT0048R,Station_AT0048R,47.838612,14.441389,
CH0001G,Station_CH0001G,46.547501,7.985000,
CH0002R,Station_CH0002R,46.813057,6.944722,
CH0003R,Station_CH0003R,47.479721,8.904722,
CH0004R,Station_CH0004R,47.049721,6.979444,
CH0005R,Station_CH0005R,47.067501,8.463889,
CH0053R,Station_CH0053R,47.189613,8.175434,
CY0002R,Station_CY0002R,35.038101,33.057800,
CZ0003R,Station_CZ0003R,49.573395,15.080278,
CZ0005R,Station_CZ0005R,49.066666,13.600000,
DE0001R,Station_DE0001R,54.925556,8.309722,
DE0002R,Station_DE0002R,52.802223,10.759444,
DE0003R,Station_DE0003R,47.914722,7.908611,
DE0007R,Station_DE0007R,53.166668,13.033333,
DE0008R,Station_DE0008R,50.650002,10.766667,
DE0009R,Station_DE0009R,54.436798,12.724900,
DE0044R,Station_DE0044R,51.525501,12.927700,
DK0003R,Station_DK0003R,56.349998,9.600000,
DK0008R,Station_DK0008R,56.716667,11.516667,
DK0031R,Station_DK0031R,56.290424,8.427486,
EE0009R,Station_EE0009R,59.500000,25.900000,
EE0011R,Station_EE0011R,58.383331,21.816668,
ES0001R,Station_ES0001R,39.546940,-4.350560,
ES0005R,Station_ES0005R,42.720558,-8.923610,
ES0006R,Station_ES0006R,39.875278,4.316390,
ES0007R,Station_ES0007R,37.237221,-3.534170,
ES0008R,Station_ES0008R,43.439171,-4.850000,
ES0009R,Station_ES0009R,41.274170,-3.142500,
ES0010R,Station_ES0010R,42.319172,3.315830,
ES0011R,Station_ES0011R,38.472778,-6.923610,
ES0012R,Station_ES0012R,39.082779,-1.101110,
ES0013R,Station_ES0013R,41.238892,-5.897500,
ES0014R,Station_ES0014R,41.393890,0.734720,
ES0016R,Station_ES0016R,42.634720,-7.704720,
ES0017R,Station_ES0017R,37.051941,-6.555280,
FI0009R,Station_FI0009R,59.779167,21.377222,
FI0018R,Station_FI0018R,60.530022,27.667540,
FI0036R,Station_FI0036R,68.000000,24.237223,
FR0022R,Station_FR0022R,48.562222,5.505556,
GR0002R,Station_GR0002R,35.337799,25.669399,
HU0002R,Station_HU0002R,46.965332,19.544889,
HU0003R,Station_HU0003R,46.910000,16.320000,
IE0001R,Station_IE0001R,51.939720,-10.244444,
IE0005R,Station_IE0005R,52.868610,-6.924722,
IE0006R,Station_IE0006R,55.375000,-7.342778,
IE0008R,Station_IE0008R,52.178074,-6.364524,
IS0002R,Station_IS0002R,64.083336,-21.016666,
IT0004R,Station_IT0004R,45.799999,8.633333,
IT0015U,Station_IT0015U,40.335800,18.124500,
IT0019R,Station_IT0019R,42.805462,12.565645,
LT0015R,Station_LT0015R,55.376110,21.030556,
LV0010R,Station_LV0010R,56.161945,21.173056,
MD0013R,Station_MD0013R,46.488400,28.283501,
NL0010R,Station_NL0010R,51.541111,5.853611,
NO0002R,Station_NO0002R,58.388531,8.252000,
NO0015R,Station_NO0015R,65.833336,13.916667,
NO0039R,Station_NO0039R,62.783333,8.883333,
NO0042G,Station_NO0042G,78.907150,11.886680,
NO0056R,Station_NO0056R,60.372387,11.078142,
PL0002R,Station_PL0002R,51.814407,21.972420,
PL0003R,Station_PL0003R,50.736443,15.739500,
PL0004R,Station_PL0004R,54.753895,17.534264,
PL0005R,Station_PL0005R,54.150002,22.066668,
PL0009R,Station_PL0009R,53.662117,17.934017,
RS0005R,Station_RS0005R,43.400002,21.950001,
SE0005R,Station_SE0005R,63.849998,15.333333,
SE0014R,Station_SE0014R,57.394001,11.914000,
SE0020R,Station_SE0020R,56.042900,13.148000,
SE0022R,Station_SE0022R,60.085800,17.505280,
SI0008R,Station_SI0008R,45.566666,14.866667,
SK0002R,Station_SK0002R,48.933334,19.583332,
SK0006R,Station_SK0006R,49.049999,22.266666,
