# Site ID, Site Name, Latitude, Longitude, Altitude (m)
4101241,Station_4101241,40.810833,29.436552,
4101322,Station_4101322,40.845787,29.425142,
AD0942A,Station_AD0942A,42.509693,1.539138,
AD0944A,Station_AD0944A,42.516945,1.565250,
AD0945A,Station_AD0945A,42.534882,1.716986,
AL0203A,Station_AL0203A,40.625931,20.780180,
AL0204A,Station_AL0204A,40.403091,19.486200,
AL0205A,Station_AL0205A,41.319901,19.449200,
AL0206A,Station_AL0206A,42.313900,19.523420,
AL0207A,Station_AL0207A,41.110981,20.081699,
AT0ENK1,Station_AT0ENK1,48.391647,13.671101,
AT0ILL1,Station_AT0ILL1,47.770279,16.766390,
AT0KLH1,Station_AT0KLH1,46.767502,15.956111,
AT0PIL1,Station_AT0PIL1,48.721100,15.942222,
AT0SON1,Station_AT0SON1,47.054165,12.957778,
AT0VOR1,Station_AT0VOR1,46.679707,12.971942,
AT0ZOE2,Station_AT0ZOE2,47.838612,14.441389,
AT10001,Station_AT10001,47.840015,16.526665,
AT10002,Station_AT10002,47.304142,16.193031,
AT10003,Station_AT10003,48.109165,17.070278,
AT10035,Station_AT10035,46.942036,16.148272,
AT11007,Station_AT11007,47.465279,16.647223,
AT2F103,Station_AT2F103,46.653057,14.266111,
AT2F202,Station_AT2F202,46.841923,14.528902,
AT2KA21,Station_AT2KA21,46.620014,14.316990,
AT2KA41,Station_AT2KA41,46.629700,14.289142,
AT2KA61,Station_AT2KA61,46.652500,14.266111,
AT2KA71,Station_AT2KA71,46.626617,14.299145,
AT2M121,Station_AT2M121,46.558899,13.704967,
AT2SP10,Station_AT2SP10,46.935547,13.195533,
AT2SP18,Station_AT2SP18,46.801388,13.493889,
AT2VI12,Station_AT2VI12,46.611130,13.841152,
AT2VL52,Station_AT2VL52,46.683899,13.901968,
AT2WO15,Station_AT2WO15,46.834999,14.843611,
AT2WO25,Station_AT2WO25,46.763893,14.822202,
AT2WO35,Station_AT2WO35,46.708332,14.891667,
AT30065,Station_AT30065,48.195835,16.143612,
AT30101,Station_AT30101,48.120277,14.878333,
AT30103,Station_AT30103,48.179722,14.866667,
AT30104,Station_AT30104,48.192230,14.519540,
AT30201,Station_AT30201,47.959167,16.205833,
AT30202,Station_AT30202,48.106133,15.919404,
AT30301,Station_AT30301,48.143612,16.959444,
AT30302,Station_AT30302,48.050278,16.675278,
AT30401,Station_AT30401,48.334721,16.729445,
AT30403,Station_AT30403,48.392242,16.522264,
AT30407,Station_AT30407,48.230835,16.636389,
AT30502,Station_AT30502,48.878613,15.046667,
AT30599,Station_AT30599,48.308224,16.327944,
AT30601,Station_AT30601,48.301373,16.304691,
AT30603,Station_AT30603,48.086094,16.433331,
AT30701,Station_AT30701,48.528896,15.942760,
AT30801,Station_AT30801,48.724209,15.498420,
AT30902,Station_AT30902,48.385277,16.182222,
AT31102,Station_AT31102,47.855267,15.321935,
AT31204,Station_AT31204,48.213333,15.197222,
AT31301,Station_AT31301,48.578609,16.580555,
AT31401,Station_AT31401,48.086113,16.302221,
AT31402,Station_AT31402,48.125000,16.331388,
AT31406,Station_AT31406,48.083336,16.337212,
AT31413,Station_AT31413,48.083889,16.330278,
AT31502,Station_AT31502,47.670006,15.854726,
AT31701,Station_AT31701,48.370277,15.545834,
AT31703,Station_AT31703,48.353336,15.746928,
AT31901,Station_AT31901,48.331364,16.059452,
AT31902,Station_AT31902,48.331112,15.903611,
AT31904,Station_AT31904,48.276390,15.935000,
AT32101,Station_AT32101,47.608334,16.293056,
AT32301,Station_AT32301,48.211422,15.631674,
AT32302,Station_AT32302,48.209984,15.611103,
AT32401,Station_AT32401,47.814140,16.255014,
AT32501,Station_AT32501,48.408611,15.619166,
AT32604,Station_AT32604,48.044971,14.772256,
AT32701,Station_AT32701,48.145000,16.474445,
AT32702,Station_AT32702,48.145000,16.511110,
AT4S108,Station_AT4S108,48.531097,14.574717,
AT4S125,Station_AT4S125,47.716110,13.632222,
AT4S156,Station_AT4S156,48.257778,13.039722,
AT4S173,Station_AT4S173,48.278889,14.365833,
AT4S184,Station_AT4S184,48.306095,14.297496,
AT4S217,Station_AT4S217,48.209446,14.436914,
AT4S235,Station_AT4S235,47.815853,13.720737,
AT4S245,Station_AT4S245,47.974140,13.615047,
AT4S404,Station_AT4S404,48.225277,14.238889,
AT4S406,Station_AT4S406,48.165005,14.035547,
AT4S407,Station_AT4S407,48.000832,13.667500,
AT4S409,Station_AT4S409,48.050858,14.440598,
AT4S415,Station_AT4S415,48.323360,14.297766,
AT4S416,Station_AT4S416,48.274445,14.314722,
AT4S418,Station_AT4S418,47.971943,13.600833,
AT4S431,Station_AT4S431,48.302776,14.282778,
AT51000,Station_AT51000,47.797489,13.053599,
AT51066,Station_AT51066,47.805557,13.043333,
AT51200,Station_AT51200,47.818062,13.029973,
AT52000,Station_AT52000,47.683056,13.100000,
AT52055,Station_AT52055,47.650276,13.232778,
AT52100,Station_AT52100,47.666920,13.105881,
AT52300,Station_AT52300,47.691113,13.108037,
AT53055,Station_AT53055,47.936668,13.015833,
AT54057,Station_AT54057,47.351387,13.205556,
AT55018,Station_AT55018,47.154140,13.505002,
AT55032,Station_AT55032,47.125847,13.806927,
AT56072,Station_AT56072,47.326641,12.795124,
AT60018,Station_AT60018,47.075832,15.437500,
AT60036,Station_AT60036,47.066956,15.493603,
AT60106,Station_AT60106,47.061695,15.079210,
AT60107,Station_AT60107,47.044987,15.149998,
AT60114,Station_AT60114,47.192490,14.753302,
AT60118,Station_AT60118,47.178333,14.676666,
AT60119,Station_AT60119,47.210251,14.824448,
AT60135,Station_AT60135,47.113056,15.339167,
AT60136,Station_AT60136,47.120277,15.351111,
AT60137,Station_AT60137,47.059170,15.016667,
AT60138,Station_AT60138,47.095524,15.414192,
AT60139,Station_AT60139,47.069710,15.404131,
AT60141,Station_AT60141,47.359425,15.098884,
AT60142,Station_AT60142,47.375557,15.074500,
AT60143,Station_AT60143,47.382500,15.089167,
AT60145,Station_AT60145,47.445580,15.290315,
AT60150,Station_AT60150,47.404984,15.360832,
AT60151,Station_AT60151,46.873066,15.495040,
AT60156,Station_AT60156,47.348045,15.881945,
AT60157,Station_AT60157,47.630562,13.796667,
AT60164,Station_AT60164,47.055611,15.416603,
AT60170,Station_AT60170,47.041668,15.433056,
AT60171,Station_AT60171,47.059429,15.466115,
