# Site ID, Site Name, Latitude, Longitude, Altitude (m)
4101241,Station_4101241,40.810833,29.436552,
4101322,Station_4101322,40.845787,29.425142,
AT0ILL1,Station_AT0ILL1,47.770279,16.766390,
AT10001,Station_AT10001,47.840015,16.526665,
AT10003,Station_AT10003,48.109165,17.070278,
AT30065,Station_AT30065,48.195835,16.143612,
AT30201,Station_AT30201,47.959167,16.205833,
AT30202,Station_AT30202,48.106133,15.919404,
AT30301,Station_AT30301,48.143612,16.959444,
AT30302,Station_AT30302,48.050278,16.675278,
AT30401,Station_AT30401,48.334721,16.729445,
AT30403,Station_AT30403,48.392242,16.522264,
AT30407,Station_AT30407,48.230835,16.636389,
AT30599,Station_AT30599,48.308224,16.327944,
AT30601,Station_AT30601,48.301373,16.304691,
AT30603,Station_AT30603,48.086094,16.433331,
AT30701,Station_AT30701,48.528896,15.942760,
AT30902,Station_AT30902,48.385277,16.182222,
AT31301,Station_AT31301,48.578609,16.580555,
AT31401,Station_AT31401,48.086113,16.302221,
AT31402,Station_AT31402,48.125000,16.331388,
AT31406,Station_AT31406,48.083336,16.337212,
AT31413,Station_AT31413,48.083889,16.330278,
AT31703,Station_AT31703,48.353336,15.746928,
AT31901,Station_AT31901,48.331364,16.059452,
AT31902,Station_AT31902,48.331112,15.903611,
AT31904,Station_AT31904,48.276390,15.935000,
AT32401,Station_AT32401,47.814140,16.255014,
AT32701,Station_AT32701,48.145000,16.474445,
AT32702,Station_AT32702,48.145000,16.511110,
AT900KE,Station_AT900KE,48.156918,16.475552,
AT900ZA,Station_AT900ZA,48.248993,16.357079,
AT90A23,Station_AT90A23,48.203060,16.434549,
AT90AKC,Station_AT90AKC,48.219517,16.345552,
AT90FLO,Station_AT90FLO,48.260841,16.396950,
AT90LAA,Station_AT90LAA,48.161411,16.392817,
AT90LOB,Station_AT90LOB,48.162071,16.525614,
AT90MBA,Station_AT90MBA,48.188374,16.300020,
AT90TAB,Station_AT90TAB,48.216740,16.380919,
AT9BELG,Station_AT9BELG,48.174355,16.361418,
AT9GAUD,Station_AT9GAUD,48.187145,16.339331,
AT9JAEG,Station_AT9JAEG,48.270157,16.297264,
AT9KEND,Station_AT9KEND,48.205002,16.309750,
AT9LIES,Station_AT9LIES,48.138035,16.296698,
AT9SCHA,Station_AT9SCHA,48.235371,16.301563,
AT9STAD,Station_AT9STAD,48.226360,16.458345,
AT9STEF,Station_AT9STEF,48.208149,16.373253,
BELAL01,Station_BELAL01,51.236195,4.385224,
BELAL03,Station_BELAL03,51.253963,4.201460,
BELAL05,Station_BELAL05,51.263119,4.278890,
BELHB23,Station_BELHB23,51.170300,4.341005,
BELRB01,Station_BELRB01,51.089397,4.331232,
BELSZ02,Station_BELSZ02,50.913021,4.512184,
BETB001,Station_BETB001,50.845779,4.368113,
BETB004,Station_BETB004,50.852051,4.347777,
BETB006,Station_BETB006,50.838638,4.374388,
BETB011,Station_BETB011,50.857807,4.288706,
BETE007,Station_BETE007,50.795300,4.252628,
BETE008,Station_BETE008,50.926094,4.395920,
BETE009,Station_BETE009,50.954918,4.435417,
BETE704,Station_BETE704,51.176102,3.869928,
BETM802,Station_BETM802,51.260990,4.424399,
BETMEU1,Station_BETMEU1,50.895000,4.395717,
BETN035,Station_BETN035,50.977543,4.837618,
BETN040,Station_BETN040,50.768139,4.225194,
BETN043,Station_BETN043,50.883694,4.382977,
BETN051,Station_BETN051,50.798916,3.930293,
BETN063,Station_BETN063,50.655437,4.668288,
BETR001,Station_BETR001,50.849712,4.334104,
BETR002,Station_BETR002,50.825127,4.384562,
BETR010,Station_BETR010,50.865108,4.428427,
BETR012,Station_BETR012,50.796650,4.358624,
BETR020,Station_BETR020,50.941387,4.436721,
BETR501,Station_BETR501,50.409313,4.452172,
BETR502,Station_BETR502,50.428997,4.458681,
BETR510,Station_BETR510,50.416435,4.521130,
BETR512,Station_BETR512,50.407810,4.395897,
BETR701,Station_BETR701,51.058331,3.729298,
BETR702,Station_BETR702,51.040688,3.734972,
BETR710,Station_BETR710,51.061279,3.775262,
BETR801,Station_BETR801,51.209663,4.431821,
BETR802,Station_BETR802,51.209518,4.431792,
BETR803,Station_BETR803,51.228630,4.428454,
BETR805,Station_BETR805,51.208229,4.421559,
BETR811,Station_BETR811,51.252102,4.491362,
BETR817,Station_BETR817,51.177132,4.417949,
BETR823,Station_BETR823,51.213249,4.239931,
BETR834,Station_BETR834,51.091999,4.380104,
BETR892,Station_BETR892,51.263039,4.278890,
BETR893,Station_BETR893,51.281380,4.385771,
BETR897,Station_BETR897,51.250107,4.342104,
BETWOL1,Station_BETWOL1,50.856712,4.425761,
BG0040A,Station_BG0040A,42.732292,23.310972,
BG0050A,Station_BG0050A,42.680557,23.296785,
BG0052A,Station_BG0052A,42.666508,23.400164,
BG0070A,Station_BG0070A,42.637192,23.243864,
BG0073A,Station_BG0073A,42.669796,23.268402,
BG0079A,Station_BG0079A,42.655487,23.383270,
BG0080A,Station_BG0080A,42.610336,23.032190,
CZ0ABRE,Station_CZ0ABRE,50.084385,14.380116,
CZ0ACHO,Station_CZ0ACHO,50.030170,14.517450,
CZ0AKAL,Station_CZ0AKAL,50.094227,14.442035,
CZ0AKOB,Station_CZ0AKOB,50.122166,14.467547,
CZ0ALEG,Station_CZ0ALEG,50.072388,14.430673,
CZ0ALIB,Station_CZ0ALIB,50.007298,14.445898,
CZ0APRU,Station_CZ0APRU,50.062286,14.537796,
CZ0AREP,Station_CZ0AREP,50.088058,14.429190,
CZ0ARIE,Station_CZ0ARIE,50.081486,14.442664,
CZ0ASMI,Station_CZ0ASMI,50.073128,14.398108,
CZ0ASTO,Station_CZ0ASTO,50.046131,14.331413,
CZ0ASUC,Station_CZ0ASUC,50.126545,14.384633,
CZ0AVRS,Station_CZ0AVRS,50.066429,14.446152,
CZ0AVYN,Station_CZ0AVYN,50.111080,14.503096,
CZ0SBER,Station_CZ0SBER,49.957912,14.058275,
CZ0SKLM,Station_CZ0SKLM,50.143875,14.101753,
CZ0SKLS,Station_CZ0SKLS,50.167412,14.106048,
CZ0SONR,Station_CZ0SONR,49.913506,14.782586,
CZ0STCS,Station_CZ0STCS,49.918503,14.094489,
CZ0UDOK,Station_CZ0UDOK,50.458855,14.170162,
DEBB021,Station_DEBB021,52.401352,13.059945,
DEBB053,Station_DEBB053,52.563835,14.015252,
