# Site ID, Site Name, Latitude, Longitude, Altitude (m)
000050113,Station_000050113,45.547199,-73.747200,
000050119,Station_000050119,45.523102,-73.493896,
000050204,Station_000050204,45.436901,-75.726097,
000050308,Station_000050308,46.821400,-71.220802,
000050311,Station_000050311,46.774170,-71.369720,
000052401,Station_000052401,45.622200,-76.017799,
000060104,Station_000060104,45.432201,-75.676399,
000060512,Station_000060512,43.256100,-79.861702,
000061402,Station_000061402,43.140301,-80.296097,
000070118,Station_000070118,49.931900,-96.863098,
000070119,Station_000070119,49.948898,-97.396400,
000100110,Station_000100110,49.279400,-122.971100,
000100111,Station_000100111,49.280830,-122.849167,
000100119,Station_000100119,49.215279,-122.985558,
000100125,Station_000100125,49.158329,-122.901672,
000100127,Station_000100127,49.132778,-122.694168,
000100128,Station_000100128,49.141392,-123.108330,
000100132,Station_000100132,49.323891,-123.083611,
000100134,Station_000100134,49.186390,-123.152222,
000100135,Station_000100135,49.288059,-122.791389,
000100140,Station_000100140,49.009869,-123.082016,
000101202,Station_000101202,49.245281,-122.708893,
000101301,Station_000101301,49.095558,-122.566940,
000101501,Station_000101501,49.215000,-122.581940,
000105301,Station_000105301,49.441700,-123.491699,
040130019,Station_040130019,33.483799,-112.142601,
040131003,Station_040131003,33.410500,-111.865097,
040131004,Station_040131004,33.560299,-112.066299,
040131010,Station_040131010,33.452202,-111.733101,
040131030,Station_040131030,33.629200,-111.676903,
040132001,Station_040132001,33.569401,-112.191498,
040132005,Station_040132005,33.712299,-111.852699,
040133002,Station_040133002,33.457901,-112.045998,
040133003,Station_040133003,33.479698,-111.917198,
040134003,Station_040134003,33.403301,-112.073097,
040134004,Station_040134004,33.299000,-111.884300,
040134005,Station_040134005,33.412399,-111.934700,
040134006,Station_040134006,33.309944,-111.720032,
040134008,Station_040134008,33.821701,-112.017403,
040134009,Station_040134009,33.406399,-112.144302,
040134010,Station_040134010,33.636902,-112.339401,
040134016,Station_040134016,33.686741,-112.294167,
040134020,Station_040134020,33.461807,-112.128044,
040137020,Station_040137020,33.488300,-111.855003,
040137021,Station_040137021,33.507900,-111.754601,
040137022,Station_040137022,33.474499,-111.805099,
040137024,Station_040137024,33.507999,-111.837799,
040139702,Station_040139702,33.545502,-111.609299,
040139704,Station_040139704,33.611000,-111.725304,
040139812,Station_040139812,33.426498,-112.118103,
040139997,Station_040139997,33.503601,-112.095001,
040213016,Station_040213016,33.061150,-112.052040,
060010009,Station_060010009,37.743061,-122.169907,
060010011,Station_060010011,37.814800,-122.282402,
060010012,Station_060010012,37.793625,-122.263374,
060010013,Station_060010013,37.864765,-122.302742,
060010015,Station_060010015,37.701221,-121.903023,
060012001,Station_060012001,37.654701,-122.031700,
060130002,Station_060130002,37.938301,-122.025002,
060130006,Station_060130006,37.947800,-122.363602,
060131004,Station_060131004,37.960400,-122.357101,
060370016,Station_060370016,34.143902,-117.850800,
060370113,Station_060370113,34.051098,-118.456383,
060371103,Station_060371103,34.066429,-118.226753,
060371201,Station_060371201,34.199200,-118.533096,
060371302,Station_060371302,33.901402,-118.205002,
060371602,Station_060371602,34.010284,-118.068481,
060371701,Station_060371701,34.066700,-117.750603,
060372005,Station_060372005,34.132629,-118.127144,
060374008,Station_060374008,33.859661,-118.200706,
060376012,Station_060376012,34.383301,-118.528297,
060410001,Station_060410001,37.972198,-122.518898,
060590007,Station_060590007,33.830585,-117.938507,
060590008,Station_060590008,33.819305,-117.918762,
060595001,Station_060595001,33.925060,-117.952583,
060730001,Station_060730001,32.631229,-117.059074,
060731006,Station_060731006,32.842297,-116.768326,
060731014,Station_060731014,32.579361,-116.929489,
060731016,Station_060731016,32.845467,-117.123894,
060731022,Station_060731022,32.789562,-116.944221,
