# Site ID, Site Name, Latitude, Longitude, Altitude (m)
1001A,Station_1001A,39.867298,116.365997,
1002A,Station_1002A,40.286499,116.169998,
1003A,Station_1003A,39.952202,116.433998,
1004A,Station_1004A,39.874500,116.433998,
1005A,Station_1005A,39.971600,116.473000,
1006A,Station_1006A,39.942501,116.361000,
1007A,Station_1007A,39.993401,116.315002,
1008A,Station_1008A,40.143799,116.720001,
1009A,Station_1009A,40.393700,116.643997,
1010A,Station_1010A,40.195202,116.230003,
1011A,Station_1011A,40.003101,116.406998,
1012A,Station_1012A,39.927898,116.224998,
1013A,Station_1013A,39.097000,117.151001,
1014A,Station_1014A,39.173000,117.193001,
1015A,Station_1015A,39.165401,117.144997,
1016A,Station_1016A,39.120499,117.183998,
1017A,Station_1017A,39.108200,117.237000,
1018A,Station_1018A,39.092701,117.202003,
1019A,Station_1019A,39.226101,117.184998,
1020A,Station_1020A,39.133701,117.268997,
1021A,Station_1021A,39.087700,117.306999,
1022A,Station_1022A,39.060001,117.221001,
1023A,Station_1023A,39.034302,117.707001,
1024A,Station_1024A,38.839401,117.457001,
1025A,Station_1025A,39.124001,117.401001,
1026A,Station_1026A,39.158699,117.764000,
1027A,Station_1027A,38.919399,117.156998,
1029A,Station_1029A,38.044601,114.442001,
1030A,Station_1030A,38.032902,114.592003,
1031A,Station_1031A,38.166000,114.439003,
1032A,Station_1032A,38.004799,114.455002,
1033A,Station_1033A,38.016102,114.539001,
1034A,Station_1034A,38.045700,114.509003,
1035A,Station_1035A,37.892502,114.339996,
1036A,Station_1036A,39.623299,118.153000,
1037A,Station_1037A,39.637402,118.137001,
1038A,Station_1038A,39.633301,118.171997,
1039A,Station_1039A,39.628399,118.211998,
1040A,Station_1040A,39.662800,118.302002,
1041A,Station_1041A,39.623199,118.193001,
1042A,Station_1042A,39.835300,119.514000,
1043A,Station_1043A,40.006699,119.753998,
1044A,Station_1044A,39.950001,119.589996,
1046A,Station_1046A,39.934399,119.525002,
1047A,Station_1047A,36.611401,114.500000,
1048A,Station_1048A,36.610600,114.529999,
1049A,Station_1049A,36.571098,114.490997,
1050A,Station_1050A,36.616100,114.526001,
1051A,Station_1051A,38.856098,115.480003,
1052A,Station_1052A,38.889198,115.510002,
1053A,Station_1053A,38.905800,115.459000,
1054A,Station_1054A,38.834202,115.447998,
1055A,Station_1055A,38.866402,115.429001,
1056A,Station_1056A,38.864399,115.507004,
1057A,Station_1057A,40.816700,114.849998,
1059A,Station_1059A,40.799999,114.849998,
1060A,Station_1060A,40.762199,114.889999,
1061A,Station_1061A,40.866699,114.866997,
1062A,Station_1062A,40.908298,117.956001,
1063A,Station_1063A,40.977200,117.914001,
1064A,Station_1064A,40.928001,117.952003,
1065A,Station_1065A,40.966099,117.805000,
1066A,Station_1066A,40.991901,117.918999,
1067A,Station_1067A,39.511299,116.670998,
1068A,Station_1068A,39.567101,116.760002,
1070A,Station_1070A,39.527199,116.724998,
1071A,Station_1071A,38.283600,116.872002,
1072A,Station_1072A,38.312801,116.845001,
1073A,Station_1073A,38.310001,116.861000,
1074A,Station_1074A,37.750500,115.682999,
1075A,Station_1075A,37.742199,115.655998,
1076A,Station_1076A,37.717800,115.713997,
1077A,Station_1077A,37.083900,114.468002,
1078A,Station_1078A,37.034401,114.516998,
1079A,Station_1079A,37.068001,114.500999,
1080A,Station_1080A,37.055599,114.473000,
1081A,Station_1081A,37.887299,112.522003,
1083A,Station_1083A,38.010799,112.433998,
1084A,Station_1084A,37.712399,112.469002,
1085A,Station_1085A,37.781399,112.476997,
1086A,Station_1086A,37.869202,112.537003,
1087A,Station_1087A,37.819500,112.570000,
1088A,Station_1088A,37.985401,112.549004,
1089A,Station_1089A,37.780499,112.487999,
1090A,Station_1090A,40.757900,111.651001,
1091A,Station_1091A,40.803299,111.657997,
1092A,Station_1092A,40.845200,111.658997,
1093A,Station_1093A,40.814400,111.608002,
1094A,Station_1094A,40.836899,111.750999,
1095A,Station_1095A,40.794800,111.695999,
1096A,Station_1096A,40.786598,111.551003,
1097A,Station_1097A,40.761200,111.717003,
1098A,Station_1098A,41.833302,123.641998,
1099A,Station_1099A,41.756100,123.535004,
1100A,Station_1100A,41.708900,123.439003,
1102A,Station_1102A,41.833599,123.542000,
1103A,Station_1103A,41.847198,123.428001,
1104A,Station_1104A,41.764999,123.410004,
1105A,Station_1105A,41.777500,123.477997,
1106A,Station_1106A,41.797199,123.400002,
1108A,Station_1108A,41.828300,123.355003,
1109A,Station_1109A,38.973900,121.612000,
1110A,Station_1110A,38.951099,121.565002,
1111A,Station_1111A,38.884998,121.564003,
1112A,Station_1112A,38.911900,121.633003,
1113A,Station_1113A,38.863899,121.625000,
1114A,Station_1114A,38.856098,121.517998,
1115A,Station_1115A,38.808102,121.259003,
1116A,Station_1116A,39.131100,121.748001,
1117A,Station_1117A,39.051102,121.777000,
1118A,Station_1118A,39.063099,121.976997,
1119A,Station_1119A,43.916698,125.322998,
1120A,Station_1120A,43.910000,125.287003,
1121A,Station_1121A,43.840000,125.278999,
1122A,Station_1122A,43.840000,125.278999,
1123A,Station_1123A,43.869400,125.324997,
1124A,Station_1124A,43.787800,125.454002,
1125A,Station_1125A,43.549999,125.633003,
1126A,Station_1126A,43.866699,125.417000,
1127A,Station_1127A,43.816700,125.250000,
1128A,Station_1128A,43.849998,125.217003,
1129A,Station_1129A,45.755001,126.542000,
1130A,Station_1130A,45.816700,126.560997,
1131A,Station_1131A,45.542198,126.978996,
1132A,Station_1132A,45.722198,126.598999,
1133A,Station_1133A,45.773300,126.689003,
1134A,Station_1134A,45.766701,126.635002,
1135A,Station_1135A,45.731899,126.684998,
1136A,Station_1136A,45.725800,126.646004,
1137A,Station_1137A,45.747799,126.593002,
1138A,Station_1138A,45.610001,126.614998,
1139A,Station_1139A,45.981899,126.611000,
1140A,Station_1140A,45.684200,126.621002,
1141A,Station_1141A,31.238001,121.400002,
1142A,Station_1142A,31.203600,121.477997,
1143A,Station_1143A,31.300800,121.467003,
1144A,Station_1144A,31.165400,121.412003,
1145A,Station_1145A,31.265900,121.536003,
1146A,Station_1146A,31.093500,120.977997,
1147A,Station_1147A,31.226101,121.425003,
1148A,Station_1148A,31.190701,121.703003,
1149A,Station_1149A,31.228399,121.532997,
1150A,Station_1150A,31.207100,121.577003,
1151A,Station_1151A,32.108299,118.803001,
1152A,Station_1152A,32.057201,118.749001,
1153A,Station_1153A,32.070000,118.774002,
1154A,Station_1154A,32.014400,118.777000,
1155A,Station_1155A,32.031399,118.803001,
1156A,Station_1156A,32.077499,118.794998,
1157A,Station_1157A,32.087799,118.625999,
1158A,Station_1158A,32.009201,118.737000,
1159A,Station_1159A,32.105000,118.906998,
1160A,Station_1160A,31.247200,120.560997,
1161A,Station_1161A,31.286400,120.627998,
1162A,Station_1162A,31.301901,120.591003,
1163A,Station_1163A,31.326401,120.596001,
1164A,Station_1164A,31.270300,120.612999,
1165A,Station_1165A,31.299400,120.542999,
1166A,Station_1166A,31.309700,120.668999,
1167A,Station_1167A,31.370800,120.640999,
1168A,Station_1168A,31.959999,120.913002,
1169A,Station_1169A,32.000500,120.860001,
1170A,Station_1170A,32.020000,120.870003,
1171A,Station_1171A,31.930000,120.940002,
1172A,Station_1172A,32.041698,120.809998,
1173A,Station_1173A,34.588501,119.176003,
1177A,Station_1177A,34.276100,117.167000,
1178A,Station_1178A,34.241699,117.192001,
1180A,Station_1180A,34.215302,117.255997,
1181A,Station_1181A,34.291100,117.244003,
1182A,Station_1182A,34.277802,117.292999,
1184A,Station_1184A,32.387798,119.459999,
1185A,Station_1185A,32.410000,119.403999,
1186A,Station_1186A,32.376099,119.389000,
1187A,Station_1187A,32.403301,119.439003,
1188A,Station_1188A,31.486700,120.268997,
1189A,Station_1189A,31.621901,120.275002,
1190A,Station_1190A,31.559999,120.293999,
1191A,Station_1191A,31.503099,120.241997,
1192A,Station_1192A,31.584801,120.353996,
1193A,Station_1193A,31.547501,120.353996,
1194A,Station_1194A,31.563101,120.245003,
1195A,Station_1195A,31.684200,120.288002,
1196A,Station_1196A,31.758600,119.996002,
1197A,Station_1197A,31.778601,119.932999,
1198A,Station_1198A,31.808901,119.961998,
1199A,Station_1199A,31.763800,120.039001,
1200A,Station_1200A,31.703899,119.934998,
1201A,Station_1201A,31.910801,119.904999,
1203A,Station_1203A,32.188301,119.680000,
1204A,Station_1204A,32.215000,119.490997,
1205A,Station_1205A,32.131901,119.430000,
1206A,Station_1206A,32.486698,119.900002,
1207A,Station_1207A,32.461102,119.921997,
1209A,Station_1209A,32.463902,119.888000,
1210A,Station_1210A,33.598099,119.036003,
1211A,Station_1211A,33.575001,119.007004,
1212A,Station_1212A,33.606701,118.988998,
1213A,Station_1213A,33.503899,119.135002,
1214A,Station_1214A,33.626999,119.012001,
1215A,Station_1215A,33.402199,120.117996,
1216A,Station_1216A,33.394199,120.155998,
1218A,Station_1218A,33.394699,120.224998,
1220A,Station_1220A,33.952801,118.292999,
1221A,Station_1221A,33.959202,118.244003,
1222A,Station_1222A,33.950600,118.320999,
1223A,Station_1223A,30.209999,120.210999,
1224A,Station_1224A,30.274700,120.063004,
1225A,Station_1225A,29.635000,119.026001,
1226A,Station_1226A,30.305799,120.348000,
1227A,Station_1227A,30.245600,120.126999,
1228A,Station_1228A,30.269199,120.190002,
1229A,Station_1229A,30.289700,120.156998,
1230A,Station_1230A,30.311899,120.120003,
1231A,Station_1231A,30.418301,120.301003,
1232A,Station_1232A,30.181900,120.269997,
1233A,Station_1233A,30.180799,120.087997,
1234A,Station_1234A,29.910801,121.835999,
1235A,Station_1235A,29.820801,121.559998,
1236A,Station_1236A,29.957199,121.712997,
1237A,Station_1237A,29.890600,121.554001,
1239A,Station_1239A,29.773600,121.633003,
1240A,Station_1240A,29.863300,121.585999,
1241A,Station_1241A,29.850599,121.524002,
1242A,Station_1242A,28.008900,120.634003,
1243A,Station_1243A,27.993900,120.677002,
1244A,Station_1244A,27.974701,120.760002,
1245A,Station_1245A,28.016701,120.670998,
1246A,Station_1246A,30.091101,120.598000,
1247A,Station_1247A,29.991899,120.605003,
1250A,Station_1250A,30.824400,120.070000,
1252A,Station_1252A,30.794600,120.744003,
1253A,Station_1253A,30.747801,120.725998,
1255A,Station_1255A,28.645901,121.273003,
1256A,Station_1256A,28.654200,121.418999,
1257A,Station_1257A,28.577299,121.376999,
1258A,Station_1258A,30.020300,122.122002,
1259A,Station_1259A,29.955799,122.308998,
1260A,Station_1260A,29.994400,122.190002,
1262A,Station_1262A,29.077000,119.647003,
1263A,Station_1263A,29.102900,119.685997,
1264A,Station_1264A,28.940399,118.871002,
1265A,Station_1265A,28.966400,118.871002,
1266A,Station_1266A,28.974501,118.855003,
1267A,Station_1267A,28.451401,119.914001,
1268A,Station_1268A,28.458599,119.930000,
1269A,Station_1269A,28.423100,119.878998,
1270A,Station_1270A,31.784800,117.195999,
1271A,Station_1271A,31.876600,117.306999,
1272A,Station_1272A,31.870600,117.259003,
1273A,Station_1273A,31.905100,117.160004,
1274A,Station_1274A,31.857201,117.250000,
1275A,Station_1275A,31.943800,117.265999,
1276A,Station_1276A,31.858500,117.335999,
1277A,Station_1277A,31.795601,117.302002,
1278A,Station_1278A,31.738600,117.278000,
1279A,Station_1279A,31.851601,117.124001,
1280A,Station_1280A,26.054199,119.389000,
1282A,Station_1282A,26.039200,119.303001,
1283A,Station_1283A,26.109200,119.299004,
1284A,Station_1284A,26.079700,119.267998,
1285A,Station_1285A,26.075300,119.315002,
1286A,Station_1286A,24.818100,118.156998,
1287A,Station_1287A,24.476700,118.151001,
1288A,Station_1288A,24.445801,118.064003,
1290A,Station_1290A,28.684401,115.892998,
1291A,Station_1291A,28.698000,115.888000,
1292A,Station_1292A,28.744200,115.813004,
1293A,Station_1293A,28.696899,115.973000,
1294A,Station_1294A,28.686899,115.851997,
1295A,Station_1295A,28.642500,115.891998,
1296A,Station_1296A,28.799400,115.741997,
1298A,Station_1298A,28.684401,115.931000,
1299A,Station_1299A,36.611401,116.987999,
1300A,Station_1300A,36.669998,116.930000,
1301A,Station_1301A,36.673901,117.113998,
1302A,Station_1302A,36.687199,116.988998,
1303A,Station_1303A,36.685299,117.051003,
1304A,Station_1304A,36.648899,116.943001,
1305A,Station_1305A,36.662201,117.049004,
1306A,Station_1306A,36.533600,116.734001,
1307A,Station_1307A,36.240299,120.666000,
1308A,Station_1308A,36.184700,120.385002,
1309A,Station_1309A,36.069901,120.341003,
1310A,Station_1310A,36.065399,120.407997,
1311A,Station_1311A,36.119900,120.357002,
1312A,Station_1312A,36.054298,120.299004,
1313A,Station_1313A,36.085800,120.452003,
