# Site ID, Site Name, Latitude, Longitude, Altitude (m)
1001A,Station_1001A,39.867298,116.365997,
1002A,Station_1002A,40.286499,116.169998,
1003A,Station_1003A,39.952202,116.433998,
1004A,Station_1004A,39.874500,116.433998,
1005A,Station_1005A,39.971600,116.473000,
1006A,Station_1006A,39.942501,116.361000,
1007A,Station_1007A,39.993401,116.315002,
1008A,Station_1008A,40.143799,116.720001,
1010A,Station_1010A,40.195202,116.230003,
1011A,Station_1011A,40.003101,116.406998,
1012A,Station_1012A,39.927898,116.224998,
1013A,Station_1013A,39.097000,117.151001,
1014A,Station_1014A,39.173000,117.193001,
1015A,Station_1015A,39.165401,117.144997,
1016A,Station_1016A,39.120499,117.183998,
1017A,Station_1017A,39.108200,117.237000,
1018A,Station_1018A,39.092701,117.202003,
1019A,Station_1019A,39.226101,117.184998,
1020A,Station_1020A,39.133701,117.268997,
1021A,Station_1021A,39.087700,117.306999,
1022A,Station_1022A,39.060001,117.221001,
1023A,Station_1023A,39.034302,117.707001,
1024A,Station_1024A,38.839401,117.457001,
1025A,Station_1025A,39.124001,117.401001,
1026A,Station_1026A,39.158699,117.764000,
1027A,Station_1027A,38.919399,117.156998,
1029A,Station_1029A,38.044601,114.442001,
1030A,Station_1030A,38.032902,114.592003,
1031A,Station_1031A,38.166000,114.439003,
1032A,Station_1032A,38.004799,114.455002,
1033A,Station_1033A,38.016102,114.539001,
1034A,Station_1034A,38.045700,114.509003,
1035A,Station_1035A,37.892502,114.339996,
1067A,Station_1067A,39.511299,116.670998,
1068A,Station_1068A,39.567101,116.760002,
1070A,Station_1070A,39.527199,116.724998,
1119A,Station_1119A,43.916698,125.322998,
1120A,Station_1120A,43.910000,125.287003,
1121A,Station_1121A,43.840000,125.278999,
1122A,Station_1122A,43.840000,125.278999,
1123A,Station_1123A,43.869400,125.324997,
1124A,Station_1124A,43.787800,125.454002,
1125A,Station_1125A,43.549999,125.633003,
1126A,Station_1126A,43.866699,125.417000,
1127A,Station_1127A,43.816700,125.250000,
1128A,Station_1128A,43.849998,125.217003,
1129A,Station_1129A,45.755001,126.542000,
1130A,Station_1130A,45.816700,126.560997,
1131A,Station_1131A,45.542198,126.978996,
1132A,Station_1132A,45.722198,126.598999,
1133A,Station_1133A,45.773300,126.689003,
1134A,Station_1134A,45.766701,126.635002,
1135A,Station_1135A,45.731899,126.684998,
1136A,Station_1136A,45.725800,126.646004,
1137A,Station_1137A,45.747799,126.593002,
1138A,Station_1138A,45.610001,126.614998,
1139A,Station_1139A,45.981899,126.611000,
1140A,Station_1140A,45.684200,126.621002,
1141A,Station_1141A,31.238001,121.400002,
1142A,Station_1142A,31.203600,121.477997,
1143A,Station_1143A,31.300800,121.467003,
1144A,Station_1144A,31.165400,121.412003,
1145A,Station_1145A,31.265900,121.536003,
1146A,Station_1146A,31.093500,120.977997,
1147A,Station_1147A,31.226101,121.425003,
1148A,Station_1148A,31.190701,121.703003,
1149A,Station_1149A,31.228399,121.532997,
1150A,Station_1150A,31.207100,121.577003,
1151A,Station_1151A,32.108299,118.803001,
1152A,Station_1152A,32.057201,118.749001,
1153A,Station_1153A,32.070000,118.774002,
1154A,Station_1154A,32.014400,118.777000,
1155A,Station_1155A,32.031399,118.803001,
1156A,Station_1156A,32.077499,118.794998,
1157A,Station_1157A,32.087799,118.625999,
1158A,Station_1158A,32.009201,118.737000,
1159A,Station_1159A,32.105000,118.906998,
1223A,Station_1223A,30.209999,120.210999,
1224A,Station_1224A,30.274700,120.063004,
1226A,Station_1226A,30.305799,120.348000,
1227A,Station_1227A,30.245600,120.126999,
1228A,Station_1228A,30.269199,120.190002,
1229A,Station_1229A,30.289700,120.156998,
1230A,Station_1230A,30.311899,120.120003,
1231A,Station_1231A,30.418301,120.301003,
1232A,Station_1232A,30.181900,120.269997,
1233A,Station_1233A,30.180799,120.087997,
1234A,Station_1234A,29.910801,121.835999,
1235A,Station_1235A,29.820801,121.559998,
1236A,Station_1236A,29.957199,121.712997,
1237A,Station_1237A,29.890600,121.554001,
1239A,Station_1239A,29.773600,121.633003,
1240A,Station_1240A,29.863300,121.585999,
1241A,Station_1241A,29.850599,121.524002,
1246A,Station_1246A,30.091101,120.598000,
1299A,Station_1299A,36.611401,116.987999,
1300A,Station_1300A,36.669998,116.930000,
1301A,Station_1301A,36.673901,117.113998,
1302A,Station_1302A,36.687199,116.988998,
1303A,Station_1303A,36.685299,117.051003,
1304A,Station_1304A,36.648899,116.943001,
1305A,Station_1305A,36.662201,117.049004,
1306A,Station_1306A,36.533600,116.734001,
1316A,Station_1316A,34.754501,113.681000,
1317A,Station_1317A,34.774502,113.640999,
1318A,Station_1318A,34.801899,113.675003,
1319A,Station_1319A,34.808300,113.565002,
1320A,Station_1320A,34.718700,113.726997,
1321A,Station_1321A,34.773201,113.734001,
1322A,Station_1322A,34.749599,113.598999,
1323A,Station_1323A,34.749599,113.598999,
1324A,Station_1324A,34.953602,113.636002,
1325A,Station_1325A,30.573299,114.370003,
1326A,Station_1326A,30.558001,114.252998,
1327A,Station_1327A,30.618799,114.281998,
1328A,Station_1328A,30.533199,114.302002,
1329A,Station_1329A,30.621700,114.364998,
1330A,Station_1330A,30.632500,114.155998,
1331A,Station_1331A,30.594299,114.302002,
1332A,Station_1332A,30.461201,114.392998,
1333A,Station_1333A,30.633400,114.129997,
1335A,Station_1335A,28.242201,113.082001,
1336A,Station_1336A,28.220301,112.888000,
1337A,Station_1337A,28.201099,113.078003,
1338A,Station_1338A,28.189699,112.944000,
1339A,Station_1339A,28.143000,113.002998,
1340A,Station_1340A,28.259701,112.978996,
1341A,Station_1341A,28.194401,113.000999,
1342A,Station_1342A,28.117800,112.984001,
1343A,Station_1343A,28.130800,112.890999,
1344A,Station_1344A,28.358601,112.996002,
1345A,Station_1345A,23.142200,113.235001,
1346A,Station_1346A,23.105000,113.261002,
1348A,Station_1348A,23.091600,113.348000,
1349A,Station_1349A,23.105000,113.432999,
1350A,Station_1350A,22.947701,113.351997,
1351A,Station_1351A,23.391701,113.214996,
1352A,Station_1352A,23.133101,113.260002,
1353A,Station_1353A,23.278299,113.568001,
1354A,Station_1354A,23.156900,113.280998,
1356A,Station_1356A,22.549999,114.096001,
1357A,Station_1357A,22.562500,114.116997,
1358A,Station_1358A,22.541700,113.987000,
1359A,Station_1359A,22.516701,113.922997,
1360A,Station_1360A,22.590799,114.263000,
1361A,Station_1361A,22.726700,114.239998,
1362A,Station_1362A,22.579399,113.890999,
1363A,Station_1363A,22.542200,114.494003,
1364A,Station_1364A,22.634199,114.410004,
1365A,Station_1365A,22.597799,114.296997,
1366A,Station_1366A,22.750000,114.084999,
1369A,Station_1369A,22.425100,113.627998,
1371A,Station_1371A,23.004801,113.134003,
1372A,Station_1372A,23.039499,113.105003,
1373A,Station_1373A,23.046700,113.143997,
1374A,Station_1374A,22.805401,113.292000,
1375A,Station_1375A,22.762899,113.257004,
1377A,Station_1377A,23.157200,112.885002,
1378A,Station_1378A,23.188601,112.862999,
1387A,Station_1387A,23.053600,113.781998,
1388A,Station_1388A,23.027800,113.746002,
1389A,Station_1389A,23.059999,113.748001,
1390A,Station_1390A,23.012800,113.793999,
1391A,Station_1391A,22.965799,113.737999,
1395A,Station_1395A,22.783300,114.459999,
1401A,Station_1401A,22.787500,108.301003,
1402A,Station_1402A,22.856100,108.316002,
1403A,Station_1403A,22.822500,108.320999,
1404A,Station_1404A,22.805000,108.383003,
1405A,Station_1405A,22.790600,108.439003,
1406A,Station_1406A,22.846399,108.238998,
1407A,Station_1407A,22.735001,108.328003,
1408A,Station_1408A,22.783300,108.244003,
1414A,Station_1414A,29.827200,106.378998,
1415A,Station_1415A,29.573601,106.459999,
1416A,Station_1416A,29.826401,106.424004,
1417A,Station_1417A,29.722799,106.625999,
1418A,Station_1418A,29.598301,106.295998,
1419A,Station_1419A,29.518600,106.540001,
1420A,Station_1420A,29.621901,106.650002,
1421A,Station_1421A,29.489201,106.634003,
1422A,Station_1422A,29.482201,106.363998,
1423A,Station_1423A,29.564199,106.570999,
1424A,Station_1424A,29.516399,106.512001,
1425A,Station_1425A,29.712500,106.616997,
1426A,Station_1426A,29.489201,106.468002,
1427A,Station_1427A,29.645300,106.561996,
1428A,Station_1428A,29.427200,106.591003,
1429A,Station_1429A,29.509199,106.509003,
1430A,Station_1430A,29.709200,106.452003,
1431A,Station_1431A,30.712999,103.972000,
1432A,Station_1432A,30.687201,104.176003,
1433A,Station_1433A,30.570601,104.079002,
1434A,Station_1434A,30.636101,104.117996,
1437A,Station_1437A,30.657801,104.054001,
1462A,Station_1462A,34.274899,108.882004,
1463A,Station_1463A,34.262901,108.992996,
1464A,Station_1464A,34.257198,109.059998,
1465A,Station_1465A,34.232399,108.940002,
1466A,Station_1466A,34.271301,108.954002,
1467A,Station_1467A,34.230301,108.883003,
1468A,Station_1468A,34.347401,108.934998,
1469A,Station_1469A,34.154598,108.905998,
1470A,Station_1470A,34.657501,109.199997,
1471A,Station_1471A,34.374802,108.869003,
1472A,Station_1472A,34.378101,109.212997,
1473A,Station_1473A,34.197800,108.985001,
1474A,Station_1474A,34.327400,109.042999,
1508A,Station_1508A,27.861099,112.956001,
1511A,Station_1511A,27.857599,112.896004,
1512A,Station_1512A,27.857500,112.917999,
1513A,Station_1513A,27.816900,112.919998,
1514A,Station_1514A,27.911699,112.907997,
1515A,Station_1515A,27.824400,113.135002,
1518A,Station_1518A,27.886700,113.095001,
1519A,Station_1519A,27.797899,113.190002,
1520A,Station_1520A,27.838100,113.142998,
1524A,Station_1524A,27.852800,113.129997,
1559A,Station_1559A,27.833599,113.250999,
1562A,Station_1562A,27.961800,113.022003,
1798A,Station_1798A,31.686100,118.505997,
1799A,Station_1799A,31.643900,118.483002,
1800A,Station_1800A,31.750601,118.511002,
1801A,Station_1801A,31.692801,118.480003,
1802A,Station_1802A,31.715500,118.652000,
1918A,Station_1918A,34.343201,108.700996,
1919A,Station_1919A,34.318100,108.676003,
1920A,Station_1920A,34.395802,108.720001,
1921A,Station_1921A,34.318699,108.740997,
1941A,Station_1941A,34.505001,109.431000,
1961A,Station_1961A,36.709702,117.541000,
1962A,Station_1962A,36.692902,117.536003,
1989A,Station_1989A,31.379400,121.003998,
1995A,Station_1995A,31.452000,121.112000,
1996A,Station_1996A,31.434999,121.127998,
1997A,Station_1997A,31.954300,119.150002,
1998A,Station_1998A,31.947100,119.181999,
2010A,Station_2010A,30.236700,119.719002,
2011A,Station_2011A,30.231899,119.695000,
2012A,Station_2012A,30.051001,119.959000,
2013A,Station_2013A,30.047100,119.948997,
2031A,Station_2031A,27.993299,113.189003,
2846A,Station_2846A,23.132500,113.316002,
2858A,Station_2858A,39.070000,117.347000,
2859A,Station_2859A,39.020000,117.359001,
2860A,Station_2860A,39.078999,117.158997,
2862A,Station_2862A,38.037998,114.551003,
2871A,Station_2871A,29.896000,121.613998,
2880A,Station_2880A,30.650000,104.028999,
