# Site ID, Site Name, Latitude, Longitude, Altitude (m)
1001A,Station_1001A,39.878399,116.362099,
1002A,Station_1002A,40.291500,116.220200,
1003A,Station_1003A,39.928902,116.417397,
1004A,Station_1004A,39.886299,116.407204,
1005A,Station_1005A,39.936501,116.461998,
1006A,Station_1006A,39.929501,116.339203,
1007A,Station_1007A,39.961102,116.287804,
1008A,Station_1008A,40.134998,116.663597,
1009A,Station_1009A,40.327499,116.627502,
1010A,Station_1010A,40.216999,116.229599,
1011A,Station_1011A,39.982101,116.396599,
1012A,Station_1012A,39.913601,116.183998,
1013A,Station_1013A,39.097000,117.151001,
1014A,Station_1014A,39.173000,117.193001,
1015A,Station_1015A,39.166100,117.144402,
1016A,Station_1016A,39.120499,117.183998,
1017A,Station_1017A,39.108200,117.237000,
1018A,Station_1018A,39.092701,117.202003,
1019A,Station_1019A,39.213299,117.183701,
1020A,Station_1020A,39.133701,117.268997,
1021A,Station_1021A,39.087700,117.306999,
1022A,Station_1022A,39.060001,117.221001,
1023A,Station_1023A,39.034302,117.707001,
1024A,Station_1024A,38.839401,117.457001,
1025A,Station_1025A,39.124001,117.401001,
1026A,Station_1026A,39.158699,117.764000,
1027A,Station_1027A,38.919399,117.156998,
1028A,Station_1028A,38.054901,114.563698,
1029A,Station_1029A,38.044399,114.442200,
1030A,Station_1030A,38.026600,114.606300,
1031A,Station_1031A,38.132801,114.489799,
1032A,Station_1032A,38.005798,114.458603,
1033A,Station_1033A,38.017799,114.533096,
1034A,Station_1034A,38.045700,114.509003,
1035A,Station_1035A,37.891102,114.352402,
1036A,Station_1036A,39.630798,118.166199,
1037A,Station_1037A,39.636299,118.130997,
1038A,Station_1038A,39.633400,118.172501,
1039A,Station_1039A,39.667900,118.218498,
1040A,Station_1040A,39.650600,118.170502,
1041A,Station_1041A,39.622002,118.186897,
1042A,Station_1042A,39.820702,119.513397,
1043A,Station_1043A,40.011600,119.749298,
1044A,Station_1044A,39.949902,119.589699,
1046A,Station_1046A,39.904099,119.525101,
1047A,Station_1047A,36.617630,114.512901,
1048A,Station_1048A,36.611599,114.530197,
1049A,Station_1049A,36.571301,114.491798,
1050A,Station_1050A,36.613300,114.484001,
1051A,Station_1051A,38.863201,115.492996,
1052A,Station_1052A,38.895901,115.521301,
