# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AR0001R,Station_AR0001R,-64.240059,-56.624779,
AR0002G,Station_AR0002G,-54.848465,-68.310692,
AR0005R,Station_AR0005R,-31.668612,-63.881943,
AT0005R,Station_AT0005R,46.677776,12.972222,
AT0030R,Station_AT0030R,48.721111,15.942222,
AT0032R,Station_AT0032R,47.529167,9.926667,
AT0034G,Station_AT0034G,47.053890,12.958889,
AT0038R,Station_AT0038R,46.693611,13.915000,
AT0040R,Station_AT0040R,47.348057,15.882222,
AT0041R,Station_AT0041R,47.973057,13.016111,
AT0042R,Station_AT0042R,48.878613,15.046667,
AT0045R,Station_AT0045R,48.371113,15.546667,
AT0048R,Station_AT0048R,47.838612,14.441389,
AT0049R,Station_AT0049R,47.040276,14.330000,
AT0050R,Station_AT0050R,47.066944,15.493611,
AU0001C,Station_AU0001C,-23.795086,133.889008,
AU0002G,Station_AU0002G,-40.682220,144.688339,
AU0005U,Station_AU0005U,-34.405701,150.880463,
BE0001R,Station_BE0001R,49.877777,5.203611,
BE0011R,Station_BE0011R,51.254570,3.362540,
BE0013R,Station_BE0013R,51.016281,2.582320,
BE0032R,Station_BE0032R,50.629421,6.001019,
BE0035R,Station_BE0035R,50.503334,4.989444,
BG0001R,Station_BG0001R,42.166668,23.583332,
BG0053R,Station_BG0053R,41.695831,24.738611,
BM0001R,Station_BM0001R,32.264702,-64.878799,
BO0001R,Station_BO0001R,-16.200001,-68.099998,
CA0011R,Station_CA0011R,44.231007,-79.783836,
CA0102R,Station_CA0102R,54.353745,-104.986862,
CA0103R,Station_CA0103R,80.050003,-86.416656,
CA0420G,Station_CA0420G,82.499146,-62.341526,
CH0001G,Station_CH0001G,46.547501,7.985000,
CH0002R,Station_CH0002R,46.813057,6.944722,
CH0003R,Station_CH0003R,47.479721,8.904722,
CH0004R,Station_CH0004R,47.049721,6.979444,
CH0005R,Station_CH0005R,47.067501,8.463889,
CH0006C,Station_CH0006C,46.816666,9.850000,
CH0053R,Station_CH0053R,47.189613,8.175434,
CL0001R,Station_CL0001R,-30.172541,-70.799232,
CV0001G,Station_CV0001G,16.864031,-24.867519,
CY0002R,Station_CY0002R,35.038101,33.057800,
CZ0001R,Station_CZ0001R,49.735085,16.034197,
CZ0003R,Station_CZ0003R,49.573395,15.080278,
CZ0005R,Station_CZ0005R,49.066666,13.600000,
DE0001R,Station_DE0001R,54.925556,8.309722,
DE0002R,Station_DE0002R,52.802223,10.759444,
DE0003R,Station_DE0003R,47.914722,7.908611,
DE0007R,Station_DE0007R,53.166668,13.033333,
DE0008R,Station_DE0008R,50.650002,10.766667,
DE0009R,Station_DE0009R,54.436798,12.724900,
DE0043G,Station_DE0043G,47.801498,11.009619,
DE0044R,Station_DE0044R,51.525501,12.927700,
DE0054R,Station_DE0054R,47.416500,10.979640,
DE0055B,Station_DE0055B,51.352501,12.434600,
DE0060G,Station_DE0060G,-70.666000,-8.266000,
DE0066K,Station_DE0066K,51.345833,12.406389,
DE0067K,Station_DE0067K,51.344166,12.377222,
DK0005R,Station_DK0005R,54.746494,10.736160,
DK0008R,Station_DK0008R,56.716667,11.516667,
DK0010G,Station_DK0010G,81.599998,-16.670000,
DK0025G,Station_DK0025G,72.580002,-38.480000,
DK0031R,Station_DK0031R,56.290424,8.427486,
EE0009R,Station_EE0009R,59.500000,25.900000,
EE0011R,Station_EE0011R,58.383331,21.816668,
ES0001R,Station_ES0001R,39.546940,-4.350560,
ES0005R,Station_ES0005R,42.720558,-8.923610,
ES0006R,Station_ES0006R,39.875278,4.316390,
ES0007R,Station_ES0007R,37.237221,-3.534170,
ES0008R,Station_ES0008R,43.439171,-4.850000,
ES0009R,Station_ES0009R,41.274170,-3.142500,
ES0010R,Station_ES0010R,42.319172,3.315830,
ES0011R,Station_ES0011R,38.472778,-6.923610,
ES0012R,Station_ES0012R,39.082779,-1.101110,
ES0013R,Station_ES0013R,41.238892,-5.897500,
ES0014R,Station_ES0014R,41.393890,0.734720,
ES0016R,Station_ES0016R,42.634720,-7.704720,
ES0017R,Station_ES0017R,37.051941,-6.555280,
ES0018G,Station_ES0018G,28.309000,-16.499399,
ES0020U,Station_ES0020U,37.164001,-3.605000,
ES0022R,Station_ES0022R,42.051338,0.729560,
ES0100R,Station_ES0100R,37.099998,-6.733333,
FI0009R,Station_FI0009R,59.779167,21.377222,
FI0018R,Station_FI0018R,60.530022,27.667540,
FI0022R,Station_FI0022R,66.320274,29.401667,
FI0036R,Station_FI0036R,68.000000,24.237223,
FI0050R,Station_FI0050R,61.849998,24.283333,
FI0096G,Station_FI0096G,67.973335,24.116112,
FR0008R,Station_FR0008R,48.500000,7.133333,
FR0009R,Station_FR0009R,49.900002,4.633333,
FR0010R,Station_FR0010R,47.266666,4.083333,
FR0013R,Station_FR0013R,43.616669,0.183333,
FR0014R,Station_FR0014R,47.299999,6.833333,
FR0015R,Station_FR0015R,46.650002,-0.750000,
FR0016R,Station_FR0016R,45.000000,6.466667,
FR0017R,Station_FR0017R,45.799999,2.066667,
FR0018R,Station_FR0018R,48.633331,-0.450000,
FR0019R,Station_FR0019R,42.936668,0.141944,
FR0022R,Station_FR0022R,48.562222,5.505556,
FR0023R,Station_FR0023R,44.569443,5.278972,
FR0024R,Station_FR0024R,47.831890,-1.836333,
FR0025R,Station_FR0025R,46.814728,2.610008,
FR0026R,Station_FR0026R,-21.079449,55.383007,
FR0030R,Station_FR0030R,45.772224,2.964886,
FR0034G,Station_FR0034G,-75.099861,23.333481,
GB0002R,Station_GB0002R,55.313057,-3.204167,
GB0006R,Station_GB0006R,54.443054,-7.870000,
GB0013R,Station_GB0013R,50.596390,-3.713056,
GB0014R,Station_GB0014R,54.334442,-0.807500,
GB0015R,Station_GB0015R,57.734444,-4.774444,
GB0031R,Station_GB0031R,52.503887,-3.033056,
GB0038R,Station_GB0038R,50.792778,0.179444,
GB0039R,Station_GB0039R,52.293888,1.463056,
GB0043R,Station_GB0043R,51.781784,-4.691462,
GB0045R,Station_GB0045R,52.298332,0.292778,
GB0049R,Station_GB0049R,52.950558,1.121944,
GB0050R,Station_GB0050R,51.778057,1.082230,
GB0051R,Station_GB0051R,52.554443,-0.772222,
GB0052R,Station_GB0052R,60.139221,-1.185319,
GB0053R,Station_GB0053R,51.056252,-2.683450,
GB0059G,Station_GB0059G,-75.620003,-26.180000,
GB1055R,Station_GB1055R,51.149616,-1.438228,
GR0001R,Station_GR0001R,38.366669,23.083332,
GR0002R,Station_GR0002R,35.337799,25.669399,
GR0101R,Station_GR0101R,37.984264,22.196262,
HU0002R,Station_HU0002R,46.966667,19.583332,
HU0003R,Station_HU0003R,46.910000,16.320000,
ID1013R,Station_ID1013R,-0.201940,100.318100,
IE0001R,Station_IE0001R,51.939720,-10.244444,
IE0031R,Station_IE0031R,53.325829,-9.899440,
IT0004R,Station_IT0004R,45.799999,8.633333,
IT0009R,Station_IT0009R,44.166672,10.683330,
IT0014R,Station_IT0014R,37.571110,12.659722,
IT0015U,Station_IT0015U,40.335800,18.124500,
IT0016R,Station_IT0016R,38.876301,16.232201,
IT0017U,Station_IT0017U,40.334900,18.111401,
IT0018R,Station_IT0018R,35.518200,12.630500,
IT0019R,Station_IT0019R,42.805462,12.565645,
JP0002G,Station_JP0002G,-69.004997,39.590557,
JP0006R,Station_JP0006R,24.336700,124.164398,
JP1028G,Station_JP1028G,24.288300,153.983307,
JP1029R,Station_JP1029R,24.466942,123.010872,
KG0002U,Station_KG0002U,42.636902,77.067497,
KR0100R,Station_KR0100R,36.538334,126.330002,
KR0101R,Station_KR0101R,33.279999,126.169998,
LT0015R,Station_LT0015R,55.376110,21.030556,
LV0010R,Station_LV0010R,56.161945,21.173056,
LV0016R,Station_LV0016R,57.135277,25.905556,
MK0007R,Station_MK0007R,41.536110,20.693890,
MT0001R,Station_MT0001R,36.072201,14.218400,
NL0007R,Station_NL0007R,52.083332,6.566667,
NL0009R,Station_NL0009R,53.333889,6.277222,
NL0010R,Station_NL0010R,51.541111,5.853611,
NO0002R,Station_NO0002R,58.388531,8.252000,
NO0015R,Station_NO0015R,65.833336,13.916667,
NO0039R,Station_NO0039R,62.783333,8.883333,
NO0042G,Station_NO0042G,78.906670,11.886680,
