# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AT0002R,Station_AT0002R,47.766666,16.766666,
AT0043R,Station_AT0043R,48.106110,15.919444,
AT0046R,Station_AT0046R,48.334721,16.730556,
AT0047R,Station_AT0047R,48.050835,16.676666,
DK0012R,Station_DK0012R,55.693588,12.085797,
ES1778R,Station_ES1778R,41.766666,2.350000,
FR0020R,Station_FR0020R,48.708611,2.158889,
GB0033R,Station_GB0033R,55.858612,-3.205000,
GB0037R,Station_GB0037R,53.398888,-1.753333,
GB0048R,Station_GB0048R,55.792160,-3.242900,
GR0100B,Station_GR0100B,37.994999,23.816000,
JP0005U,Station_JP0005U,43.060001,141.328598,
NL0091R,Station_NL0091R,52.299999,4.500000,
NL0644R,Station_NL0644R,51.974445,4.923611,
NZ0001R,Station_NZ0001R,-41.408192,174.870804,
SI0032R,Station_SI0032R,46.299442,14.538611,
US0901R,Station_US0901R,40.124981,-105.236801,
ZA0001G,Station_ZA0001G,-34.353481,18.489679,
