# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AB35,Elk Island,53.682400,-112.868000,711.0
AK96,Toolik Field Station,68.625700,-149.606900,730.0
AL99,Sand Mountain Research & Extension Center,34.288600,-85.969900,349.0
AR03,Caddo Valley,34.179500,-93.099200,71.0
AR09,Rambo Hill,35.624600,-93.868800,261.0
AR15,LC Farms,35.933400,-93.849100,454.0
AZ98,Chiricahua,32.009700,-109.388900,1570.0
CA44,Yosemite NP - Turtleback Dome,37.713300,-119.706100,1605.0
CA67,Joshua Tree National Park-Black Rock,34.069500,-116.388900,1239.0
CA83,Sequoia NP - Ash Mountain,36.489400,-118.822800,457.0
CO10,Gothic,38.956100,-106.986000,2915.0
CO13,Fort Collins,40.592300,-105.141400,1570.0
CO88,Rocky Mountain National Park - Longs Peak,40.277800,-105.545300,2739.0
CO98,Rocky Mountain National Park-Loch Vale,40.287800,-105.662800,3159.0
CT15,Abington,41.840000,-72.010100,209.0
FL11,Everglades National Park-Research Center,25.390000,-80.680000,2.0
FL19,Indian River,27.849200,-80.455400,1.0
FL23,Sumatra,30.110600,-84.990200,14.0
GA41,Georgia Station,33.180500,-84.410300,267.0
ID03,Craters of the Moon National Monument,43.460500,-113.555100,1807.0
ID07,Nez Perce,46.274500,-116.021600,903.0
ID14,Kimberly,42.553300,-114.354700,1188.0
IL11,Bondville,40.052800,-88.371900,212.0
IL37,Stockton,42.286900,-89.999700,274.0
IL46,Alhambra,38.868900,-89.621900,164.0
IN20,Roush Lake,40.840100,-85.463900,244.0
IN22,Southwest Purdue Agriculture Center,38.740800,-87.485500,134.0
IN99,Indianapolis,39.810800,-86.114400,230.0
KS03,Reserve,39.979200,-95.568100,265.0
KS31,Konza Prairie,39.102200,-96.609200,350.0
KS97,Kickapoo Tribe - Powhattan,39.760300,-95.635800,367.0
KY03,Mackville,37.704700,-85.048900,293.0
KY29,Crockett,37.921400,-83.066200,376.0
KY98,Cadiz,36.784100,-87.849900,189.0
MD06,Blackwater NWR,38.444900,-76.111200,1.0
MD08,Piney Reservoir,39.705300,-79.012200,769.0
MD99,Beltsville,39.028000,-76.817100,46.0
ME93,Ashland,46.603800,-68.413200,231.0
MI51,Unionville,43.613500,-83.359900,201.0
MI52,Ann Arbor,42.416400,-83.901900,267.0
MI95,Hoxeyville,44.180800,-85.738900,293.0
MI96,Detroit,42.250000,-83.200000,180.0
