# Site ID, Site Name, Latitude, Longitude, Altitude (m)
ABT147,Abington,41.840460,-72.010368,202.0
ACA416,Acadia NP,44.377086,-68.260800,158.0
ALC188,Alabama-Coushatta Tribe of Texas,30.701577,-94.674011,105.0
ALH157,Alhambra,38.869001,-89.622815,164.0
ALH257,Alhambra Collocated,38.869001,-89.622815,164.0
ANA115,Ann Arbor,42.416636,-83.902180,266.0
ARE128,Arendtsville,39.923241,-77.307863,266.0
ARE228,Arendtsville Collocated,39.923241,-77.307863,266.0
ASH135,Ashland,46.603832,-68.413227,231.0
ASH235,Ashland Collocated,46.603832,-68.413227,231.0
BAS601,Basin,44.280000,-108.041100,1242.0
BBE401,Big Bend NP,29.302651,-103.177813,1052.0
BFT142,Beaufort,34.884668,-76.620666,5.0
BUF603,Buffalo,44.144200,-106.108900,1324.0
BVL130,Bondville,40.051981,-88.372495,213.0
BWR139,Blackwater NWR,38.444971,-76.111274,1.0
CAD150,Caddo Valley,34.179278,-93.098755,78.0
CAN407,Canyonlands NP,38.458323,-109.821260,1809.0
CAT175,Claryville,41.942325,-74.551999,754.0
CDR119,Cedar Creek,38.879503,-80.847677,240.0
CDZ171,Cadiz,36.784053,-87.850150,190.0
CHA267,Chiricahua NM Collocated,32.009405,-109.389058,1569.0
CHA467,Chiricahua NM,32.009405,-109.389058,1570.0
CHE185,Cherokee Nation,35.750786,-94.669789,305.0
CKT136,Crockett,37.921460,-83.066295,376.0
CND125,Candor,35.263330,-79.837540,172.0
CNT169,Centennial,41.364531,-106.240020,3175.0
CON186,Converse Station,34.194048,-116.912977,1718.0
COW005,Coweeta Screwdriver Knob,35.048260,-83.454280,960.0
COW137,Coweeta,35.060527,-83.430340,683.0
CTH110,Connecticut Hill,42.400875,-76.653516,511.0
CVL151,Coffeeville,34.002747,-89.799183,138.0
DCP114,Deer Creek,39.635888,-83.260563,264.0
DCP214,Deer Creek Collocated,39.635888,-83.260563,264.0
DEN417,Denali NP,63.723200,-148.967600,661.0
DEV412,Death Valley NM,36.508900,-116.847800,125.0
