# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AAOT_P-S,Aaot,45.313900,12.508300,10.0
AOEBaotou_P-D,Aoe Baotou,40.851700,109.628800,1314.0
AOEBaotou_P-S,Aoe Baotou,40.851700,109.628800,1314.0
ARIAKETOWER_P-S,Ariake Tower,33.103617,130.271950,15.0
ARMCordoba_P-D,Arm Cordoba,-32.126410,-64.728370,1141.0
ARMCordoba_P-S,Arm Cordoba,-32.126410,-64.728370,1141.0
ARMGraciosa_P-D,Arm Graciosa,39.091090,-28.029170,15.2
ARMGraciosa_P-S,Arm Graciosa,39.091090,-28.029170,15.2
ARMOliktokAK_P-D,Arm Oliktok Ak,70.499500,-149.880000,2.0
ARMOliktokAK_P-S,Arm Oliktok Ak,70.499500,-149.880000,2.0
ARMSGP_P-D,Arm Sgp,36.605175,-97.485619,319.0
ARMSGP_P-S,Arm Sgp,36.605175,-97.485619,319.0
ASIMalindi_P-D,Asi Malindi,-2.996000,40.194500,12.0
ASIMalindi_P-S,Asi Malindi,-2.996000,40.194500,12.0
AdelaideSite7_P-D,Adelaide Site 7,-34.725067,138.656483,30.0
AdelaideSite7_P-S,Adelaide Site 7,-34.725067,138.656483,30.0
AgiaMarinaXyliatou_P-D,Agiamarina Xyliatou,35.038000,33.057700,521.0
AgiaMarinaXyliatou_P-S,Agiamarina Xyliatou,35.038000,33.057700,521.0
AlkaliLake_P-D,Alkali Lake,37.858800,-117.382000,1468.0
AltaFloresta_P-D,Alta Floresta,-9.871339,-56.104453,277.0
AltaFloresta_P-S,Alta Floresta,-9.871339,-56.104453,277.0
AmazonATTOTower_P-D,Amazon Atto Tower,-2.144117,-58.999867,210.0
AmazonATTOTower_P-S,Amazon Atto Tower,-2.144117,-58.999867,210.0
AmericanSamoa_P-D,American Samoa,-14.247200,-170.564400,76.0
AmericanSamoa_P-S,American Samoa,-14.247200,-170.564400,76.0
Ames_P-D,Ames,42.021361,-93.774778,338.0
Ames_P-S,Ames,42.021361,-93.774778,338.0
AmityUnivGurgaon_P-D,Amity Univ Gurgaon,28.317329,76.916031,285.0
AmityUnivGurgaon_P-S,Amity Univ Gurgaon,28.317329,76.916031,285.0
AmsterdamIsland_P-D,Amsterdam Island,-37.799544,77.571946,49.0
AmsterdamIsland_P-S,Amsterdam Island,-37.799544,77.571946,49.0
Andenes_P-D,Andenes,69.278333,16.008611,379.0
Andenes_P-S,Andenes,69.278333,16.008611,379.0
Anmyon_P-D,Anmyon,36.538537,126.330194,47.0
Anmyon_P-S,Anmyon,36.538537,126.330194,47.0
AntikytheraNOA_P-D,Antikythera Noa,35.860990,23.309820,193.0
AntikytheraNOA_P-S,Antikythera Noa,35.860990,23.309820,193.0
AppalachianState_P-D,Appalachian State,36.214600,-81.693800,1080.0
AppalachianState_P-S,Appalachian State,36.214600,-81.693800,1080.0
ArasdelosOlmos_P-D,Aras De Los Olmos,39.945000,-1.101600,1280.0
