# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AdelaideSite7_P-D,Adelaide Site 7,-34.725067,138.656483,30.0
AdelaideSite7_P-S,Adelaide Site 7,-34.725067,138.656483,30.0
AmityUnivGurgaon_P-D,Amity Univ Gurgaon,28.317329,76.916031,285.0
AmityUnivGurgaon_P-S,Amity Univ Gurgaon,28.317329,76.916031,285.0
BMKGJakarta_P-D,Bmkg Jakarta,-6.155239,106.841197,35.0
BMKGJakarta_P-S,Bmkg Jakarta,-6.155239,106.841197,35.0
Bandung_P-D,Bandung,-6.888417,107.610000,826.0
Bandung_P-S,Bandung,-6.888417,107.610000,826.0
Bangkok_P-D,Bangkok,13.749100,100.517700,57.1
Bangkok_P-S,Bangkok,13.749100,100.517700,57.1
Barcelona_P-D,Barcelona,41.389250,2.112060,125.0
Barcelona_P-S,Barcelona,41.389250,2.112060,125.0
Bayfordbury_P-D,Bayfordbury,51.776320,-0.096240,75.0
Bayfordbury_P-S,Bayfordbury,51.776320,-0.096240,75.0
Beijing-CAMS_P-D,Beijing-Cams,39.933330,116.316670,106.0
Beijing-CAMS_P-S,Beijing-Cams,39.933330,116.316670,106.0
BeijingPKU_P-D,Beijing Pku,39.992000,116.310200,53.0
BeijingPKU_P-S,Beijing Pku,39.992000,116.310200,53.0
BeijingRADI_P-D,Beijing Radi,40.004800,116.378600,59.0
BeijingRADI_P-S,Beijing Radi,40.004800,116.378600,59.0
Beijing_P-D,Beijing,39.976890,116.381370,92.0
Beijing_P-S,Beijing,39.976890,116.381370,92.0
Belsk_P-D,Belsk,51.836667,20.791667,190.0
Belsk_P-S,Belsk,51.836667,20.791667,190.0
BerlinFUB_P-D,Berlin Fub,52.457500,13.310333,80.0
BerlinFUB_P-S,Berlin Fub,52.457500,13.310333,80.0
Billerica_P-D,Billerica,42.528347,-71.268619,82.0
Billerica_P-S,Billerica,42.528347,-71.268619,82.0
Brussels_P-D,Brussels,50.783332,4.350000,120.0
Brussels_P-S,Brussels,50.783332,4.350000,120.0
Burjassot_P-D,Burjassot,39.507000,-0.420200,104.0
Burjassot_P-S,Burjassot,39.507000,-0.420200,104.0
CCNY_P-D,Ccny,40.821313,-73.949036,100.0
CCNY_P-S,Ccny,40.821313,-73.949036,100.0
CEILAP-BA_P-D,Ceilap-Ba,-34.555425,-58.506411,26.0
CEILAP-BA_P-S,Ceilap-Ba,-34.555425,-58.506411,26.0
CLUJUBB_P-D,Cluj Ubb,46.768333,23.551389,405.0
