# Site ID, Site Name, Latitude, Longitude, Altitude (m)
SE0005R_CV-AFS,Bredkälen,63.845500,15.319700,380.0
SE0005R_IC,Bredkälen,63.845500,15.319700,380.0
SE0005R_ICP-MS,Bredkälen,63.845500,15.319700,380.0
SE0005R_PH-M,Bredkälen,63.845500,15.319700,380.0
SE0013R_IC,Esrange,67.878600,21.063000,524.0
SE0013R_ICP-AES,Esrange,67.878600,21.063000,524.0
SE0013R_PH-M,Esrange,67.878600,21.063000,524.0
SE0013R_SP,Esrange,67.878600,21.063000,524.0
SE0014R_CV-AFS,Råö,57.393600,11.914200,2.0
SE0014R_IC,Råö,57.393700,11.914200,2.0
SE0014R_ICP-MS,Råö,57.393600,11.914200,2.0
SE0014R_PH-M,Råö,57.393700,11.914200,2.0
SE00174_IC,Sännen,56.308300,15.354000,90.0
SE00174_ICP-AES,Sännen,56.308300,15.354000,90.0
SE00174_PH-M,Sännen,56.308300,15.354000,90.0
SE00174_SP,Sännen,56.308300,15.354000,90.0
SE00186_IC,Docksta,63.053000,18.299000,215.0
SE00186_ICP-AES,Docksta,63.053000,18.299000,215.0
SE00186_PH-M,Docksta,63.053000,18.299000,215.0
SE00186_SP,Docksta,63.053000,18.299000,215.0
SE00193_IC,Sandnäset,63.771000,12.441000,470.0
SE00193_ICP-AES,Sandnäset,63.771000,12.441000,470.0
SE00193_PH-M,Sandnäset,63.771000,12.441000,470.0
SE00193_SP,Sandnäset,63.771000,12.441000,470.0
SE00205_IC,Djursvallen Nedre,62.014000,13.516000,649.0
SE00205_ICP-AES,Djursvallen Nedre,62.014000,13.516000,649.0
SE00205_PH-M,Djursvallen Nedre,62.014000,13.516000,649.0
SE00205_SP,Djursvallen Nedre,62.014000,13.516000,649.0
SE00289_IC,Ryda Kungsgård,59.756000,17.124000,45.0
SE00289_ICP-AES,Ryda Kungsgård,59.756000,17.124000,45.0
SE00289_PH-M,Ryda Kungsgård,59.756000,17.124000,45.0
SE00289_SP,Ryda Kungsgård,59.756000,17.124000,45.0
SE00291_IC,Granan,58.601900,12.189400,175.0
SE00291_ICP-AES,Granan,58.601900,12.189400,175.0
SE00291_PH-M,Granan,58.601900,12.189400,175.0
SE00291_SP,Granan,58.601900,12.189400,175.0
SE0053R_IC,Rickleå,64.086500,20.939800,10.0
SE0053R_ICP-AES,Rickleå,64.086500,20.939800,10.0
SE0053R_PH-M,Rickleå,64.086500,20.939800,10.0
SE0053R_SP,Rickleå,64.086500,20.939800,10.0
SE00601_IC,Jädraås,60.814800,16.506500,185.0
SE00601_ICP-AES,Jädraås,60.814800,16.506500,185.0
SE00601_PH-M,Jädraås,60.814800,16.506500,185.0
SE00601_SP,Jädraås,60.814800,16.506500,185.0
SE0093R_IC,Abisko,68.353000,19.063000,360.0
SE0093R_ICP-AES,Abisko,68.353000,19.063000,360.0
SE0093R_PH-M,Abisko,68.353000,19.063000,360.0
SE0093R_SP,Abisko,68.353000,19.063000,360.0
SE0094R_IC,Ammarnäs,65.972000,16.116000,450.0
SE0094R_ICP-AES,Ammarnäs,65.972000,16.116000,450.0
SE0094R_PH-M,Ammarnäs,65.972000,16.116000,450.0
SE0094R_SP,Ammarnäs,65.972000,16.116000,450.0
SE0116A_CV-AFS,Hallahus,56.042400,13.148600,187.0
SE0116A_IC,Hallahus,56.042400,13.148600,187.0
SE0116A_ICP-MS,Hallahus,56.042400,13.148600,187.0
SE0116A_PH-M,Hallahus,56.042400,13.148600,187.0
SE01554_IC,Majstre,56.942000,18.187000,20.0
SE01554_ICP-AES,Majstre,56.942000,18.187000,20.0
SE01554_PH-M,Majstre,56.942000,18.187000,20.0
SE01554_SP,Majstre,56.942000,18.187000,20.0
SE08954_IC,Fagerhult,57.511000,15.348000,260.0
SE08954_ICP-AES,Fagerhult,57.511000,15.348000,260.0
SE08954_PH-M,Fagerhult,57.511000,15.348000,260.0
SE08954_SP,Fagerhult,57.511000,15.348000,260.0
