# Site ID, Site Name, Latitude, Longitude, Altitude (m)
06_073_1022_RG,El Cajon - Lexington Elementary School,32.789565,-116.944308,141.0
06_111_2002_RG,Simi Valley-Cochran Street,34.276316,-118.683685,314.0
11_001_0043_RG,Mcmillan  Ncore-Pams,38.921847,-77.013178,50.0
11_001_0051_RG,Near Road,38.894770,-76.953426,25.0
13_089_0002_RG,South Dekalb,33.687800,-84.290500,308.0
13_247_0001_RG,Conyers,33.588545,-84.069608,219.0
18_089_0022_RG,Gary-Iitri/ 1219.5 Meters East Of Tennessee St.- Old Ammuntion Bunker,41.606662,-87.304943,122.2
18_097_0078_RG,Indpls- Washington Park/  In Parking Lot Next To Police Station,39.810833,-86.114444,230.0
24_003_1003_RG,Glen Burnie,39.169533,-76.627933,14.0
24_027_0006_RG,Howard County Near Road,39.143130,-76.846110,10.0
24_031_3001_RG,Rockville,39.114313,-77.106876,126.0
24_033_0030_RG,Hu-Beltsville,39.055277,-76.878333,49.0
24_033_8003_RG,Pg Equestrian Center,38.811940,-76.744170,12.0
25_009_2006_RG,Lynn Water Treatment Plant,42.474642,-70.970816,52.0
32_003_0540_RG,Jerome Mack-Ncore,36.141875,-115.078742,610.0
34_003_0010_RG,Fort Lee Near Road,40.853550,-73.966180,87.0
34_007_0002_RG,Camden Spruce Street,39.934559,-75.125219,4.0
34_013_0003_RG,Newark Firehouse,40.720989,-74.192892,27.0
34_017_0006_RG,Bayonne,40.670250,-74.126081,3.0
34_039_0004_RG,Elizabeth Lab,40.641440,-74.208365,5.0
37_119_0041_RG,Garinger High School,35.240100,-80.785683,232.0
48_113_0069_RG,Dallas Hinton,32.820061,-96.860117,126.5
48_141_0037_RG,El Paso Utep,31.768286,-106.501243,1158.0
48_201_0062_RG,Houston Monroe,29.625556,-95.267222,12.0
48_201_0416_RG,Park Place,29.686389,-95.294722,10.0
48_201_1035_RG,Clinton,29.733726,-95.257593,12.5
48_201_1039_RG,Houston Deer Park #2,29.670025,-95.128508,6.0
48_201_1043_RG,La Porte Airport C243,29.672000,-95.064700,5.0
