# Site ID, Site Name, Latitude, Longitude, Altitude (m)
ABT147_RG,Abington,41.840460,-72.010368,202.0
ABT147_UNK,Abington,41.840460,-72.010368,202.0
ALH157_RG,Alhambra,38.869000,-89.622800,164.0
ALH157_UNK,Alhambra,38.869000,-89.622800,164.0
ALH257_RG,Alhambra Collocated,38.869001,-89.622815,164.0
ALH257_UNK,Alhambra Collocated,38.869001,-89.622815,164.0
ANA115_RG,Ann Arbor,42.416636,-83.902180,266.0
ANA115_UNK,Ann Arbor,42.416636,-83.902180,266.0
ARE128_RG,Arendtsville,39.923241,-77.307863,266.0
ARE128_UNK,Arendtsville,39.923241,-77.307863,266.0
BFT142_RG,Beaufort,34.884668,-76.620666,5.0
BFT142_UNK,Beaufort,34.884668,-76.620666,5.0
CDR119_RG,Cedar Creek,38.879503,-80.847677,240.0
CDR119_UNK,Cedar Creek,38.879503,-80.847677,240.0
CHA467_RG,Chiricahua Nm,32.009405,-109.389058,1570.0
CHA467_UNK,Chiricahua Nm,32.009405,-109.389058,1570.0
CND125_RG,Candor,35.263330,-79.837540,172.0
CND125_UNK,Candor,35.263330,-79.837540,172.0
DCP114_RG,Deer Creek,39.635888,-83.260563,264.0
DCP114_UNK,Deer Creek,39.635888,-83.260563,264.0
GTH161_RG,Gothic,38.956270,-106.985870,2915.0
GTH161_UNK,Gothic,38.956270,-106.985870,2915.0
LYE145_RG,Lye Brook,43.050884,-73.061334,725.0
LYE145_UNK,Lye Brook,43.050884,-73.061334,725.0
LYK123_RG,Lykens,40.916981,-82.998206,303.0
LYK123_UNK,Lykens,40.916981,-82.998206,303.0
PED108_RG,Prince Edward,37.165222,-78.307067,149.0
PED108_UNK,Prince Edward,37.165222,-78.307067,149.0
PNF126_RG,Cranberry,36.105435,-82.045015,1216.0
PNF126_UNK,Cranberry,36.105435,-82.045015,1216.0
PRK134_RG,Perkinstown,45.206525,-90.597209,462.0
PRK134_UNK,Perkinstown,45.206525,-90.597209,462.0
SCR180_RG,Scotia Range,40.788400,-77.946400,376.0
SCR180_UNK,Scotia Range,40.788400,-77.946400,376.0
SPD111_RG,Speedwell,36.469830,-83.826511,361.0
SPD111_UNK,Speedwell,36.469830,-83.826511,361.0
SUM156_RG,Sumatra,30.110226,-84.990380,16.0
SUM156_UNK,Sumatra,30.110226,-84.990380,16.0
UVL124_RG,Unionville,43.613572,-83.359869,202.0
UVL124_UNK,Unionville,43.613572,-83.359869,202.0
