# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AU0002G_MAAP,Kennaook / Cape Grim Baseline Air Pollution Station,-40.682220,144.688340,94.0
BG0001R_CLAP,Beo Moussala,42.166667,23.583333,2925.0
CA0011R_CLAP,Egbert,44.231006,-79.783839,255.0
CA0100R_CLAP,Whistler Mountain,50.059299,-122.957603,2182.0
CA0102R_CLAP,East Trout Lake,54.353743,-104.986864,500.0
CA0420G_CLAP,Alert,82.499146,-62.341526,2182.0
CH0010U_ATH,Zürich-Kaserne,47.377586,8.530419,409.0
CH0029U_ATH,Bern-Bollwek,46.951111,7.440833,542.0
CH0030U_MAAP,Lugano-Università,46.011111,8.957222,287.0
CL0001R_NP,El Tololo,-30.172540,-70.799230,2220.0
DE0043G_MAAP,Hohenpeissenberg,47.801498,11.009619,975.0
DE0060G_MAAP,Neumayer,-70.666000,-8.266000,42.0
DE0060G_NP,Neumayer,-70.666000,-8.266000,42.0
DE0063K_MAAP,Dresden-Nord,51.065000,13.741389,116.0
DE0064B_MAAP,Dresden-Winckelmannstrasse,51.036111,13.730556,120.0
DK0025G_CLAP,Summit,72.580002,-38.480000,3238.0
DK0025G_NP,Summit,72.580002,-38.480000,3238.0
ES0022R_NP,Montsec,42.051340,0.729560,1571.0
ES0100R_CLAP,El Arenosillo,37.100000,-6.733333,41.0
ES1778R_NP,Montseny,41.766667,2.350000,700.0
FI0042U_MAAP,Helsinki (Mannerheimintie),60.169722,24.939444,10.0
FI0049U_ATH,Helsinki (Pirkkola),60.234215,24.922323,27.0
FI0050R_CLAP,Hyytiälä,61.850000,24.283333,181.0
FI0050R_NP,Hyytiälä,61.850000,24.283333,181.0
FR0020R_ATH,Sirta Atmospheric Research Observatory,48.708900,2.148700,162.0
FR0030R_MAAP,Puy De Dôme,45.772223,2.964886,1465.0
FR0030R_NP,Puy De Dôme,45.772223,2.964886,1465.0
FR0035U_ATH,Marseille Longchamp,43.305287,5.394716,73.0
FR0043U_ATH,Paris Haussmann,48.874322,2.323108,44.5
FR0044U_ATH,Paris 13Éme,48.828474,2.359384,57.0
GB0101U_ATH,Birmingham Air Quality Site (Baqs),52.456000,-1.929000,143.0
GR0101R_CLAP,Helmos Mountain,37.984265,22.196262,2314.0
HU0002R_CLAP,K-Puszta,46.965333,19.544889,125.0
IT0004R_ATH,Ispra,45.814556,8.635722,209.0
IT0009R_MAAP,Monte Cimone,44.193205,10.701429,2165.0
KR0100R_ATH,Anmyeon-Do,36.538334,126.330002,46.0
KR0100R_NP,Anmyeon-Do,36.538334,126.330002,57.7
KR0101R_CLAP,Gosan,33.293917,126.163111,72.0
NL0011R_MAAP--S1,Cabauw Zijdeweg,51.970278,4.926389,1.0
NO0042G_ATH,Zeppelin Mountain (Ny-Ålesund),78.907150,11.886680,474.0
NO0047R_RG,Svanvik,69.450000,30.033333,30.0
NO0047R_UNK,Svanvik,69.450000,30.033333,30.0
NO0057R_IC,Ny-Ålesund,78.925000,11.922222,8.0
NO0057R_PH-M,Ny-Ålesund,78.925000,11.922222,1007.9
NO0057R_RG,Ny-Ålesund,78.925000,11.922222,8.0
NO0059G_PSAP,Trollhaugen,-72.011700,2.535100,1553.0
NO0098R_RG,Karpdalen,69.656165,30.421796,70.0
NO0098R_UNK,Karpdalen,69.656165,30.421796,70.0
NO0218R_IC,Løken,59.805443,11.460562,135.0
NO0218R_PH-M,Løken,59.805443,11.460562,1007.9
NO0218R_RG,Løken,59.805443,11.460562,135.0
NO0236R_IC,Treungen,59.016667,8.516667,300.0
NO0236R_PH-M,Treungen,59.016667,8.516667,1007.9
NO0236R_RG,Treungen,59.016667,8.516667,300.0
NO0237R_IC,Vatnedalen,59.466667,7.366667,800.0
NO0237R_PH-M,Vatnedalen,59.466667,7.366667,1007.9
NO0237R_RG,Vatnedalen,59.466667,7.366667,800.0
NO0478R_IC,Høylandet,64.646965,12.312422,60.0
NO0478R_PH-M,Høylandet,64.646965,12.312422,1007.9
NO0478R_RG,Høylandet,64.646965,12.312422,60.0
NO0572R_IC,Vikedal,59.536766,5.972167,60.0
NO0572R_PH-M,Vikedal,59.536766,5.972167,1007.9
NO0572R_RG,Vikedal,59.536766,5.972167,60.0
NO0655R_IC,Nausta,61.577408,5.898247,230.0
NO0655R_PH-M,Nausta,61.577408,5.898247,1007.9
NO0655R_RG,Nausta,61.577408,5.898247,230.0
NO1218R_IC,Brekkebygda,60.300000,9.733333,390.0
NO1218R_PH-M,Brekkebygda,60.300000,9.733333,1007.9
NO1218R_RG,Brekkebygda,60.300000,9.733333,390.0
NO1241R_IC,Karpbukt,69.666667,30.366667,20.0
NO1241R_PH-M,Karpbukt,69.666667,30.366667,1007.9
NO1241R_RG,Karpbukt,69.666667,30.366667,20.0
PR0100C_CLAP,Cape San Juan,18.381000,-65.618000,65.0
SE0024U_ATH,Stockholm (Hornsgatan 108),59.317111,18.048444,42.0
SE0025U_ATH,Stockholm (Torkel Knutssonsgatan),59.316028,18.057861,38.0
TW0100R_PSAP,Lulin,23.470000,120.870000,2862.0
US0008R_CLAP,Barrow,71.323013,-156.611465,11.0
US0035R_CLAP,Bondville,40.050000,-88.366670,213.0
US0901R_CLAP,Boulder Table Mountain,40.124980,-105.236800,1689.0
US1200R_CLAP,Mauna Loa,19.536230,-155.576157,3397.0
US3446C_CLAP,"Appalachian State University,Boone (Nc)",36.200000,-81.700000,1076.0
US6004G_CLAP,South Pole,-89.996948,-24.799999,2841.0
US9050R_CLAP,"Steamboat Springs,Colorado (Storm Peak Laboratory)",40.445000,-106.740000,3220.0
