# Site ID, Site Name, Latitude, Longitude, Altitude (m)
ES1778R_NP,Montseny,41.766667,2.350000,700.0
FI0042U_MAAP,Helsinki (Mannerheimintie),60.169722,24.939444,10.0
FI0049U_ATH,Helsinki (Pirkkola),60.234215,24.922323,27.0
FR0020R_ATH,Sirta Atmospheric Research Observatory,48.708900,2.148700,162.0
FR0043U_ATH,Paris Haussmann,48.874322,2.323108,44.5
FR0044U_ATH,Paris 13Éme,48.828474,2.359384,57.0
GB0101U_ATH,Birmingham Air Quality Site (Baqs),52.456000,-1.929000,143.0
NL0011R_MAAP--S1,Cabauw Zijdeweg,51.970278,4.926389,1.0
NO0218R_IC,Løken,59.805443,11.460562,135.0
NO0218R_PH-M,Løken,59.805443,11.460562,1007.9
NO0218R_RG,Løken,59.805443,11.460562,135.0
SE0024U_ATH,Stockholm (Hornsgatan 108),59.317111,18.048444,42.0
SE0025U_ATH,Stockholm (Torkel Knutssonsgatan),59.316028,18.057861,38.0
US0901R_CLAP,Boulder Table Mountain,40.124980,-105.236800,1689.0
