# Site ID, Site Name, Latitude, Longitude, Altitude (m)
01_053_1000_RG,Pci Met1,31.092100,-87.543500,89.6
01_073_0023_RG,North Birmingham,33.553056,-86.815000,177.0
01_073_2059_RG,Arkadelphia/Near Road,33.521427,-86.844112,183.7
02_068_0003_RG,Denali Np & Pres - Headquarters,63.723200,-148.967600,663.0
04_003_8001_RG,Chiricahua Nm - Entrance Station,32.009410,-109.389060,1569.0
04_005_8001_RG,Grand Canyon Np - The Abyss,36.058640,-112.183600,2070.0
06_027_0002_RG,White Mountain Research Center - Owens Valley Lab,37.360684,-118.330783,1257.0
06_027_0025_RG,Shell Cut,36.366319,-117.897609,1104.0
06_027_0026_RG,Bill Stanley,36.361932,-118.010680,1104.0
06_027_0030_RG,Mill Site,36.458104,-117.851888,1103.0
06_027_1001_RG,Coso Junction,36.049402,-117.943927,1027.0
06_027_1003_RG,Keeler,36.487823,-117.871036,1097.0
06_027_1018_RG,Lone Pine Paiute-Shoshone Reservation,36.595556,-118.049167,1128.0
06_027_1023_RG,Bishop Tribe Emo,37.362137,-118.417478,1288.6
06_027_1028_RG,Fort Independence Indian Community,36.834957,-118.226677,1201.0
06_027_1033_RG,Stn.1 Big Pine Paiute Site,37.155494,-118.293547,1236.0
06_065_0010_RG,Joshua Tree Np - Cottonwood Visitor Center,33.747236,-115.820124,943.0
06_065_1004_RG,Joshua Tree Np - Pinto Wells,33.939700,-115.410800,326.0
06_067_0011_RG,Elk Grove-Bruceville,38.302591,-121.420838,6.0
06_069_0003_RG,Pinnacles Np - Southwest Of East Entrance Station,36.483240,-121.156880,317.0
06_071_1001_RG,Mojave Np & Pres - Kelso Mountains,35.101900,-115.776700,1212.0
06_071_9002_RG,Joshua Tree Np - Black Rock,34.069570,-116.388930,1243.0
06_089_3003_RG,Lassen Volcanic Np - Manzanita Lake Fire Station,40.539990,-121.576460,1755.0
06_107_0006_RG,Sequoia & Kings Canyon Nps - Lower Kaweah,36.566128,-118.777700,1890.0
06_107_0009_RG,Sequoia & Kings Canyon Nps - Ash Mountain,36.489470,-118.829150,510.0
06_111_0007_RG,Thousand Oaks,34.210169,-118.870509,244.0
06_111_0008_RG,"Site In Simi Valley Landfill. Nearest Traffic Hwy 118, So, 1/2 Mi.",34.291257,-118.797650,288.0
06_111_0009_RG,Piru - Pacific,34.404281,-118.809980,190.0
06_111_1004_RG,Ojai - East Ojai Ave,34.448060,-119.231300,262.0
06_111_3001_RG,El Rio-Rio Mesa School #2,34.252390,-119.143182,43.0
08_029_0007_RG,"Paonia, Colorado",38.876400,-107.602300,3027.0
08_067_1004_RG,08 067 1004,37.303890,-107.484167,2367.0
08_069_0007_RG,Rocky Mountain Np - Long'S Peak,40.278130,-105.545640,2742.0
08_083_0101_RG,Mesa Verde Np - Resource Management Area,37.198400,-108.490460,2170.0
08_085_0005_RG,Paradox,38.342743,-108.994950,1582.0
08_103_0005_RG,08 103 0005,40.038889,-107.847500,1994.0
08_103_0006_RG,"Rangely, Golf Course",40.086944,-108.761389,1655.0
12_086_0030_RG,Site Moved Across Road From Beard Center To Behind Iori Research Bld,25.391220,-80.680819,1.0
13_215_1003_RG,Columbus-Crime Lab,32.539571,-84.844732,122.0
13_245_0091_RG,Augusta,33.433900,-82.022400,46.0
15_001_0005_RG,Hawaii Volcanoes Np - Kilauea Visitors Center,19.430800,-155.257800,1201.0
17_019_1001_RG,Isws Climate Station,40.052780,-88.372510,213.0
17_133_9001_RG,17 133 9001,38.159080,-90.227280,446.0
21_061_0501_RG,Mammoth Cave Np - Houchin Meadow,37.131790,-86.142953,230.0
21_111_0043_RG,Southwick,38.233190,-85.815660,112.0
21_111_0067_RG,Cannons Lane,38.228760,-85.654520,127.0
23_009_0103_RG,Mcfarland Hill Air Pollutant Research Site,44.377050,-68.260900,158.5
24_003_2002_RG,24 003 2002,39.158911,-76.511025,2.4
24_005_0009_RG,Baltimore County Near Road,39.371679,-76.746814,10.0
24_005_1007_RG,Padonia,39.460478,-76.633543,126.0
24_005_3001_RG,Essex,39.310833,-76.474444,5.0
24_013_0001_RG,South Carroll,39.444294,-77.042252,226.0
24_015_0003_RG,Fair Hill Natural Resource Management Area,39.702982,-75.864771,128.0
24_019_0004_RG,Horn Point,38.587525,-76.141006,
24_023_0002_RG,Piney Run,39.705950,-79.012000,776.6
24_025_1001_RG,Edgewood,39.410191,-76.296946,6.0
24_025_9001_RG,Aldino,39.563333,-76.203889,395.0
24_029_0002_RG,Millington,39.305021,-75.797317,18.0
24_043_0009_RG,Hagerstown,39.564178,-77.720244,183.0
25_015_4002_RG,Quabbin Res,42.298493,-72.334079,312.0
27_137_0034_RG,Voyageurs Np - Sullivan Bay,48.412520,-92.829225,427.0
27_163_0448_RG,Andersen Windows South,45.021240,-92.775250,210.9
29_071_9001_RG,"Valley Site, Labadie",38.572522,-90.796911,160.0
29_095_0042_RG,"Blue Ridge, I-70",39.047911,-94.450513,293.0
29_189_0016_RG,"Rider Trail, I-70",38.752640,-90.448840,157.0
29_510_0094_RG,Forest Park,38.631140,-90.281150,168.0
32_031_1026_RG,Wadsworth Air  And Meteorological Monitoring Site,39.636800,-119.288800,1248.0
32_033_0101_RG,Great Basin Np - Maintenance Yard,39.005120,-114.215930,2058.0
33_001_2004_RG,Field Office On The Grounds Of The Former State Prison,43.566122,-71.496335,216.0
33_011_5001_RG,Miller State Park,42.861830,-71.878626,694.0
33_015_0018_RG,Moosehill School,42.862531,-71.380140,108.0
34_019_0001_RG,Flemington,40.515262,-74.806671,45.0
34_021_0005_RG,Rider University,40.283092,-74.742613,30.0
34_041_0007_RG,Columbia,40.924580,-75.067815,146.0
35_001_0023_RG,Del Norte High School,35.134300,-106.585200,1592.5
35_015_0010_RG,35 015 0010,32.178157,-104.443447,1357.0
35_045_0020_RG,Chaco Culture Nhp - Radio Repeater,36.035000,-107.904167,1965.0
37_183_0014_RG,Millbrook School,35.856111,-78.574167,100.0
38_007_0002_RG,Painted Canyon,46.894300,-103.378530,832.0
40_023_2017_RG,40 023 2017,34.153000,-95.321300,3.0
42_003_0008_RG,Lawrenceville,40.465420,-79.960757,256.0
44_007_1010_RG,Francis School East Providence,41.841039,-71.360970,15.0
45_079_0007_RG,Parklane,34.093959,-80.962304,107.0
45_079_0021_RG,Congaree Bluff,33.814680,-80.781135,33.9
46_033_0132_RG,Wind Cave Np - Visitor Center,43.557640,-103.483860,1288.0
47_009_0101_RG,Great Smoky Mountains Np - Look Rock,35.633480,-83.941606,801.0
47_009_0102_RG,Great Smoky Mountains Np - Cade'S Cove,35.603056,-83.783611,564.0
47_155_0101_RG,Great Smoky Mountains Np - Cove Mountain,35.696758,-83.609612,1243.0
