# Site ID, Site Name, Latitude, Longitude, Altitude (m)
NY67_CFA,Ithaca,42.401400,-76.658900,503.0
NY67_F-AAS,Ithaca,42.401400,-76.658900,503.0
NY67_IC,Ithaca,42.401400,-76.658900,503.0
NY67_PH-M,Ithaca,42.401400,-76.658900,503.0
NY67_RG,Ithaca,42.401400,-76.658900,503.0
PA15_CFA,Penn State,40.788300,-77.945800,393.0
PA15_F-AAS,Penn State,40.788300,-77.945800,393.0
PA15_IC,Penn State,40.788300,-77.945800,393.0
PA15_PH-M,Penn State,40.788300,-77.945800,393.0
PA15_RG,Penn State,40.788300,-77.945800,393.0
TN00_CFA,Walker Branch Watershed,35.961400,-84.287200,341.0
TN00_F-AAS,Walker Branch Watershed,35.961400,-84.287200,341.0
TN00_IC,Walker Branch Watershed,35.961400,-84.287200,341.0
TN00_PH-M,Walker Branch Watershed,35.961400,-84.287200,341.0
TN00_RG,Walker Branch Watershed,35.961400,-84.287200,341.0
WV99_CFA,Canaan Valley Institute,39.119100,-79.452200,988.0
WV99_F-AAS,Canaan Valley Institute,39.119100,-79.452200,988.0
WV99_IC,Canaan Valley Institute,39.119100,-79.452200,988.0
WV99_PH-M,Canaan Valley Institute,39.119100,-79.452200,988.0
WV99_RG,Canaan Valley Institute,39.119100,-79.452200,988.0
