# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AB14_CV-AFS,Genesee,53.301600,-114.201600,761.0
AB14_RG,Genesee,53.301600,-114.201600,761.0
AK96_CV-AFS,Toolik Field Station,68.625700,-149.606900,730.0
AK96_RG,Toolik Field Station,68.625700,-149.606900,730.0
AK98_CV-AFS,Kodiak,57.718900,-152.561700,7.0
AK98_RG,Kodiak,57.718900,-152.561700,7.0
BC16_CV-AFS,Saturna Island,48.775300,-123.128100,196.0
BC16_RG,Saturna Island,48.775300,-123.128100,196.0
CA75_CV-AFS,Sequoia National Park-Giant Forest,36.566100,-118.778000,1921.0
CA75_RG,Sequoia National Park-Giant Forest,36.566100,-118.778000,1921.0
CA94_CV-AFS,Converse Flats,34.193800,-116.913100,1724.0
CA94_RG,Converse Flats,34.193800,-116.913100,1724.0
CO96_CV-AFS,Molas Pass,37.750000,-107.689000,3248.0
CO96_RG,Molas Pass,37.750000,-107.689000,3248.0
CO97_CV-AFS,Buffalo Pass - Summit Lake,40.538300,-106.676600,3234.0
CO97_RG,Buffalo Pass - Summit Lake,40.538300,-106.676600,3234.0
CO99_CV-AFS,Mesa Verde National Park-Chapin Mesa,37.197900,-108.491000,2162.0
CO99_RG,Mesa Verde National Park-Chapin Mesa,37.197900,-108.491000,2162.0
FL05_CV-AFS,Chassahowitzka National Wildlife Refuge,28.748600,-82.555100,3.0
FL05_RG,Chassahowitzka National Wildlife Refuge,28.748600,-82.555100,3.0
FL11_CV-AFS,Everglades National Park-Research Center,25.390000,-80.680000,2.0
FL11_RG,Everglades National Park-Research Center,25.390000,-80.680000,2.0
FL95_CV-AFS,Everglades - South Palm Beach County,26.430300,-80.473900,2.0
FL95_RG,Everglades - South Palm Beach County,26.430300,-80.473900,2.0
FL97_CV-AFS,Everglades-Western Broward County,26.171400,-80.822200,4.0
FL97_RG,Everglades-Western Broward County,26.171400,-80.822200,4.0
GA09_CV-AFS,Okefenokee National Wildlife Refuge,30.740400,-82.128300,45.0
GA09_RG,Okefenokee National Wildlife Refuge,30.740400,-82.128300,45.0
IL11_CV-AFS,Bondville,40.052800,-88.371900,212.0
IL11_RG,Bondville,40.052800,-88.371900,212.0
IN21_CV-AFS,Clifty Falls State Park,38.762200,-85.420200,256.0
IN21_RG,Clifty Falls State Park,38.762200,-85.420200,256.0
IN22_CV-AFS,Southwest Purdue Agriculture Center,38.740800,-87.485500,134.0
IN22_RG,Southwest Purdue Agriculture Center,38.740800,-87.485500,134.0
IN34_CV-AFS,Indiana Dunes National Lakeshore,41.631800,-87.088100,208.0
IN34_RG,Indiana Dunes National Lakeshore,41.631800,-87.088100,208.0
KS03_CV-AFS,Reserve,39.979200,-95.568100,265.0
KS03_RG,Reserve,39.979200,-95.568100,265.0
KS05_CV-AFS,Coffey County Lake,38.199200,-95.664600,337.0
KS05_RG,Coffey County Lake,38.199200,-95.664600,337.0
KS24_CV-AFS,Glen Elder State Park,39.513600,-98.340300,456.0
KS24_RG,Glen Elder State Park,39.513600,-98.340300,456.0
KS32_CV-AFS,Lake Scott State Park,38.671700,-100.916400,863.0
KS32_RG,Lake Scott State Park,38.671700,-100.916400,863.0
KY10_CV-AFS,Mammoth Cave National Park-Houchin Meadow,37.131700,-86.148000,236.0
KY10_RG,Mammoth Cave National Park-Houchin Meadow,37.131700,-86.148000,236.0
MA01_CV-AFS,North Atlantic Coastal Lab,41.975900,-70.024100,57.0
MA01_RG,North Atlantic Coastal Lab,41.975900,-70.024100,57.0
MD00_CV-AFS,Smithsonian Environmental Research Center,38.889000,-76.555800,20.0
MD00_RG,Smithsonian Environmental Research Center,38.889000,-76.555800,20.0
MD08_CV-AFS,Piney Reservoir,39.705300,-79.012200,769.0
MD08_RG,Piney Reservoir,39.705300,-79.012200,769.0
MD99_CV-AFS,Beltsville,39.028000,-76.817100,46.0
MD99_RG,Beltsville,39.028000,-76.817100,46.0
ME00_CV-AFS,Caribou,46.867500,-68.013400,191.0
ME00_RG,Caribou,46.867500,-68.013400,191.0
ME02_CV-AFS,Bridgton,44.107500,-70.728900,222.0
ME02_RG,Bridgton,44.107500,-70.728900,222.0
ME04_CV-AFS,Carrabassett Valley,45.080300,-70.211800,259.0
ME04_RG,Carrabassett Valley,45.080300,-70.211800,259.0
ME09_CV-AFS,Greenville Station,45.489100,-69.664700,322.0
