# Site ID, Site Name, Latitude, Longitude, Altitude (m)
MD00_CV-AFS,Smithsonian Environmental Research Center,38.889000,-76.555800,20.0
MD00_RG,Smithsonian Environmental Research Center,38.889000,-76.555800,20.0
MD99_CV-AFS,Beltsville,39.028000,-76.817100,46.0
MD99_RG,Beltsville,39.028000,-76.817100,46.0
NJ30_CV-AFS,New Brunswick,40.472800,-74.422600,21.0
NJ30_RG,New Brunswick,40.472800,-74.422600,21.0
NY06_CV-AFS,Bronx,40.868000,-73.878200,68.0
NY06_RG,Bronx,40.868000,-73.878200,68.0
WA18_CV-AFS,Seattle/Noaa,47.684300,-122.258800,11.0
WA18_RG,Seattle/Noaa,47.684300,-122.258800,11.0
