# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AB32_CFA,Fort Mackay,57.189400,-111.640600,265.0
AB32_F-AAS,Fort Mackay,57.189400,-111.640600,265.0
AB32_IC,Fort Mackay,57.189400,-111.640600,265.0
AB32_PH-M,Fort Mackay,57.189400,-111.640600,265.0
AB32_RG,Fort Mackay,57.189400,-111.640600,265.0
AB34_CFA,Stony Mountain,55.621400,-111.172700,673.0
AB34_F-AAS,Stony Mountain,55.621400,-111.172700,673.0
AB34_IC,Stony Mountain,55.621400,-111.172700,673.0
AB34_PH-M,Stony Mountain,55.621400,-111.172700,673.0
AB34_RG,Stony Mountain,55.621400,-111.172700,673.0
AB36_CFA,Wapasu,57.259200,-111.038600,491.0
AB36_F-AAS,Wapasu,57.259200,-111.038600,491.0
AB36_IC,Wapasu,57.259200,-111.038600,491.0
AB36_PH-M,Wapasu,57.259200,-111.038600,491.0
AB36_RG,Wapasu,57.259200,-111.038600,491.0
AK01_CFA,Poker Creek,65.155000,-147.491000,230.0
AK01_F-AAS,Poker Creek,65.155000,-147.491000,230.0
AK01_IC,Poker Creek,65.155000,-147.491000,230.0
AK01_PH-M,Poker Creek,65.155000,-147.491000,230.0
AK01_RG,Poker Creek,65.155000,-147.491000,230.0
AK02_CFA,Juneau,58.513900,-134.784300,25.0
AK02_F-AAS,Juneau,58.513900,-134.784300,25.0
AK02_IC,Juneau,58.513900,-134.784300,25.0
AK02_PH-M,Juneau,58.513900,-134.784300,25.0
AK02_RG,Juneau,58.513900,-134.784300,25.0
AK03_CFA,Denali National Park,63.723200,-148.967600,661.0
AK03_F-AAS,Denali National Park,63.723200,-148.967600,661.0
AK03_IC,Denali National Park,63.723200,-148.967600,661.0
AK03_PH-M,Denali National Park,63.723200,-148.967600,661.0
AK03_RG,Denali National Park,63.723200,-148.967600,661.0
AK96_CFA,Toolik Field Station,68.625700,-149.606900,730.0
AK96_F-AAS,Toolik Field Station,68.625700,-149.606900,730.0
AK96_IC,Toolik Field Station,68.625700,-149.606900,730.0
AK96_PH-M,Toolik Field Station,68.625700,-149.606900,730.0
AK96_RG,Toolik Field Station,68.625700,-149.606900,730.0
AK97_CFA,Katmai National Park - King Salmon,58.679400,-156.666400,50.0
AK97_F-AAS,Katmai National Park - King Salmon,58.679400,-156.666400,50.0
AK97_IC,Katmai National Park - King Salmon,58.679400,-156.666400,50.0
AK97_PH-M,Katmai National Park - King Salmon,58.679400,-156.666400,50.0
AK97_RG,Katmai National Park - King Salmon,58.679400,-156.666400,50.0
AL10_CFA,Black Belt Research & Extension Center,32.458300,-87.242200,58.0
AL10_F-AAS,Black Belt Research & Extension Center,32.458300,-87.242200,58.0
AL10_IC,Black Belt Research & Extension Center,32.458300,-87.242200,58.0
AL10_PH-M,Black Belt Research & Extension Center,32.458300,-87.242200,58.0
AL10_RG,Black Belt Research & Extension Center,32.458300,-87.242200,58.0
AL99_CFA,Sand Mountain Research & Extension Center,34.288600,-85.969900,349.0
AL99_F-AAS,Sand Mountain Research & Extension Center,34.288600,-85.969900,349.0
AL99_IC,Sand Mountain Research & Extension Center,34.288600,-85.969900,349.0
AL99_PH-M,Sand Mountain Research & Extension Center,34.288600,-85.969900,349.0
AL99_RG,Sand Mountain Research & Extension Center,34.288600,-85.969900,349.0
AR02_CFA,Warren 2Wsw,33.605000,-92.097200,76.0
AR02_F-AAS,Warren 2Wsw,33.605000,-92.097200,76.0
AR02_IC,Warren 2Wsw,33.605000,-92.097200,76.0
AR02_PH-M,Warren 2Wsw,33.605000,-92.097200,76.0
AR02_RG,Warren 2Wsw,33.605000,-92.097200,76.0
AR03_CFA,Caddo Valley,34.179500,-93.099200,71.0
AR03_F-AAS,Caddo Valley,34.179500,-93.099200,71.0
AR03_IC,Caddo Valley,34.179500,-93.099200,71.0
AR03_PH-M,Caddo Valley,34.179500,-93.099200,71.0
AR03_RG,Caddo Valley,34.179500,-93.099200,71.0
AR16_CFA,Buffalo National River-Buffalo Point,36.084200,-92.586800,311.0
AR16_F-AAS,Buffalo National River-Buffalo Point,36.084200,-92.586800,311.0
AR16_IC,Buffalo National River-Buffalo Point,36.084200,-92.586800,311.0
AR16_PH-M,Buffalo National River-Buffalo Point,36.084200,-92.586800,311.0
AR16_RG,Buffalo National River-Buffalo Point,36.084200,-92.586800,311.0
AR27_CFA,Fayetteville,36.101100,-94.173700,381.0
AR27_F-AAS,Fayetteville,36.101100,-94.173700,381.0
AR27_IC,Fayetteville,36.101100,-94.173700,381.0
AR27_PH-M,Fayetteville,36.101100,-94.173700,381.0
AR27_RG,Fayetteville,36.101100,-94.173700,381.0
AZ03_CFA,Grand Canyon National Park-Hopi Point,36.058600,-112.184000,2071.0
AZ03_F-AAS,Grand Canyon National Park-Hopi Point,36.058600,-112.184000,2071.0
AZ03_IC,Grand Canyon National Park-Hopi Point,36.058600,-112.184000,2071.0
AZ03_PH-M,Grand Canyon National Park-Hopi Point,36.058600,-112.184000,2071.0
AZ03_RG,Grand Canyon National Park-Hopi Point,36.058600,-112.184000,2071.0
AZ06_CFA,Organ Pipe Cactus National Monument,31.949200,-112.802000,501.0
AZ06_F-AAS,Organ Pipe Cactus National Monument,31.949200,-112.802000,501.0
AZ06_IC,Organ Pipe Cactus National Monument,31.949200,-112.802000,501.0
AZ06_PH-M,Organ Pipe Cactus National Monument,31.949200,-112.802000,501.0
AZ06_RG,Organ Pipe Cactus National Monument,31.949200,-112.802000,501.0
AZ97_CFA,Petrified Forest National Park-Rainbow Forest,34.822400,-109.892500,1707.0
AZ97_F-AAS,Petrified Forest National Park-Rainbow Forest,34.822400,-109.892500,1707.0
AZ97_IC,Petrified Forest National Park-Rainbow Forest,34.822400,-109.892500,1707.0
AZ97_PH-M,Petrified Forest National Park-Rainbow Forest,34.822400,-109.892500,1707.0
AZ97_RG,Petrified Forest National Park-Rainbow Forest,34.822400,-109.892500,1707.0
AZ98_CFA,Chiricahua,32.009700,-109.388900,1570.0
AZ98_F-AAS,Chiricahua,32.009700,-109.388900,1570.0
AZ98_IC,Chiricahua,32.009700,-109.388900,1570.0
AZ98_PH-M,Chiricahua,32.009700,-109.388900,1570.0
AZ98_RG,Chiricahua,32.009700,-109.388900,1570.0
AZ99_CFA,Oliver Knoll,33.070800,-109.866000,1176.0
AZ99_F-AAS,Oliver Knoll,33.070800,-109.866000,1176.0
AZ99_IC,Oliver Knoll,33.070800,-109.866000,1176.0
AZ99_PH-M,Oliver Knoll,33.070800,-109.866000,1176.0
AZ99_RG,Oliver Knoll,33.070800,-109.866000,1176.0
BC22_CFA,Haul Road Station,54.029400,-128.701900,10.0
BC22_F-AAS,Haul Road Station,54.029400,-128.701900,10.0
BC22_IC,Haul Road Station,54.029400,-128.701900,10.0
BC22_PH-M,Haul Road Station,54.029400,-128.701900,10.0
BC22_RG,Haul Road Station,54.029400,-128.701900,10.0
BC23_CFA,Lakelse Lake,54.377200,-128.577500,111.0
BC23_F-AAS,Lakelse Lake,54.377200,-128.577500,111.0
BC23_IC,Lakelse Lake,54.377200,-128.577500,111.0
BC23_PH-M,Lakelse Lake,54.377200,-128.577500,111.0
BC23_RG,Lakelse Lake,54.377200,-128.577500,111.0
