# Site ID, Site Name, Latitude, Longitude, Altitude (m)
CA42_CFA,Tanbark Flat,34.207100,-117.761800,853.0
CA42_F-AAS,Tanbark Flat,34.207100,-117.761800,853.0
CA42_IC,Tanbark Flat,34.207100,-117.761800,853.0
CA42_PH-M,Tanbark Flat,34.207100,-117.761800,853.0
CA42_RG,Tanbark Flat,34.207100,-117.761800,853.0
MA22_CFA,Boston University,42.350100,-71.104400,32.0
MA22_F-AAS,Boston University,42.350100,-71.104400,32.0
MA22_IC,Boston University,42.350100,-71.104400,32.0
MA22_PH-M,Boston University,42.350100,-71.104400,32.0
MA22_RG,Boston University,42.350100,-71.104400,32.0
MA98_CFA,Arnold Arboretum,42.295300,-71.134000,48.0
MA98_F-AAS,Arnold Arboretum,42.295300,-71.134000,48.0
MA98_IC,Arnold Arboretum,42.295300,-71.134000,48.0
MA98_PH-M,Arnold Arboretum,42.295300,-71.134000,48.0
MA98_RG,Arnold Arboretum,42.295300,-71.134000,48.0
MD99_CFA,Beltsville,39.028000,-76.817100,46.0
MD99_F-AAS,Beltsville,39.028000,-76.817100,46.0
MD99_IC,Beltsville,39.028000,-76.817100,46.0
MD99_PH-M,Beltsville,39.028000,-76.817100,46.0
MD99_RG,Beltsville,39.028000,-76.817100,46.0
NJ99_CFA,Washington Crossing,40.315400,-74.853600,72.0
NJ99_F-AAS,Washington Crossing,40.315400,-74.853600,72.0
NJ99_IC,Washington Crossing,40.315400,-74.853600,72.0
NJ99_PH-M,Washington Crossing,40.315400,-74.853600,72.0
NJ99_RG,Washington Crossing,40.315400,-74.853600,72.0
NY06_CFA,Bronx,40.868000,-73.878200,68.0
NY06_F-AAS,Bronx,40.868000,-73.878200,68.0
NY06_IC,Bronx,40.868000,-73.878200,68.0
NY06_PH-M,Bronx,40.868000,-73.878200,68.0
NY06_RG,Bronx,40.868000,-73.878200,68.0
WA98_CFA,Columbia River Gorge,45.569400,-122.210000,233.0
WA98_F-AAS,Columbia River Gorge,45.569400,-122.210000,233.0
WA98_IC,Columbia River Gorge,45.569400,-122.210000,233.0
WA98_PH-M,Columbia River Gorge,45.569400,-122.210000,233.0
WA98_RG,Columbia River Gorge,45.569400,-122.210000,233.0
