# Site ID, Site Name, Latitude, Longitude, Altitude (m)
594_UNK,nan,51.151352,-0.704610,89.0
GB0002R_UNK,Eskdalemuir,55.315310,-3.206111,259.0
GB0003R_UNK,Goonhilly,50.050611,-5.181545,108.0
GB0015R_UNK,Strathvaich,57.734456,-4.776583,270.0
GB0047R_UNK,Bure Marshes,52.692369,1.452620,3.0
GB0054R_UNK,Glensaugh,56.907222,-2.559444,242.0
GB0058R_UNK,Moorhouse,54.690133,-2.376928,570.0
GB0126R_UNK,Rothamsted,51.806100,-0.360450,130.0
GB0138R_UNK,Hillsborough,54.452500,-6.083340,120.0
GB0151R_UNK,Wardlow Hay Cop,53.261715,-1.735789,350.0
GB0160R_UNK,Allt Amharcaidh,57.124167,-3.856667,366.0
GB0197R_UNK,Llyn Llydaw,53.074525,-4.034731,490.0
GB1049A_UNK,Forsinard Rspb,58.359874,-3.893460,70.0
GB1076R_UNK,Ainsdale Dunes And Sands,53.587784,-3.075684,9.0
GB1078R_UNK,Ingleborough,54.193454,-2.352220,374.0
GB1080R_UNK,Monks Wood,52.400993,-0.238398,43.0
GB1081R_UNK,River Etherow,53.486530,-1.814450,450.0
GB1082R_UNK,Stiperstones,52.581223,-2.945132,418.0
GB1083R_UNK,Thorganby,53.875684,-0.970738,8.0
GB1084R_UNK,Fenns Whixall And Bettisfield Mosses,52.925380,-2.756233,88.0
GB1373R_UNK,Loch Dee,55.071756,-4.400907,230.0
GB1378R_UNK,Bannisdale Beck,54.409225,-2.724521,277.0
UKA00103_UNK,Flatford Mill,51.956200,1.026680,5.0
UKA00110_UNK,Preston Montford,52.724311,-2.841579,70.0
UKA00113_UNK,Tycanol Wood,51.993801,-4.778895,205.0
UKA00123_UNK,Whiteadder,55.860033,-2.541875,250.0
UKA00173_UNK,Pumlumon,52.453809,-3.731754,390.0
UKA00180_UNK,Polloch,56.759708,-5.613202,30.0
UKA00239_UNK,Balquhidder 2,56.356229,-4.356985,130.0
UKA00383_UNK,Beaghs Burn,55.086709,-6.174419,252.0
UKA00504_UNK,Percys Cross,55.235677,-2.186631,170.0
UKA00505_UNK,Ystradffin,52.109214,-3.771879,179.0
UKA00550_UNK,Driby 2,53.248057,0.081391,48.0
UKA00657_UNK,Crai Reservoir 2,51.885449,-3.619594,310.0
