# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AMY_RG,Anmyeon-Do,36.538500,126.330000,46.0
HZR_F-AAS,Khuzhir,53.200000,107.330000,487.0
HZR_IC,Khuzhir,53.200000,107.330000,487.0
HZR_PH-M,Khuzhir,53.200000,107.330000,487.0
HZR_RG,Khuzhir,53.200000,107.330000,487.0
KWZ_F-AAS,Caucasus Biospheric Reserve,43.680000,40.200000,465.0
KWZ_IC,Caucasus Biospheric Reserve,43.680000,40.200000,465.0
KWZ_PH-M,Caucasus Biospheric Reserve,43.680000,40.200000,465.0
KWZ_RG,Caucasus Biospheric Reserve,43.680000,40.200000,465.0
LAN_F-AAS,Lin An,30.300000,119.733300,139.0
LAN_IC,Lin An,30.300000,119.733300,139.0
LAN_PH-M,Lin An,30.300000,119.733300,139.0
LAN_RG,Lin An,30.300000,119.733300,139.0
LFS_F-AAS,Long Feng Shan,44.733300,127.600000,331.0
LFS_IC,Long Feng Shan,44.733300,127.600000,331.0
LFS_PH-M,Long Feng Shan,44.733300,127.600000,331.0
LFS_RG,Long Feng Shan,44.733300,127.600000,331.0
OKA_F-AAS,Oka-Terrase Biospheric Reserve,54.900000,37.800000,166.0
OKA_IC,Oka-Terrase Biospheric Reserve,54.900000,37.800000,166.0
OKA_PH-M,Oka-Terrase Biospheric Reserve,54.900000,37.800000,166.0
OKA_RG,Oka-Terrase Biospheric Reserve,54.900000,37.800000,166.0
SAI_F-AAS,Sikhote-Alin Biospheric Reserve,45.000000,136.600000,51.0
SAI_IC,Sikhote-Alin Biospheric Reserve,45.000000,136.600000,51.0
SAI_PH-M,Sikhote-Alin Biospheric Reserve,45.000000,136.600000,51.0
SAI_RG,Sikhote-Alin Biospheric Reserve,45.000000,136.600000,51.0
SDM_F-AAS,Shadzhatmaz,43.730000,42.670000,2070.0
SDM_IC,Shadzhatmaz,43.730000,42.670000,2070.0
SDM_PH-M,Shadzhatmaz,43.730000,42.670000,2070.0
SDM_RG,Shadzhatmaz,43.730000,42.670000,2070.0
SDZ_F-AAS,Shang Dian Zi,40.650000,117.116700,294.0
SDZ_IC,Shang Dian Zi,40.650000,117.116700,294.0
SDZ_PH-M,Shang Dian Zi,40.650000,117.116700,294.0
SDZ_RG,Shang Dian Zi,40.650000,117.116700,294.0
TRH_F-AAS,Turukhansk,65.780000,87.950000,38.0
TRH_IC,Turukhansk,65.780000,87.950000,38.0
TRH_PH-M,Turukhansk,65.780000,87.950000,38.0
TRH_RG,Turukhansk,65.780000,87.950000,38.0
USV_F-AAS,Ust-Vym,62.230000,50.420000,106.0
USV_IC,Ust-Vym,62.230000,50.420000,106.0
USV_PH-M,Ust-Vym,62.230000,50.420000,106.0
USV_RG,Ust-Vym,62.230000,50.420000,106.0
VOR_F-AAS,Voronezh Biospheric Reserve,51.900000,39.600000,156.0
VOR_IC,Voronezh Biospheric Reserve,51.900000,39.600000,156.0
VOR_PH-M,Voronezh Biospheric Reserve,51.900000,39.600000,156.0
VOR_RG,Voronezh Biospheric Reserve,51.900000,39.600000,156.0
