site_id,site_name,latitude,longitude,altitude,state,country_code,county,status,site_class,start_date,end_date
AB35,Elk Island,53.6824,-112.868,711.0,AB,CA,Improvement District No. 13 (Elk Island),A,I,2019-10-15,
AL99,Sand Mountain Research & Extension Center,34.2886,-85.9699,349.0,AL,US,DeKalb,A,R,2011-03-29,
AR03,Caddo Valley,34.1795,-93.0992,71.0,AR,US,Clark,A,R,2011-03-01,
AR09,Rambo Hill,35.6246,-93.8688,261.0,AR,US,Franklin,A,I,2015-10-06,
AR15,LC Farms,35.9334,-93.8491,454.0,AR,US,Madison,A,I,2015-10-06,
AZ98,Chiricahua,32.0097,-109.3889,1570.0,AZ,US,Cochise,A,I,2011-03-22,
CA03,Burbank Area,34.2616,-118.4123,,CA,US,Los Angeles,A,U,2025-06-03,
CA04,Compton,33.9014,-118.205,,CA,US,Los Angeles,A,U,2025-06-03,
CA05,Long Beach,33.7937,-118.171,,CA,US,Los Angeles,A,U,2025-06-03,
CA06,Central LA,34.0664,-118.2269,,CA,US,Los Angeles,A,U,2025-06-03,
CA07,Long Beach Route 710 Near-Road,33.8597,-118.2007,,CA,US,Los Angeles,A,U,2025-06-03,
CA08,Mecca-Saul Martinez,33.572,-116.0638,,CA,US,Riverside,A,U,2025-06-03,
CA10,Inland Valley San Bernardino,34.1,-117.492,,CA,US,San Bernardino,A,U,2025-06-03,
CA11,Ontario Route 60 Near-Road,34.0309,-117.6174,,CA,US,San Bernardino,A,U,2025-06-03,
CA44,Yosemite NP - Turtleback Dome,37.7133,-119.7061,1605.0,CA,US,Mariposa,A,I,2011-03-15,
CA54,Anaheim,33.8306,-117.9385,,CA,US,Orange,A,U,2025-06-03,
CA64,Rubidoux,33.9994,-117.4158,,CA,US,Riverside,A,U,2025-06-03,
CA67,Joshua Tree National Park-Black Rock,34.0695,-116.3889,1239.0,CA,US,San Bernardino,A,R,2011-03-01,
CA83,Sequoia NP - Ash Mountain,36.4894,-118.8228,457.0,CA,US,Tulare,A,I,2011-03-22,
CA93,La Posta Band of Mission Indians,32.7252,-116.3644,,CA,US,San Diego,A,,2022-10-25,
CO10,Gothic,38.9561,-106.986,2915.0,CO,US,Gunnison,A,I,2012-09-11,
CO80,Akron 4E,40.1552,-103.1417,1364.0,CO,US,Washington,A,,2022-10-20,
CO81,Missile Site Park,40.4288,-104.8617,1513.0,CO,US,Weld,A,,2020-12-08,
CO82,Orchard,40.3199,-104.1598,1425.0,CO,US,Weld,A,,2021-01-19,
CO88,Rocky Mountain National Park - Longs Peak,40.2778,-105.5453,2739.0,CO,US,Larimer,A,R,2011-05-10,
CO98,Rocky Mountain National Park-Loch Vale,40.2878,-105.6628,3159.0,CO,US,Larimer,A,I,2011-05-10,
CT15,Abington,41.84,-72.0101,209.0,CT,US,Windham,A,R,2011-03-29,
FL11,Everglades National Park-Research Center,25.39,-80.68,2.0,FL,US,Dade,A,I,2011-03-15,
FL19,Indian River,27.8492,-80.4554,1.0,FL,US,Indian River,A,R,2011-04-26,
FL23,Sumatra,30.1106,-84.9902,14.0,FL,US,Liberty,A,I,2015-01-13,
FL93,Canaveral National Seashores,28.6443,-80.6832,3.0,FL,US,Brevard,A,,2024-09-24,
GA41,Georgia Station,33.1805,-84.4103,267.0,GA,US,Pike,A,R,2011-06-07,
ID03,Craters of the Moon National Monument,43.4605,-113.5551,1807.0,ID,US,Butte,A,I,2010-06-07,
ID07,Nez Perce,46.2745,-116.0216,903.0,ID,US,Idaho,A,I,2015-12-15,
ID14,Kimberly,42.5533,-114.3547,1188.0,ID,US,Twin Falls,A,R,2017-06-13,
IL11,Bondville,40.0528,-88.3719,212.0,IL,US,Champaign,A,S,2007-10-30,
IL37,Stockton,42.2869,-89.9997,274.0,IL,US,Jo Daviess,A,I,2011-04-26,
IN22,Southwest Purdue Agriculture Center,38.7408,-87.4855,134.0,IN,US,Knox,A,R,2015-01-13,
KS08,Haskell Indian Nations University,38.9343,-95.2297,270.0,KS,US,Douglas,A,U,2024-11-12,
KS31,Konza Prairie,39.1022,-96.6092,350.0,KS,US,Riley,A,R,2011-03-01,
KY03,Mackville,37.7047,-85.0489,293.0,KY,US,Washington,A,R,2011-03-01,
KY29,Crockett,37.9214,-83.0662,376.0,KY,US,Morgan,A,R,2015-01-13,
MD01,Lake Montebello,39.3375,-76.5891,49.0,MD,US,Baltimore City,A,,2021-08-31,
MD06,Blackwater NWR,38.4449,-76.1112,1.0,MD,US,Dorchester,A,R,2015-01-20,
MD08,Piney Reservoir,39.7053,-79.0122,769.0,MD,US,Garrett,A,R,2010-08-03,
MD92,Stewart Neck,38.1765,-75.7015,5.0,MD,US,Somerset,A,,2020-09-01,
MD97,Pocomoke City,38.0139,-75.5456,2.0,MD,US,Worcester,A,,2020-03-31,
MD99,Beltsville,39.028,-76.8171,46.0,MD,US,Prince Georges,A,U,2010-08-03,
MI51,Unionville,43.6135,-83.3599,201.0,MI,US,Tuscola,A,R,2015-01-18,
MI95,Hoxeyville,44.1808,-85.7389,293.0,MI,US,Wexford,A,I,2015-01-13,
MN02,Red Lake,47.8638,-94.8352,372.0,MN,US,Beltrami,A,I,2015-01-13,
MN18,Fernberg,47.9464,-91.4961,524.0,MN,US,Lake,A,I,2007-10-30,
MS30,Coffeeville,34.0025,-89.7993,134.0,MS,US,Yalobusha,A,I,2015-01-06,
NC06,Beaufort,34.8846,-76.6207,2.0,NC,US,Carteret,A,R,2010-04-27,
NC25,Coweeta,35.0605,-83.4305,686.0,NC,US,Macon,A,R,2011-05-24,
NC26,Candor,35.2632,-79.8365,198.0,NC,US,Montgomery,A,R,2011-04-26,
NC30,Duke Forest,35.9709,-79.0933,174.0,NC,US,Orange,A,S,2008-06-24,
NC35,Clinton Crops Research Station,35.0258,-78.2783,41.0,NC,US,Sampson,A,R,2008-08-05,
NE09,Homestead,40.285,-96.8244,400.0,NE,US,Gage,A,R,2016-07-26,
NE97,Santee Sioux - Environmental Office,42.7467,-97.9278,385.0,NE,US,Knox,A,,2024-06-11,
NJ98,Washington Crossing CASTNET,40.3125,-74.8729,61.0,NJ,US,Mercer,A,U,2011-03-01,
NS01,Kejimkujik National Park,44.4328,-65.2056,155.0,NS,CA,Queens,A,I,2013-10-08,
NY16,Cary Institute,41.7858,-73.7414,128.0,NY,US,Dutchess,A,R,2009-10-13,
NY67,Ithaca,42.4014,-76.6589,503.0,NY,US,Tompkins,A,R,2007-10-30,
NY91,Claryville,41.9423,-74.5519,754.0,NY,US,Ulster,A,I,2015-01-13,
NY94,Nick's Lake,43.6833,-74.9833,525.0,NY,US,Herkimer,A,I,2012-11-20,
NY96,Cedar Beach-Southold,41.0347,-72.3891,1.0,NY,US,Suffolk,A,R,2014-08-05,
NY98,Whiteface Mountain,44.3933,-73.8594,610.0,NY,US,Essex,A,I,2012-11-20,
OH09,Oxford,39.5309,-84.7238,284.0,OH,US,Butler,A,R,2015-01-13,
OH32,Kenyon College,40.37,-82.3955,312.0,OH,US,Knox,A,,2017-08-22,
OH99,Quaker City,39.9427,-81.3379,371.0,OH,US,Noble,A,R,2015-01-13,
OK98,Quapaw,36.9222,-94.8388,243.0,OK,US,,A,R,2015-10-06,
