site_id,site_name,latitude,longitude,altitude,country_code,state,county,agency,land_use,terrain,active,inactive
ABT147,Abington,41.84046,-72.010368,202.0,US,CT,Windham,EPA,Urban/Agric,Rolling,domp,w
ACA416,Acadia NP,44.377086,-68.2608,158.0,US,ME,Hancock,NPS,Forest,Rolling,dom,
ALC188,Alabama-Coushatta Tribe of Texas,30.701577,-94.674011,105.0,US,TX,Polk,EPA,Prairie,Rolling,dom,
ALH157,Alhambra,38.869001,-89.622815,164.0,US,IL,Madison,EPA,Agric,Flat,domp,w
ALH257,Alhambra Collocated,38.869001,-89.622815,164.0,US,IL,Madison,EPA,Agric,Flat,,domw
ALH557,Alhambra Aerosol,38.869001,-89.622815,164.0,US,IL,Madison,EPA,Agric,Flat,,a
ANA115,Ann Arbor,42.416636,-83.90218,266.0,US,MI,Washtenaw,EPA,Forest,Flat,domp,w
ANL146,Argonne NL,41.7,-87.99,229.0,US,IL,DuPage,EPA,Urban/Agric,Rolling,,dom
ARE128,Arendtsville,39.923241,-77.307863,266.0,US,PA,Adams,EPA,Agric,Rolling,domp,w
ARE228,Arendtsville Collocated,39.923241,-77.307863,266.0,US,PA,Adams,EPA,Forest,Rolling,,domw
ARE528,Arendtsville Aerosol,39.923241,-77.307863,266.0,US,PA,Adams,EPA,Agric,Rolling,,ain
ASH135,Ashland,46.603832,-68.413227,231.0,US,ME,Aroostook,EPA,Agric,Flat,dom,
ASH235,Ashland Collocated,46.603832,-68.413227,231.0,US,ME,Aroostook,EPA,Agric,Flat,,dom
BAS601,Basin,44.28,-108.0411,1242.0,US,WY,Big Horn,BLM,Prairie,Rolling,dom,
BBE401,Big Bend NP,29.302651,-103.177813,1052.0,US,TX,Brewster,NPS,Forest,Complex,dom,
BEL116,Beltsville,39.028177,-76.817127,47.0,US,MD,Prince George's,EPA,Range,Flat,dom,t
BEL216,Beltsville Collocated,39.028177,-76.817127,47.0,US,MD,Prince George's,EPA,Range,Flat,,r
BFT142,Beaufort,34.884668,-76.620666,5.0,US,NC,Carteret,EPA,Agric,Flat,domp,w
BUF603,Buffalo,44.1442,-106.1089,1324.0,US,WY,Johnson,BLM,Prairie,Rolling,dm,
BVL130,Bondville,40.051981,-88.372495,213.0,US,IL,Champaign,EPA,Agric,Flat,domt,
