site_id,site_name,latitude,longitude
#1.China Agric.University,China Agricultural Unviversity,40.02,116.28
#2.Zhengzhou,Zhengzhou,34.75,113.37
#3.Dalian,Dalian,38.92,121.58
#4.Nanjing,Nanjing,31.84,118.85
#5.Baiyun,Baiyun,23.16,113.27
#6.Wenjiang,Wenjiang,30.55,103.84
#7.Shangzhuang,Shangzhuang,40.11,116.2
#8.Baoding,Baoding,38.85,115.48
#9.Quzhou,Quzhou,36.78,114.94
#10.Yangqu,Yangqu,38.05,112.89
#11.Zhumadian,Zhumadian,33.02,114.05
#12.Yangling,Yangling,34.31,108.01
#13.Yucheng,Yucheng,36.94,116.63
#14.Gongzhuling,Gongzhuling,43.53,124.83
#15.Lishu,Lishu,43.36,124.17
#16.Wuwei,Wuwei,38.07,102.6
#17.Wuxue,Wuxue,30.01,115.79
#18.Taojiang,Taojiang,28.61,111.97
#19.Fengyang,Fengyang,32.88,117.56
#20.Zhanjiang,Zhanjiang,21.26,110.33
#21.Fuzhou,Fuzhou,26.17,119.36
#22.Fenghua,Fenghua,29.61,121.53
#23.Ziyang,Ziyang,30.13,104.63
#24.Yanting,Yanting,31.28,105.47
#25.Jiangjin,Jiangjin,29.06,106.18
#26.Lingshandao,Lingshadao,35.77,120.18
#27.Changdao,Changdao,37.93,120.75
#28.Duolun,Duolun,42.2,116.49
#29.Bayinbuluke,Bayingbuluke,42.88,83.71
#30.Feiyue,Feiyue,28.56,113.34
#31.Huinong,Huinong,28.52,113.41
#32.Xishan,Xishan,28.61,113.31
