site_id,site_name,latitude,longitude,altitude,area_classification
AAOT,Aaot,45.3139,12.5083,10.0,nan
AAUET,Aau Et,9.019167,38.747778,2370.0,nan
AOEBaotou,Aoe Baotou,40.8517,109.6288,1314.0,nan
ARIAKETOWER,Ariake Tower,33.103617,130.27195,15.0,nan
ARMAscensionIs,Arm Ascension Is,-7.966964,-14.349806,341.0,nan
ARMCordoba,Arm Cordoba,-32.12641,-64.72837,1141.0,nan
ARMDarwin,Arm Darwin,-12.425,130.891,29.899999618530273,nan
ARMGanIsland,Arm Gan Island,-0.690597,73.149896,1.0,nan
ARMGothic,Arm Gothic,38.956,-106.988,2894.0,nan
ARMGraciosa,Arm Graciosa,39.09109,-28.02917,15.199999809265137,nan
ARMHighlandsMA,Arm Highlands Ma,42.030478,-70.049317,47.853599548339844,nan
ARMHyytialaFinland,Arm Hyytialafinland,61.843536,24.287847,179.0,nan
ARMLaPorte,Arm Laporte,29.669,-95.059,7.0,nan
ARMMacquarieIs,Arm Macquarie Is,-54.499561,158.934581,3.5999999046325684,nan
ARMManacapuru,Arm Manacapuru,-3.212972,-60.598056,49.9900016784668,nan
ARMMcMurdo,Arm Mcmurdo,-77.848889,166.729722,73.0,nan
ARMNainital,Arm Nainital,29.35883,79.45827,1943.0,nan
ARMOliktokAK,Arm Oliktok Ak,70.4995,-149.88,2.0,nan
ARMSGP,Arm Sgp,36.605175,-97.485619,319.0,nan
ARMWAIS,Arm Wais,-79.470556,-112.083333,1799.0,nan
ASIMalindi,Asi Malindi,-2.996,40.1945,12.0,nan
ATHENS-NOA,Athens-Noa,37.9721,23.718,130.0,nan
ATHENSNTUA,Athens Ntua,37.977036,23.783088,215.0,nan
Abisko,Abisko,68.35,18.817,390.0,nan
AbracosHill,Abracos Hill,-10.76,-62.358333,259.0,nan
AbuAlBukhoosh,Abu Al Bukhoosh,25.495,53.145833,24.5,nan
AbuDhabi,Abu Dhabi,24.476111,54.328889,7.0,nan
AdelaideSite7,Adelaide Site 7,-34.725067,138.656483,30.0,nan
AgiaMarinaXyliatou,Agiamarina Xyliatou,35.038,33.0577,521.0,nan
Agoufou,Agoufou,15.3454,-1.479117,305.0,nan
AguasEmendadas,Aguas Emendadas,-15.58175,-47.6563,988.0,nan
AireAdour,Aire Adour,43.7,0.25,80.0,nan
AlAin,Al Ain,24.242167,55.705167,283.0,nan
AlDhafra,Al Dhafra,24.254278,54.549667,40.0,nan
AlKhaznah,Al Khaznah,24.158611,55.100556,192.0,nan
AlQlaa,Al Qlaa,24.133333,53.033333,5.0,nan
AlbanyOregon,Albany Oregon,44.583332,-123.066666,67.0,nan
AlbergueUGR,Albergue Ugr,37.095598,-3.386989,2501.0,nan
Alboran,Alboran,35.939625,-3.35297,15.0,nan
Albuquerque,Albuquerque,35.051672,-106.535836,1645.0,nan
AlkaliLake,Alkali Lake,37.8588,-117.382,1468.0,nan
AltaFloresta,Alta Floresta,-9.871339,-56.104453,277.0,nan
AltaFlorestaIF,Alta Floresta If,-9.908354,-56.064393,288.0,nan
AmazonATTOTower,Amazon Atto Tower,-2.144117,-58.999867,210.0,nan
AmericanSamoa,American Samoa,-14.2472,-170.5644,76.0,nan
Ames,Ames,42.021361,-93.774778,338.0,nan
AmityUnivGurgaon,Amity Univ Gurgaon,28.317329,76.916031,285.0,nan
AmsterdamIsland,Amsterdam Island,-37.799544,77.571946,49.0,nan
AmsterdamRuisdael,Amsterdam Ruisdael,52.334336,4.866967,57.0,nan
Andenes,Andenes,69.278333,16.008611,379.0,nan
AndrosIsland,Andros Island,24.7,-77.8,7.0,nan
Angiola,Angiola,35.947,-119.538,43.0,nan
Anmyon,Anmyon,36.538537,126.330194,47.0,nan
AntarcticaDomeC,Antarcticadomec,-75.099953,123.331299,3269.0,nan
AntikytheraNOA,Antikythera Noa,35.86099,23.30982,193.0,nan
AppalachianState,Appalachian State,36.2146,-81.6938,1080.0,nan
AppledoreIsland,Appledore Island,42.987064,-70.615361,35.0,nan
ApulianTavoliere,Apulian Tavoliere,41.46084,15.5016,90.0,nan
ArasdelosOlmos,Aras De Los Olmos,39.945,-1.1016,1280.0,nan
Arcachon,Arcachon,44.663528,-1.163222,11.0,nan
Arica,Arica,-18.471667,-70.313333,25.0,nan
Ariquiums,Ariquiums,-9.916667,-63.033332,142.0,nan
Arizona,Arizona,32.442001,-110.788002,2791.0,nan
AscensionIsland,Ascension Island,-7.976389,-14.414722,30.0,nan
AsuncionAirport,Asuncion Airport,-25.235809,-57.514727,83.0,nan
AubiereLAMP,Aubiere Lamp,45.76096,3.111072,423.0,nan
Autilla,Autilla,41.997222,-4.603056,873.0,nan
Avignon,Avignon,43.93275,4.878067,32.0,nan
Azores,Azores,38.53,-28.63,50.0,nan
BMKGGAWPALU,Bmkg Gaw Palu,-1.6503,120.1829,1370.0,nan
BMKGJakarta,Bmkg Jakarta,-6.155239,106.841197,35.0,nan
BONDVILLE,Bondville,40.053333,-88.371944,212.0,nan
BORDEAUX,Bordeaux,44.788028,-0.579167,40.0,nan
BSRNBAOBoulder,Bsrn Bao Boulder,40.045183,-105.006033,1604.0,nan
BacGiang,Bac Giang,21.291416,106.225472,15.0,nan
BacLieu,Bac Lieu,9.28,105.73,10.0,nan
BachLongVy,Bach Long Vy,20.133321,107.733339,5.0,nan
BackGardenGZ,Backgarden Gz,23.296,113.021,16.0,nan
Badajoz,Badajoz,38.882808,-7.01082,186.0,nan
Baengnyeong,Baengnyeong,37.966111,124.630278,136.0,nan
BahiaBlanca,Bahia Blanca,-39.148333,-61.721667,15.0,nan
Bahrain,Bahrain,26.20805,50.609267,25.0,nan
Bakersfield,Bakersfield,35.331506,-119.000008,108.0,nan
Balbina,Balbina,-1.916983,-59.4868,80.0,nan
Bambey-ISRA,Bambey-Isra,14.708567,-16.476733,30.0,nan
Bamboo,Bamboo,25.186711,121.535266,1050.0,nan
Bandung,Bandung,-6.888417,107.61,826.0,nan
