site_id,site_name,latitude,longitude,altitude,area_classification
01,01 033 0028,34.6604,-87.776964,174.0,rural
02,02 185 0042,70.24029,-148.235519,15.0,rural
04,04 001 0012,35.077245,-109.770394,1755.0,rural
06,Pinnacles Np - Southwest Of East Entrance Station,36.48324,-121.15688,317.0,rural
08,08 103 0021,39.868861,-108.287343,1881.0,rural
09,Shenipsit State Forest,41.976389,-72.388056,265.0,rural
11,Mcmillan  Ncore-Pams,38.921847,-77.013178,50.0,urban-centre
12,Site Moved Across Road From Beard Center To Behind Iori Research Bld,25.39122,-80.680819,1.0,rural
13,South Dekalb,33.6878,-84.2905,308.0,urban-suburban
15,15 003 0123,21.343228,-158.120865,7.0,rural
16,Craters Of The Moon Nm & Pres - Visitor Center,43.460556,-113.562222,1815.0,rural
17,Jardine Water Plant,41.895812,-87.607683,181.0,urban-centre
18,18 173 0006,37.921156,-87.325283,144.0,rural
21,21 183 1001,37.312823,-86.939994,165.0,rural
22,Capitol,30.461981,-91.179219,14.0,urban-centre
23,23 007 2001,44.501923,-70.228196,131.0,rural
24,Lat/Long Point Is Of Sampling Inlet.................................,39.318611,-76.5825,49.0,urban-centre
25,Lynn Water Treatment Plant,42.474642,-70.970816,52.0,urban-centre
26,26 061 0101,48.10821,-88.607572,347.0,rural
27,Voyageurs Np - Black Bay,48.587703,-93.172922,343.0,rural
28,28 155 1001,33.6636,-89.0622,94.0,rural
29,29 005 0001,39.741661,-94.858576,300.0,rural
30,30 003 0012,45.059143,-106.817564,327.0,rural
31,31 041 0001,41.501397,-99.301767,732.0,rural
32,Great Basin Np - Maintenance Yard,39.00512,-114.21593,2058.0,rural
33,33 007 0018,44.478391,-71.155354,384.0,nan
34,Fort Lee Near Road,40.85355,-73.96618,87.0,urban-centre
35,"Pueblo Of Jemez Tribal Trust Lands, Department Of Resource Protec-",35.615306,-106.725034,1707.0,rural
36,36 021 0002,42.106929,-73.534266,177.0,rural
37,37 119 0034,35.248754,-80.766181,239.0,urban-suburban
38,38 055 0113,47.606672,-102.036837,555.0,rural
39,39 129 0002,39.55534,-82.942124,220.0,urban-suburban
40,Anadarko Pm2.5,35.111944,-98.252778,420.0,rural
41,Ctclusi Radar Hill - Or,43.381944,-124.263889,83.0,rural
42,Lawrenceville,40.46542,-79.960757,256.0,urban-suburban
44,44 003 0003,41.732479,-71.424757,0.0,urban-suburban
45,Parklane,34.093959,-80.962304,107.0,urban-suburban
46,46 071 1001,43.746937,-101.941541,730.0,rural
47,47 001 0001,36.018149,-84.175741,318.0,rural
48,48 157 0003,29.415241,-95.653003,19.0,rural
49,Arches Np,38.778311,-109.598176,1567.0,rural
50,State Of Vermont District Court Parking Lot,43.608056,-72.982778,165.0,urban-centre
51,Shenandoah Np - Dickey Ridge,38.857336,-78.200556,610.0,rural
53,53 009 0012,48.097313,-123.426853,125.0,urban-suburban
55,East Of Cty Trk G & South Of Philhauer Rd,42.566403,-89.005388,244.0,rural
56,Collocated Tsp Site Relocated To Antelope Site #6 (56-009-0851),43.491636,-105.33415,0.0,rural
594,nan,51.151352,-0.70461,89.0,nan
78,"Cruz Bay, St John U.S. Virgin Islands",18.334399,-64.795972,80.0,rural
AAOT,Aaot,45.3139,12.5083,10.0,nan
AAUET,Aau Et,9.019167,38.747778,2370.0,nan
AB08,Esther,51.6667,-110.2,707.0,nan
AB13,Henry Kroeger,51.4242,-110.8325,779.0,rural-remote
AB14,Genesee,53.3016,-114.2016,761.0,rural-remote
AB32,Fort Mackay,57.1894,-111.6406,265.0,nan
AB33,Fort Mckay South,57.1491,-111.6426,273.0,nan
AB34,Stony Mountain,55.6214,-111.1727,673.0,nan
AB35,Elk Island,53.6824,-112.868,711.0,rural-remote
AB36,Wapasu,57.2592,-111.0386,491.0,rural-remote
ABPMCAAB1BEA,Beaverlodge,55.19634,-119.39682,762.0,rural
ABPMCAAB1COL,Cold Lake South,54.41401389,-110.2329389,556.0,urban
ABPMCAAB1ELK,Elk Island National Park,53.68238,-112.86812,714.0,rural
ABPMCAAB1FCW,Fort Chipewyan,58.70879,-111.17683,238.0,rural
ABT147,Abington,41.84046,-72.010368,202.0,urban
AG01,Laurenti-Mar,-30.9501,-62.8244,83.0,nan
AGOUFOU,"Agoufou, Mali",15.3333333,-1.4833333,300.0,rural
AK00,Dutch Harbor,53.8454,-166.5048,58.0,rural-remote
AK01,Poker Creek,65.155,-147.491,230.0,rural-remote
AK02,Juneau,58.5139,-134.7843,25.0,rural-remote
AK03,Denali National Park,63.7232,-148.9676,661.0,rural-remote
AK04,Nome,64.5055,-165.396,15.0,rural-remote
AK05,Glacier Bay National Park - Bartlett Cove,58.4566,-135.8674,2.0,rural-remote
AK06,Gates Of The Arctic National Park - Bettles,66.906,-151.683,630.0,rural-remote
AK96,Toolik Field Station,68.6257,-149.6069,730.0,nan
AK97,Katmai National Park - King Salmon,58.6794,-156.6664,50.0,rural-remote
AK98,Kodiak,57.7189,-152.5617,7.0,rural
AK99,Ambler,67.0931,-157.8689,88.0,rural-remote
AL02,Delta Elementary,30.7907,-87.8498,66.0,rural
AL03,Centreville,32.9034,-87.2499,135.0,rural
AL10,Black Belt Research & Extension Center,32.4583,-87.2422,58.0,rural-remote
AL19,Birmingham,33.553,-86.8148,200.0,urban
AL24,Bay Road,30.4746,-88.1411,6.0,rural
AL99,Sand Mountain Research & Extension Center,34.2886,-85.9699,349.0,rural
ALH157,Alhambra,38.869,-89.6228,164.0,rural
ALH257,Alhambra Collocated,38.869001,-89.622815,164.0,rural
ALK,nan,57.4396,27.0354,197.0,nan
AMY,Anmyeon-Do,36.5385,126.33,46.0,nan
ANA115,Ann Arbor,42.416636,-83.90218,266.0,rural
AOEBaotou,Aoe Baotou,40.8517,109.6288,1314.0,nan
AR02,Warren 2Wsw,33.605,-92.0972,76.0,rural
AR03,Caddo Valley,34.1795,-93.0992,71.0,rural
AR16,Buffalo National River-Buffalo Point,36.0842,-92.5868,311.0,rural-remote
AR27,Fayetteville,36.1011,-94.1737,381.0,urban-suburban
ARE128,Arendtsville,39.923241,-77.307863,266.0,rural
ARE228,Arendtsville Collocated,39.923241,-77.307863,266.0,rural
ARIAKETOWER,Ariake Tower,33.103617,130.27195,15.0,nan
ARMAscensionIs,Arm Ascension Is,-7.966964,-14.349806,341.0,nan
ARMCordoba,Arm Cordoba,-32.12641,-64.72837,1141.0,nan
ARMDarwin,Arm Darwin,-12.425,130.891,29.899999618530273,nan
ARMGanIsland,Arm Gan Island,-0.690597,73.149896,1.0,nan
ARMGothic,Arm Gothic,38.956,-106.988,2894.0,nan
ARMGraciosa,Arm Graciosa,39.09109,-28.02917,15.199999809265137,nan
ARMHighlandsMA,Arm Highlands Ma,42.030478,-70.049317,47.853599548339844,nan
ARMHyytialaFinland,Arm Hyytialafinland,61.843536,24.287847,179.0,nan
ARMLaPorte,Arm Laporte,29.669,-95.059,7.0,nan
ARMMacquarieIs,Arm Macquarie Is,-54.499561,158.934581,3.5999999046325684,nan
ARMManacapuru,Arm Manacapuru,-3.212972,-60.598056,49.9900016784668,nan
ARMMcMurdo,Arm Mcmurdo,-77.848889,166.729722,73.0,nan
ARMNainital,Arm Nainital,29.35883,79.45827,1943.0,nan
ARMOliktokAK,Arm Oliktok Ak,70.4995,-149.88,2.0,nan
ARMSGP,Arm Sgp,36.605175,-97.485619,319.0,nan
ARMWAIS,Arm Wais,-79.470556,-112.083333,1799.0,nan
AS01,Samoa,-14.2525,-170.5633,82.0,nan
ASIMalindi,Asi Malindi,-2.996,40.1945,12.0,nan
AT0001R,Kittsee,48.083333,17.066667,140.0,urban-suburban
AT0002R,Illmitz,47.7666664124,16.7666664124,117.0,rural
AT0003R,Achenkirch,47.55,11.716667,960.0,rural
AT0004R,St. Koloman,47.65,13.2,851.0,rural
AT0005R,Vorhegg,46.677778,12.972222,1020.0,rural
AT0034G,Sonnblick,47.05407,12.95794,3116.0,rural
AT0048R,Zoebelboden,47.838611,14.441389,899.0,rural
ATHENS-NOA,Athens-Noa,37.9721,23.718,130.0,nan
ATHENSNTUA,Athens Ntua,37.977036,23.783088,215.0,nan
AU0002G,Kennaook / Cape Grim Baseline Air Pollution Station,-40.68222,144.68834,94.0,rural
AZ01,Tombstone,31.7089,-110.0572,1398.0,rural-remote
AZ02,Sycamore Canyon,35.1406,-111.9692,2046.0,rural-remote
AZ03,Grand Canyon National Park-Hopi Point,36.0586,-112.184,2071.0,rural-remote
AZ06,Organ Pipe Cactus National Monument,31.9492,-112.802,501.0,rural-remote
AZ97,Petrified Forest National Park-Rainbow Forest,34.8224,-109.8925,1707.0,rural-remote
AZ98,Chiricahua,32.0097,-109.3889,1570.0,rural-remote
AZ99,Oliver Knoll,33.0708,-109.866,1176.0,rural-remote
Abisko,Abisko,68.35,18.817,390.0,nan
AbracosHill,Abracos Hill,-10.76,-62.358333,259.0,nan
AbuAlBukhoosh,Abu Al Bukhoosh,25.495,53.145833,24.5,nan
AbuDhabi,Abu Dhabi,24.476111,54.328889,7.0,nan
AdelaideSite7,Adelaide Site 7,-34.725067,138.656483,30.0,nan
AgiaMarinaXyliatou,Agiamarina Xyliatou,35.038,33.0577,521.0,nan
Agoufou,Agoufou,15.3454,-1.479117,305.0,nan
AguasEmendadas,Aguas Emendadas,-15.58175,-47.6563,988.0,nan
AireAdour,Aire Adour,43.7,0.25,80.0,nan
AlAin,Al Ain,24.242167,55.705167,283.0,nan
AlDhafra,Al Dhafra,24.254278,54.549667,40.0,nan
AlKhaznah,Al Khaznah,24.158611,55.100556,192.0,nan
AlQlaa,Al Qlaa,24.133333,53.033333,5.0,nan
AlbanyOregon,Albany Oregon,44.583332,-123.066666,67.0,nan
AlbergueUGR,Albergue Ugr,37.095598,-3.386989,2501.0,nan
Alboran,Alboran,35.939625,-3.35297,15.0,nan
Albuquerque,Albuquerque,35.051672,-106.535836,1645.0,nan
AlkaliLake,Alkali Lake,37.8588,-117.382,1468.0,nan
AltaFloresta,Alta Floresta,-9.871339,-56.104453,277.0,nan
AltaFlorestaIF,Alta Floresta If,-9.908354,-56.064393,288.0,nan
AmazonATTOTower,Amazon Atto Tower,-2.144117,-58.999867,210.0,nan
AmericanSamoa,American Samoa,-14.2472,-170.5644,76.0,nan
Ames,Ames,42.021361,-93.774778,338.0,nan
