site_id,site_name,latitude,longitude,altitude,area_classification
AB08,Esther,51.6667,-110.2,707.0,nan
AB13,Henry Kroeger,51.4242,-110.8325,779.0,rural-remote
AB14,Genesee,53.3016,-114.2016,761.0,rural-remote
AB33,Fort Mckay South,57.1491,-111.6426,273.0,nan
AK00,Dutch Harbor,53.8454,-166.5048,58.0,rural-remote
AK02,Juneau,58.5139,-134.7843,25.0,rural-remote
AK04,Nome,64.5055,-165.396,15.0,rural-remote
AK05,Glacier Bay National Park - Bartlett Cove,58.4566,-135.8674,2.0,rural-remote
AK06,Gates Of The Arctic National Park - Bettles,66.906,-151.683,630.0,rural-remote
AK96,Toolik Field Station,68.6257,-149.6069,730.0,nan
AK98,Kodiak,57.7189,-152.5617,7.0,rural
AK99,Ambler,67.0931,-157.8689,88.0,rural-remote
AL02,Delta Elementary,30.7907,-87.8498,66.0,rural
AL03,Centreville,32.9034,-87.2499,135.0,rural
AL19,Birmingham,33.553,-86.8148,200.0,urban
AL24,Bay Road,30.4746,-88.1411,6.0,rural
AZ02,Sycamore Canyon,35.1406,-111.9692,2046.0,rural-remote
BC06,Reifel Island,49.1,-123.17,1.0,nan
BC16,Saturna Island,48.7753,-123.1281,196.0,rural-remote
CA20,Yurok Tribe-Requa,41.5588,-124.0916,110.0,rural-remote
CA72,San Jose,37.4276,-122.0624,1.0,urban
CA75,Sequoia National Park-Giant Forest,36.5661,-118.778,1921.0,rural-remote
CA94,Converse Flats,34.1938,-116.9131,1724.0,rural
CA97,Covelo,39.8237,-123.2382,418.0,rural-remote
CO13,Fort Collins,40.5923,-105.1414,1570.0,urban-suburban
CO96,Molas Pass,37.75,-107.689,3248.0,rural-remote
CO97,Buffalo Pass - Summit Lake,40.5383,-106.6766,3234.0,rural
CO99,Mesa Verde National Park-Chapin Mesa,37.1979,-108.491,2162.0,rural-remote
DE02,Lewes,38.7722,-75.0992,2.0,rural
FL04,Andytown,26.1667,-80.5,5.0,rural
FL05,Chassahowitzka National Wildlife Refuge,28.7486,-82.5551,3.0,rural
FL11,Everglades National Park-Research Center,25.39,-80.68,2.0,rural-remote
FL32,Orlando,28.5926,-81.1904,21.0,urban
FL34,Everglades Nutrient Removal Project,26.6556,-80.3972,10.0,rural
FL95,Everglades - South Palm Beach County,26.4303,-80.4739,2.0,rural-remote
FL96,Pensacola,30.5499,-87.375,45.0,urban-suburban
FL97,Everglades-Western Broward County,26.1714,-80.8222,4.0,rural-remote
GA09,Okefenokee National Wildlife Refuge,30.7404,-82.1283,45.0,rural-remote
GA22,Jefferson Street,33.7769,-84.4139,265.0,urban
GA33,Sapelo Island,31.3961,-81.2811,3.0,rural-remote
GA40,Yorkville,33.9282,-85.0451,395.0,rural
HD01,Huejutla,21.1583,-98.3706,180.0,nan
ID03,Craters Of The Moon National Monument,43.4605,-113.5551,1807.0,rural-remote
ID98,Deer Flats,43.5528,-116.6436,774.0,urban-suburban
ID99,Mccall,44.8913,-116.1047,1528.0,rural-remote
IL11,Bondville,40.0528,-88.3719,212.0,urban-suburban
IL63,Dixon Springs Agricultural Center,37.4356,-88.6719,161.0,rural-remote
IN20,Roush Lake,40.8401,-85.4639,244.0,rural
IN21,Clifty Falls State Park,38.7622,-85.4202,256.0,rural
IN22,Southwest Purdue Agriculture Center,38.7408,-87.4855,134.0,rural
IN26,Fort Harrison State Park,39.8583,-86.0208,260.0,urban
IN28,Bloomington,39.1464,-86.6133,256.0,urban-suburban
IN34,Indiana Dunes National Lakeshore,41.6318,-87.0881,208.0,urban-suburban
KS03,Reserve,39.9792,-95.5681,265.0,rural
KS04,West Mineral,37.2731,-94.94,274.0,rural
KS05,Coffey County Lake,38.1992,-95.6646,337.0,rural-remote
KS24,Glen Elder State Park,39.5136,-98.3403,456.0,rural-remote
KS32,Lake Scott State Park,38.6717,-100.9164,863.0,rural-remote
KS99,Cimarron National Grassland,37.1336,-101.8248,1021.0,rural-remote
KY10,Mammoth Cave National Park-Houchin Meadow,37.1317,-86.148,236.0,rural
LA05,Lake Charles,30.1746,-93.1717,5.0,urban-suburban
LA10,Chase,32.097,-91.711,20.0,rural
LA23,Alexandria,31.1698,-92.3971,16.0,rural
LA28,Hammond,30.5031,-90.3769,9.0,urban-suburban
MA01,North Atlantic Coastal Lab,41.9759,-70.0241,57.0,rural
MA99,Amherst,42.3063,-72.5354,165.0,urban-suburban
MD00,Smithsonian Environmental Research Center,38.889,-76.5558,20.0,urban-suburban
MD08,Piney Reservoir,39.7053,-79.0122,769.0,rural
MD99,Beltsville,39.028,-76.8171,46.0,urban
ME00,Caribou,46.8675,-68.0134,191.0,rural
ME02,Bridgton,44.1075,-70.7289,222.0,rural
ME04,Carrabassett Valley,45.0803,-70.2118,259.0,rural-remote
ME09,Greenville Station,45.4891,-69.6647,322.0,rural
ME96,Casco Bay-Wolfe'S Neck Farm,43.8325,-70.0645,15.0,rural
