site_id,site_name,latitude,longitude,altitude,area_classification
AB32,Fort Mackay,57.1894,-111.6406,265.0,nan
AB34,Stony Mountain,55.6214,-111.1727,673.0,nan
AB35,Elk Island,53.6824,-112.868,711.0,rural-remote
AB36,Wapasu,57.2592,-111.0386,491.0,rural-remote
AG01,Laurenti-Mar,-30.9501,-62.8244,83.0,nan
AK01,Poker Creek,65.155,-147.491,230.0,rural-remote
AK02,Juneau,58.5139,-134.7843,25.0,rural-remote
AK03,Denali National Park,63.7232,-148.9676,661.0,rural-remote
AK06,Gates Of The Arctic National Park - Bettles,66.906,-151.683,630.0,rural-remote
AK96,Toolik Field Station,68.6257,-149.6069,730.0,nan
AK97,Katmai National Park - King Salmon,58.6794,-156.6664,50.0,rural-remote
AK99,Ambler,67.0931,-157.8689,88.0,rural-remote
AL02,Delta Elementary,30.7907,-87.8498,66.0,rural
AL03,Centreville,32.9034,-87.2499,135.0,rural
AL10,Black Belt Research & Extension Center,32.4583,-87.2422,58.0,rural-remote
AL19,Birmingham,33.553,-86.8148,200.0,urban
AL24,Bay Road,30.4746,-88.1411,6.0,rural
AL99,Sand Mountain Research & Extension Center,34.2886,-85.9699,349.0,rural
AR02,Warren 2Wsw,33.605,-92.0972,76.0,rural
AR03,Caddo Valley,34.1795,-93.0992,71.0,rural
AR16,Buffalo National River-Buffalo Point,36.0842,-92.5868,311.0,rural-remote
AR27,Fayetteville,36.1011,-94.1737,381.0,urban-suburban
AS01,Samoa,-14.2525,-170.5633,82.0,nan
AZ01,Tombstone,31.7089,-110.0572,1398.0,rural-remote
AZ03,Grand Canyon National Park-Hopi Point,36.0586,-112.184,2071.0,rural-remote
AZ06,Organ Pipe Cactus National Monument,31.9492,-112.802,501.0,rural-remote
AZ97,Petrified Forest National Park-Rainbow Forest,34.8224,-109.8925,1707.0,rural-remote
AZ98,Chiricahua,32.0097,-109.3889,1570.0,rural-remote
AZ99,Oliver Knoll,33.0708,-109.866,1176.0,rural-remote
BC22,Haul Road Station,54.0294,-128.7019,10.0,rural
BC23,Lakelse Lake,54.3772,-128.5775,111.0,rural
BC24,Port Edward,54.2226,-130.2696,80.0,rural
BM01,Tudor Hill,32.2647,-64.8789,21.0,nan
CA28,Kings River Experimental Watershed,37.0592,-119.1822,2000.0,rural-remote
CA34,Bishop,37.3708,-118.3664,1252.0,rural
CA42,Tanbark Flat,34.2071,-117.7618,853.0,urban-suburban
CA45,Hopland,39.0045,-123.086,253.0,rural-remote
CA50,Sagehen Creek,39.4315,-120.2397,1931.0,rural
CA66,Pinnacles National Park-Bear Valley,36.4834,-121.157,317.0,rural-remote
CA67,Joshua Tree National Park-Black Rock,34.0695,-116.3889,1239.0,rural
CA68,Palomar Mountain,33.3089,-116.8539,1695.0,rural
CA75,Sequoia National Park-Giant Forest,36.5661,-118.778,1921.0,rural-remote
CA76,Montague,41.7662,-122.4798,799.0,rural
CA85,Channel Islands National Park,34.0158,-119.3619,49.0,rural-remote
CA88,Davis,38.5357,-121.7762,18.0,urban-suburban
CA94,Converse Flats,34.1938,-116.9131,1724.0,rural
CA95,Death Valley National Park-Cow Creek,36.589,-116.978,125.0,rural-remote
CA96,Lassen Volcanic National Park-Manzanita Lake,40.539,-121.5772,1754.0,rural-remote
CA98,Chuchupate Ranger Station,34.8061,-119.0114,1614.0,rural
CA99,Yosemite National Park-Hodgdon Meadow,37.7961,-119.8581,1393.0,rural-remote
CAN1,Lethbridge,49.6369,-112.7878,913.0,nan
CAN2,Mount Forest,43.9914,-80.7461,410.0,nan
CAN3,Kejimkujik National Park,44.4328,-65.2056,152.0,nan
CAN4,Sutton,45.0761,-72.6756,244.0,nan
CAN5,Frelighsburg,45.041,-72.8581,195.0,rural
CAN6,Frelighsburg - Intercomparison,45.0503,-72.8617,195.0,rural
CO00,Alamosa,37.4421,-105.868,2285.0,rural
CO01,Las Animas Fish Hatchery,38.1177,-103.316,1226.0,rural-remote
CO02,Niwot Saddle,40.0547,-105.5891,3520.0,rural-remote
CO08,Four Mile Park,39.4025,-107.3454,2502.0,rural
CO09,Kawuneechee Meadow,40.2603,-105.8292,2633.0,rural-remote
CO10,Gothic,38.9561,-106.986,2915.0,rural-remote
CO13,Fort Collins,40.5923,-105.1414,1570.0,urban-suburban
CO15,Sand Spring,40.5077,-107.7025,1998.0,rural
CO18,Ripple Creek Pass,40.0851,-107.3118,2929.0,rural-remote
CO19,Rocky Mountain National Park-Beaver Meadows,40.3639,-105.581,2477.0,rural
CO21,Manitou,39.1008,-105.0933,2362.0,rural
CO22,Pawnee,40.806,-104.756,1641.0,rural-remote
CO80,Akron 4E,40.1552,-103.1417,1364.0,nan
CO81,Missile Site Park,40.4288,-104.8617,1510.0,nan
CO82,Orchard,40.3199,-104.1598,1365.0,nan
CO83,Timnath,40.5194,-104.96,1474.0,nan
CO89,Rocky Mountain National Park-Loch Vale,40.2878,-105.6628,3159.0,rural-remote
CO90,Niwot Ridge-Southeast,40.0367,-105.544,3015.0,rural-remote
CO91,Wolf Creek Pass,37.4686,-106.787,3287.0,rural-remote
CO92,Sunlight Peak,39.4264,-107.3799,3218.0,rural
CO93,Buffalo Pass - Dry Lake,40.5347,-106.7811,2538.0,rural
CO94,Sugarloaf,39.9939,-105.48,2524.0,rural
CO95,Engineer Mountain Guard Station,37.6597,-107.7992,2758.0,rural-remote
CO96,Molas Pass,37.75,-107.689,3248.0,rural-remote
CO97,Buffalo Pass - Summit Lake,40.5383,-106.6766,3234.0,rural
CO98,Rocky Mountain National Park-Loch Vale,40.2878,-105.6628,3159.0,rural-remote
CO99,Mesa Verde National Park-Chapin Mesa,37.1979,-108.491,2162.0,rural-remote
CT15,Abington,41.84,-72.0101,209.0,rural
DE99,Trap Pond State Park,38.4994,-75.4482,12.0,rural
FL00,Austin-Cary Forest,29.7603,-82.1989,46.0,rural
FL03,Bradford Forest,29.9748,-82.1978,44.0,rural
FL05,Chassahowitzka National Wildlife Refuge,28.7486,-82.5551,3.0,rural
FL11,Everglades National Park-Research Center,25.39,-80.68,2.0,rural-remote
FL14,Quincy,30.5486,-84.6004,60.0,rural
FL23,Sumatra,30.1106,-84.9902,14.0,rural-remote
FL32,Orlando,28.5926,-81.1904,21.0,urban
FL41,Verna Well Field,27.3801,-82.2831,25.0,rural
FL96,Pensacola,30.5499,-87.375,45.0,urban-suburban
