site_id,site_name,latitude,longitude,altitude,area_classification
ALK,nan,57.4396,27.0354,197.0,nan
AMY,Anmyeon-Do,36.5385,126.33,46.0,nan
HZR,Khuzhir,53.2,107.33,487.0,nan
JDP,Jodhpur,26.3,73.0167,217.0,nan
JGS,Jeju Gosan,33.18,126.12,52.0,nan
KAM,Kamenicki-Vis,43.4,22.35,813.0,nan
KWZ,Caucasus Biospheric Reserve,43.68,40.2,465.0,nan
LAN,Lin An,30.3,119.7333,139.0,nan
LFS,Long Feng Shan,44.7333,127.6,331.0,nan
OKA,Oka-Terrase Biospheric Reserve,54.9,37.8,166.0,nan
PNA,Pune,18.5333,73.85,559.0,nan
PYR,Nepal Climate Observatory - Pyramid (Nepal),27.9584,86.8134,294.0,nan
RCV,Rucava,56.1624,21.1733,18.0,nan
RGA,Riga,56.9848,24.1048,6.0,nan
SAI,Sikhote-Alin Biospheric Reserve,45.0,136.6,51.0,nan
SDM,Shadzhatmaz,43.73,42.67,2070.0,nan
SDZ,Shang Dian Zi,40.65,117.1167,294.0,nan
SNB,Sonnblick,47.0542,12.9583,3106.0,nan
TRH,Turukhansk,65.78,87.95,38.0,nan
USV,Ust-Vym,62.23,50.42,106.0,nan
VOR,Voronezh Biospheric Reserve,51.9,39.6,156.0,nan
