site_id,site_name,latitude,longitude,altitude,state,region
BA06,Concórdia,,,,,
BA11,Botelho,-12.615,-38.522,,BA,
CE01,CIPP,-3.556,-38.8367,,CE,
DF01,Fercal I,-15.6007,-47.8714,,DF,
DF02,CIPLAN (antiga estação Queima Lençol),,,,,
DF03,Rodoviária do Plano Piloto,,,,,
DF04,Jardim Zoológico de Brasília,,,,,
DF05,Setor Comercial Sul,-15.7983,-47.8896,,DF,
DF10,IFB - Samambaia,-15.863,-48.054,,DF,
DF11,Fercal - Escola,-15.5895,-47.843,,DF,
ES01,Carapina,-20.2277,-40.2564,,ES,
ES05,Laranjeiras,-20.1911,-40.2569,,ES,
ES17,Ubu,-20.8028,-40.5969,,ES,
ES18,Linhares 1,-19.5071,-39.8066,,ES,
GO01,Praça Cívica,,,,,
GO02,Praça do Trabalhador,,,,,
GO03,Distrito Agroindustrial de Anápolis,,,,,
MG01,Avenida Amazonas,-19.9375,-43.9949,,MG,
MG02,Centro - Av. do Contorno,-19.9133,-43.9357,,MG,
MG03,PUC São Gabriel,,,,,
MG04,PUC Barreiro,-19.976,-44.0251,,MG,
MG05,Bairro Jardim das Alterosas,-19.9476,-44.1609,,MG,
MG06,Bairro Petrovale,-19.9944,-44.1111,,MG,
MG07,Centro Administrativo,-19.9689,-44.2072,,MG,
MG08,Bairro Cascata,-19.9876,-44.0863,,MG,
MG09,Bairro Piratininga,-20.004,-44.0597,,MG,
MG10,MG - Cidade Industrial,-19.9607,-44.0314,,MG,
MG11,Centro - MG,-19.7002,-43.9602,,MG,
MG12,Escola Municipal Filhinha Gama,-19.7132,-43.9641,,MG,
MG13,Jardim Encantado,-19.7125,-43.9689,,MG,
MG14,Célvia,,,,,
MG15,Félix,,,,,
MG16,Major Lage,-19.6358,-43.237,,MG,
MG17,Panorama,-19.6345,-43.222,,MG,
MG18,Pará,,,,,
MG19,Senac,-19.5303,-42.6272,,MG,
MG20,Bom Retiro,-19.5096,-42.557,,MG,
MG21,Cariru,-19.4914,-42.5287,,MG,
MG22,Cidade Nobre,-19.4612,-42.5602,,MG,
MG23,Veneza,-19.4723,-42.5265,,MG,
MG24,Escola Cecília Meireles,,,,,
MG25,Hospital Vital Brasil,-19.5497,-42.6425,,MG,
MG26,Sementinha,-19.5367,-42.6711,,MG,
MG27,Copasa,-17.2055,-46.8743,,MG,
MG28,Clube da União,,,,,
MG29,Lagoa Trindade Rodrigues,-17.1504,-46.8329,,MG,
MG30,São Domingos,,,,,
MG31,Sérgio Ulhoa,,,,,
MG32,Barra Longa - Centro,-20.2825,-43.0403,,MG,
MG33,Gesteira,-20.2572,-43.1244,,MG,
MG34,Volta da Capela,-20.2878,-43.0549,,MG,
MG35,Basílica,,,,,
MG36,Jardim Profeta,-20.521,-43.8295,,MG,
MG37,Lobo Leite,-20.5187,-43.7954,,MG,
MG38,Matriz,-20.5004,-43.8558,,MG,
MG39,Nova Plataforma,-20.4886,-43.8615,,MG,
MG40,Pires,-20.4471,-43.8412,,MG,
MG41,Paracatu de Baixo,-20.3064,-43.2298,,MG,
MG42,Motas,-20.4419,-43.829,,MG,
MG43,SAAE,-17.353,-44.9496,,MG,
MG44,FUNAM,-17.3306,-44.9269,,MG,
MG45,Santana do Deserto,-20.1975,-42.835,,MG,
MG51,Aeroporto CMD,-19.0211,-43.4341,,MG,
MG53,Comunidade do Feijão,,,,,
MG54,Córregos,,,,,
MG55,E.M. Pe Vicente Assunção,,,,,
MG62,Parque da Cachoeira,-20.1445,-44.1579,,MG,
MG63,Sapo,-18.925,-43.3996,,MG,
MG64,Novo Soberbo,-20.4852,-43.9144,,MG,
MG65,Rio Doce,-20.2466,-42.896,,MG,
MG66,SENAI/CFP,-19.5369,-42.6477,,MG,
PE02,IFPE,-8.3848,-35.0416,,PE,
PE04,CPRH,-8.3375,-35.0222,,PE,
PE05,CUPE,,,,,
PR03,CSN,-25.5693,-49.3826,,PR,
PR08,Assis,-25.5765,-49.4056,,PR,
PR15,Cascavel,-24.9531,-53.4778,,PR,
PR16,Londrina,-23.3188,-51.1537,,PR,
PR17,Foz do Iguaçu,,,,,
RJ01,RJ - Taquara,-22.9347,-43.3717,,RJ,
RJ02,NI - Monteiro Lobato,-22.7622,-43.4414,,RJ,
RJ03,SG - UERJ,-22.8322,-43.0734,,RJ,
RJ05,RJ - Engenhão,,,,,
RJ06,RJ - Lagoa,-22.9745,-43.2176,,RJ,
RJ07,RJ - Leblon,-22.9784,-43.223,,RJ,
RJ09,SC - João XXIII,,,,,
RJ10,RJ - Ilha do Governador,-22.8044,-43.1816,,RJ,
RJ101,Itg - Sítio Terezinha,,,,,
RJ102,Itg - Vila Aparecida,-22.8651,-43.7748,,RJ,
RJ103,Itg - Vila Califórnia,,,,,
RJ108,RJ - Realengo,-22.8879,-43.4711,,RJ,
RJ11,RJ - Ilha de Paquetá,,,,,
RJ12,RJ - Gericinó,,,,,
RJ13,RJ - Campo dos Afonsos,-22.8786,-43.3793,,RJ,
RJ15,Itb - Porto das Caixas,-22.7017,-42.8755,,RJ,
RJ16,Itb - Sambaetiba,-22.6694,-42.788,,RJ,
RJ17,Sp - Piranema,-22.8354,-43.7124,,RJ,
RJ18,Itg - Coroa Grande,-22.9042,-43.8699,,RJ,
RJ19,Mt - Itacuruçá,,,,,
RJ20,DC - Campos Elíseos,,,,,
RJ21,DC - Pilar,-22.7058,-43.3119,,RJ,
RJ22,DC - Jardim Primavera,-22.6746,-43.2851,,RJ,
RJ220,Santa Cruz (CMS) - Móvel,,,,,
RJ222,RJ - Manguinhos,-22.8842,-43.2426,,RJ,
RJ223,Mt - Praia do Saco,-22.9454,-44.0417,,RJ,
RJ224,Itg - Ilha da Madeira,-22.9054,-43.8258,,RJ,
RJ225,Mt - Ibicui,-22.9605,-44.0259,,RJ,
RJ226,SJB - Barra do Açu,,,,,
RJ227,SJB - Mato Escuro,-21.8866,-41.064,,RJ,
RJ23,DC - São Bento,,,,,
RJ24,DC - Vila São Luiz,,,,,
RJ25,SC - Adalgisa Nery,-22.8888,-43.716,,RJ,
RJ26,Jp - Engenheiro Pedreira,-22.6708,-43.5942,,RJ,
RJ260,VR - Brasilândia,,,,,
RJ27,SC - Largo do Bodegão,,,,,
RJ28,Itg - Monte Serrat,-22.8748,-43.7701,,RJ,
RJ36,RJ - Castelo,-22.9075,-43.1726,,RJ,
RJ39,RJ - Cidade de Deus,-22.9496,-43.3593,,RJ,
RJ43,SC - Conjunto Alvorada,-22.8997,-43.7228,,RJ,
RJ44,SJM - Vilar dos Teles,-22.7885,-43.3644,,RJ,
RJ47,VR - Belmonte,-22.5177,-44.1325,,RJ,
RJ48,VR - Retiro,-22.5023,-44.1228,,RJ,
RJ49,VR - Santa Cecília,,,,,
RJ50,PR - Porto Real,-22.421,-44.2883,,RJ,
RJ51,Qt - Bom Retiro,-22.3982,-44.3205,,RJ,
RJ52,Itt - Campo Alegre,-22.2909,-44.3408,,RJ,
RJ53,Rs - Cidade Alegria,-22.285,-44.2938,,RJ,
RJ54,Rs - Casa da Lua,-22.4999,-44.5188,,RJ,
RJ55,BM - Sesi,-22.548,-44.1586,,RJ,
RJ56,BM - Boa Sorte,-22.5555,-44.1549,,RJ,
RJ57,BM - Bocaininha,-22.536,-44.202,,RJ,
RJ58,BM - Roberto Silveira,-22.538,-44.18,,RJ,
RJ59,BM - Vista Alegre,-22.5095,-44.1963,,RJ,
RJ60,VR - Jardim Paraíba,,,,,
RJ61,VR - Volta Grande,-22.4835,-44.0761,,RJ,
RJ64,VR - Conforto,-22.5302,-44.1224,,RJ,
RJ65,VR - Limoeiro,-22.5001,-44.0993,,RJ,
RJ66,VR - Centro,-22.5134,-44.0885,,RJ,
