site_id,site_name,latitude,longitude,altitude,state,region
A125,RIO URUBU,-2.6336111,-59.60055555,112.84,AM,N
A126,PRESIDENTE FIGUEIREDO,-2.05666666,-60.02583332,60.99,AM,N
A128,BARCELOS,-0.98722221,-62.92416666,29.88,AM,N
A133,MANICORE,-5.7886111,-61.28833333,40.64,AM,N
A134,S. G. DA CACHOEIRA,-0.125207,-67.061246,79.67,AM,N
A135,BOA VISTA,2.81694443,-60.69083333,82.35,RR,N
A136,PORTO WALTER,-8.26722221,-72.74777777,205.35,AC,N
A137,MARECHAL THAUMATURGO,-8.95,-72.78666666,220.98,AC,N
A138,FEIJO,-8.14277777,-70.3436111,157.17,AC,N
A140,EPITACIOLANDIA,-11.02388888,-68.73527777,224.5,AC,N
A144,NOVO ARIPUANA,-8.0911111,-60.38055554,45.0,AM,N
A201,BELEM,-1.411228,-48.439512,21.17,PA,N
A202,CASTANHAL,-1.30083333,-47.94805555,47.13,PA,N
A203,SAO LUIS,-2.52666666,-44.21361111,54.8,MA,NE
A204,BALSAS,-7.45555555,-46.02749999,271.03,MA,NE
A205,CAROLINA,-7.33722221,-47.45972222,182.88,MA,NE
A206,CHAPADINHA,-3.74277777,-43.35222222,104.0,MA,NE
A207,GRAJAU,-5.81611111,-46.16222222,232.29,MA,NE
A209,MEDICILANDIA,-3.51083333,-52.96333333,251.68,PA,N
A210,PACAJA,-3.8436111,-50.63805555,89.02,PA,N
A211,PLACAS,-3.86416666,-54.21638888,100.45,PA,N
A212,PARAGOMINAS,-2.90055555,-47.49499999,88.0,PA,N
A213,TOME ACU,-2.59249999,-48.36055555,42.95,PA,N
A214,RONDON DO PARA,-4.82749999,-48.1736111,203.0,PA,N
A215,SALINOPOLIS,-0.61888888,-47.35666666,23.18,PA,N
A216,SAO FELIX DO XINGU,-6.63972221,-51.95694444,211.0,PA,N
A217,FAROL de SANTANA,-2.27083332,-43.62416666,9.87,MA,NE
A218,PREGUICAS,-2.59222221,-42.7075,4.62,MA,NE
A219,TURIACU,-1.66111111,-45.37249999,35.86,MA,NE
A220,BACABAL,-4.24305555,-44.79499999,22.33,MA,NE
A221,BARRA DO CORDA,-5.50666666,-45.23694444,154.19,MA,NE
A222,COLINAS,-6.03305554,-44.23333333,175.37,MA,NE
A223,ALTO PARNAIBA,-9.10833333,-45.93194443,283.69,MA,NE
A224,ESTREITO,-6.65333333,-47.41833332,182.96,MA,NE
A225,IMPERATRIZ,-5.55583333,-47.45972222,117.96,MA,NE
A226,BRAGANCA,-1.05583333,-46.78277777,5.6,PA,N
A227,SOURE,-0.72777777,-48.51583333,12.54,PA,N
A228,BREVES,-1.68027777,-50.47805554,11.0,PA,N
A229,TUCURUI,-3.82277777,-49.67499999,137.94,PA,N
A230,SERRA DOS CARAJAS,-6.07749999,-50.14222221,707.0,PA,N
A231,ITAITUBA,-4.27694443,-55.99305555,24.46,PA,N
A232,OBIDOS,-1.88083332,-55.51972221,89.64,PA,N
A233,SANTANA DO ARAGUAIA,-9.34055555,-50.35027777,154.0,PA,N
A234,TUCUMA,-6.74333333,-51.14194444,320.93,PA,N
A235,NOVO REPARTIMENTO,-4.24388888,-49.93944444,100.76,PA,N
A236,CAMETA,-2.23972221,-49.49972221,9.92,PA,N
A237,CAXIAS,-4.82138888,-43.3436111,84.85,MA,NE
A238,BURITICUPU,-4.32055554,-46.44944444,174.91,MA,NE
A239,MONTE ALEGRE,-2.0,-54.07638888,100.53,PA,N
A240,MARABA,-5.36638888,-49.05111111,116.58,PA,N
A241,CONCEICAO DO ARAGUAIA,-8.30361111,-49.28277777,175.74,PA,N
A242,OIAPOQUE,3.81361111,-51.8625,15.14,AP,N
A244,PORTO GRANDE,0.69416666,-51.40388888,84.8,AP,N
A245,PORTO DE MOZ,-1.82194443,-52.11166666,19.0,PA,N
A246,MINA DO PALITO,-6.31999999,-55.78777777,259.88,PA,N
A247,XINGUARA,-7.11055555,-49.9261111,245.0,PA,N
A248,CAPITAO POCO,-1.73472221,-47.0575,79.1,PA,N
A249,MACAPA,0.03499999,-51.08888888,16.62,AP,N
A250,SANTAREM,-2.5025,-54.72027777,137.0,PA,N
A251,ITAUBAL,0.56777777,-50.8236111,21.0,AP,N
A252,DOM ELISEU,-4.28055554,-47.56388888,251.0,PA,N
A253,ALTAMIRA,-3.26999999,-52.39472221,191.0,PA,N
A254,REDENCAO,-8.04333333,-50.00694444,199.0,PA,N
A255,ZE DOCA,-3.26916666,-45.65111111,45.5,MA,NE
A256,SANTA MARIA DAS BARREIRAS,-8.72972221,-49.85638888,165.0,PA,N
A301,RECIFE,-8.05916666,-34.95916666,11.3,PE,NE
A303,MACEIO,-9.55111111,-35.77027777,84.12,AL,NE
A304,NATAL,-5.83722221,-35.20805555,47.46,RN,NE
A305,FORTALEZA,-3.81583333,-38.53777777,29.55,CE,NE
A306,SOBRAL,-3.74805555,-40.34583333,92.07,CE,NE
A307,PETROLINA,-9.38833333,-40.52333332,372.72,PE,NE
A308,PARNAIBA,-3.08666666,-41.78305554,52.11,PI,NE
A309,ARCO VERDE,-8.4336111,-37.05555555,683.95,PE,NE
A310,AREIA,-6.97555554,-35.71805554,573.45,PB,NE
