site_id,site_name,latitude,longitude,altitude,state,region
SP063,Santana,-23.506,-46.629,,SP,SE
SP064,Santo Amaro,-23.655,-46.71,,SP,SE
SP065,Mau,-23.6685,-46.466,,SP,SE
SP067,Sorocaba - Centro,-23.5005,-47.4535,,SP,SE
SP073,Congonhas,-23.6163,-46.6635,,SP,SE
SP083,Ibirapuera,-23.5918,-46.6607,,SP,SE
SP084,Lapa,-23.5094,-46.7016,,SP,SE
SP085,Mooca,-23.5497,-46.6004,,SP,SE
SP089,Campinas - Centro,-22.9025,-47.0572,,SP,SE
SP090,Cambuci,-23.5677,-46.6123,,SP,SE
SP092,Diadema,-23.6859,-46.6116,,SP,SE
SP094,SÆo Bernardo do Campo - Centro,-23.6987,-46.5462,,SP,SE
SP097,Itaquera,-23.58,-46.4667,,SP,SE
SP099,Pinheiros,-23.5615,-46.702,,SP,SE
SP106,Araraquara,-21.7825,-48.1858,,SP,SE
SP108,Bauru,-22.3266,-49.0928,,SP,SE
SP113,Piracicaba,-22.7012,-47.6497,,SP,SE
SP114,Presidente Prudente,-22.1199,-51.4088,,SP,SE
SP118,Guarulhos - Pao Municipal,-23.4555,-46.5185,,SP,SE
SP120,Osasco,-23.5267,-46.7921,,SP,SE
SP248,Catanduva,-21.1419,-48.9831,,SP,SE
SP258,Santos - Ponta da Praia,-23.9813,-46.3005,,SP,SE
SP262,Interlagos,-23.6805,-46.675,,SP,SE
SP266,Itaim Paulista,-23.5015,-46.4207,,SP,SE
SP268,Pirassununga,-22.0077,-47.4276,,SP,SE
SP273,Santa Gertrudes,-22.46,-47.5363,,SP,SE
SP276,Campinas - Taquaral,-22.8746,-47.059,,SP,SE
SP279,Guarulhos - Pimentas,-23.4401,-46.4099,,SP,SE
SP281,Limeira,-22.5636,-47.4143,,SP,SE
SP284,Pico do Jaragu,-23.4563,-46.7661,,SP,SE
SP289,Guaratinguet,-22.8189,-45.1919,,SP,SE
SP290,Americana,-22.724,-47.347,,SP,SE
SP292,Rio Claro,-22.4358,-47.5794,,SP,SE
SP293,Perus,-23.4132,-46.7561,,SP,SE
