site_id,site_name,latitude,longitude,altitude,country,municipality,area_classification,station_type,timezone,established_date,closed_date,network,network_code
AD0942A,Escaldes-Engordany,42.50969,1.53914,1080.0,Andorra,Escaldes-Engordany,urban-centre,background,UTC+01,01/01/2005 00:00:00,,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,NET-AD001A
AD0944A,Engolasters,42.51694,1.56525,1637.0,Andorra,Engolasters,rural,background,UTC+01,11/02/2006 00:00:00,,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,NET-AD001A
AD0945A,SudRadio-Envalira,42.53488,1.71699,2515.0,Andorra,SudRadio-Envalira,rural,background,UTC+01,18/08/2009 00:00:00,,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,NET-AD001A
AL0201A,Tirana Center,41.33027,19.82177,162.0,Albania,Tirana,urban-centre,traffic,UTC+01,06/01/2010 00:00:00,,Institute for Public Health,NET-AL002A
AL0202A,Tirana IPH,41.3456,19.85167,207.0,Albania,Tirana,urban-periphery,background,UTC+01,06/01/2010 00:00:00,,Institute for Public Health,NET-AL002A
AL0203A,Korca,40.62593,20.78018,848.0,Albania,Korca,urban-periphery,background,UTC+01,10/11/2011 00:00:00,,National Environment Agency,NET-AL001A
AL0205A,Durres,41.3199,19.4492,1.0,Albania,Durres,urban-centre,traffic,UTC+01,10/11/2011 00:00:00,,National Environment Agency,NET-AL001A
AL0206A,Shkoder,42.3139,19.52342,13.0,Albania,Shkoder,urban-centre,background,UTC+01,10/11/2011 00:00:00,,National Environment Agency,NET-AL001A
AL0207A,Elbasan,41.11098,20.0817,150.0,Albania,Elbasan,urban-centre,traffic,UTC+01,01/04/2014 00:00:00,,National Environment Agency,NET-AL001A
AL0208A,Fier,40.7258,19.5552,64.0,Albania,Fier,urban-centre,traffic,UTC+01,01/01/2021 00:00:00,,National Environment Agency,NET-AL001A
AT0ENK1,Enzenkirchen im Sauwald,48.39164,13.67086,525.0,Austria,4761 Enzenkirchen,rural-regional,background,UTC+01,03/06/1998 00:00:00,,Umweltbundesamt,NET.10
AT0ILL1,Illmitz am Neusiedler See,47.77028,16.76639,117.0,Austria,7142 Illmitz,rural-regional,background,UTC+01,10/05/1994 00:00:00,,Umweltbundesamt,NET.10
AT0KLH1,Klöch bei Bad Radkersburg,46.7672,15.9563,417.0,Austria,8493 Klöch,rural-regional,background,UTC+01,06/07/2006 00:00:00,,Umweltbundesamt,NET.10
AT0PIL1,Pillersdorf bei Retz,48.7212,15.936,315.0,Austria,"2073 Pillersdorf, Gemeinde Zellerndorf",rural-regional,background,UTC+01,27/02/1992 00:00:00,,Umweltbundesamt,NET.10
AT0SON1,Sonnblick,47.05417,12.9583,3106.0,Austria,5661 Rauris,rural-remote,background,UTC+01,04/03/1989 00:00:00,,Umweltbundesamt,NET.10
AT0VOR1,Vorhegg bei Kötschach-Mauthen,46.67765,12.9746,1036.0,Austria,9640 Kötschach-Mauthen,rural-remote,background,UTC+01,14/12/1990 00:00:00,,Umweltbundesamt,NET.10
AT0ZOE2,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,47.83828,14.44091,892.0,Austria,4462 Reichraming,rural-remote,background,UTC+01,09/09/1997 00:00:00,,Umweltbundesamt,NET.10
AT10001,Eisenstadt Laschoberstraße,47.84011,16.52617,165.0,Austria,7000 Eisenstadt,urban-periphery,background,UTC+01,01/01/1995 00:00:00,,Amt der Burgenländischen Landesregierung,NET.01
AT10003,Kittsee,48.10915,17.07032,136.0,Austria,2421 Kittsee,unknown,background,UTC+01,01/08/1988 00:00:00,,Amt der Burgenländischen Landesregierung,NET.01
AT10007,Rohr im Burgenland,47.11789,16.16278,250.0,Austria,7554 Rohr im Burgenland,rural,background,UTC+01,15/05/2024 00:00:00,,Amt der Burgenländischen Landesregierung,NET.01
AT12002,Oberwart B63a,47.27836,16.22068,308.0,Austria,7400 Oberwart,urban-periphery,traffic,UTC+01,15/06/2023 00:00:00,,Amt der Burgenländischen Landesregierung,NET.01
AT2F202,Klein St. Paul - Pemberg,46.84283,14.52998,810.0,Austria,9373 Klein St. Paul,rural,industrial,UTC+01,14/12/1995 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2KA41,Klagenfurt Kreuzbergl,46.62936,14.28931,550.0,Austria,9020 Klagenfurt,urban-periphery,background,UTC+01,03/06/1991 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2KA61,Klagenfurt A2 Nordumfahrung ,46.6525,14.26611,455.0,Austria,9020 Klagenfurt,urban-periphery,traffic,UTC+01,26/04/2008 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2KA71,Klagenfurt Sterneckstraße,46.62662,14.29914,445.0,Austria,9020 Klagenfurt,urban-centre,background,UTC+01,18/09/1990 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2M121,Arnoldstein Gailitz Waldsiedlungsstraße,46.5584,13.70345,574.0,Austria,9601 Arnoldstein,urban-periphery,industrial,UTC+01,02/02/1999 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2M226,Ebenthal Zell,46.61011,14.39826,420.0,Austria,9170 Zell bei Ebenthal,urban-periphery,background,UTC+01,01/01/2007 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2M805,Kraiger Berg bei St. Veit an der Glan,46.82518,14.33014,1070.0,Austria,9311 Frauenstein in Kärnten,rural,background,UTC+01,12/05/2021 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2VL52,Gerlitzen Steinturm,46.6954,13.91449,1897.0,Austria,9543 Arriach,rural-remote,background,UTC+01,02/06/1991 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2WO15,Wolfsberg Hauptschule,46.83498,14.84346,460.0,Austria,9400 Wolfsberg,urban-periphery,industrial,UTC+01,31/10/1990 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT2WO35,St. Georgen im Lavanttal - Herzogberg,46.70833,14.89167,540.0,Austria,9423 St. Georgen im Lavanttal,rural,background,UTC+01,10/09/1990 00:00:00,,Amt der Kärntner Landesregierung,NET.02
AT30065,"Purkersdorf, Tullnerbachstraße",48.1955,16.1434,260.0,Austria,3002 Purkersdorf,urban-periphery,background,UTC+01,01/06/2003 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30103,Kollmitzberg,48.17928,14.86505,465.0,Austria,3323 Neustadtl,rural,background,UTC+01,23/10/1987 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30201,"Bad Vöslau, Gainfarn",47.9592,16.20573,265.0,Austria,2540 Bad Vöslau,urban-periphery,background,UTC+01,17/09/1992 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30202,Forsthof am Schöpfl,48.1051,15.9189,581.0,Austria,2533 Klausen-Leopoldsdorf,rural-regional,background,UTC+01,20/01/1988 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30301,Hainburg Krankenhaus,48.1442,16.95787,180.0,Austria,2410 Hainburg an der Donau,urban-periphery,background,UTC+01,18/12/1986 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30302,Stixneusiedl,48.05004,16.67529,235.0,Austria,2463 Trauttmannsdorf an der Leitha,rural,background,UTC+01,10/04/1989 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30401,Gänserndorf Baumschulweg,48.33472,16.72945,161.0,Austria,2230 Gänserndorf,rural,background,UTC+01,18/01/1988 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30403,Wolkersdorf,48.3929,16.522,260.0,Austria,2120 Wolkersdorf,rural,background,UTC+01,01/03/1989 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30502,Heidenreichstein Thaures,48.87861,15.04667,570.0,Austria,3860 Heidenreichstein,rural-regional,background,UTC+01,10/03/1989 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30599,Klosterneuburg B14,48.30833,16.32803,170.0,Austria,3400 Klosterneuburg,urban-periphery,traffic,UTC+01,01/01/2006 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30601,Klosterneuburg Meynertgasse,48.30246,16.31395,260.0,Austria,3400 Klosterneuburg,urban-periphery,background,UTC+01,04/07/2016 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30701,Ziersdorf,48.52832,15.94185,230.0,Austria,3710 Ziersdorf,rural,background,UTC+01,11/06/2004 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT30902,"Stockerau, Rudolf Diesel-Straße",48.385,16.18211,175.0,Austria,2000 Stockerau,urban-periphery,traffic,UTC+01,17/10/2005 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31102,"Annaberg, Joachimsberg",47.86144,15.32085,880.0,Austria,3222 Annaberg,rural-regional,background,UTC+01,28/02/1991 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31204,Pöchlarn,48.21275,15.205,216.0,Austria,3380 Pöchlarn,rural,background,UTC+01,11/05/1999 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31401,Mödling Bachgasse,48.08556,16.30097,215.0,Austria,2340 Mödling,urban-periphery,background,UTC+01,01/01/1986 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31406,Biedermannsdorf Mühlengasse,48.08333,16.33722,188.0,Austria,2362 Biedermannsdorf,urban-periphery,traffic,UTC+01,14/02/2007 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31413,Wiener Neudorf Hauptstraße,48.0843,16.329,210.0,Austria,2351 Wiener Neudorf ,urban-periphery,background,UTC+01,04/06/2008 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31701,Dunkelsteinerwald - Unterbergern,48.37035,15.54552,320.0,Austria,3512 Bergern im Dunkelsteinerwald,rural,background,UTC+01,22/11/1989 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31901,Tulln Leopoldgasse,48.32945,16.0625,178.0,Austria,3430 Tulln,urban-periphery,background,UTC+01,01/01/1983 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT31903,Trasdorf im Tullnerfeld,48.33097,15.8578,185.0,Austria,3453 Atzenbrugg,rural,background,UTC+01,01/01/1983 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32101,Wiesmath,47.6075,16.29314,738.0,Austria,2811 Wiesmath,rural-regional,background,UTC+01,17/09/1992 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32301,St. Pölten Eybnerstraße,48.2116,15.6325,270.0,Austria,3100 St. Pölten,urban-periphery,background,UTC+01,22/10/1992 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32302,St. Pölten Europaplatz,48.20137,15.61999,271.0,Austria,3100 St. Pölten,urban-centre,traffic,UTC+01,01/07/2010 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32401,Wiener Neustadt,47.81417,16.255,265.0,Austria,2700 Wiener Neustadt,urban-periphery,background,UTC+01,01/11/1984 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32701,"Schwechat Sportplatz, Mühlgasse",48.14558,16.4759,155.0,Austria,2320 Schwechat,urban-periphery,background,UTC+01,07/10/1985 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT4BERN,Linz Bernaschekplatz,48.31083,14.28111,260.0,Austria,4020 Linz,urban-centre,traffic,UTC+01,08/02/2000 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4LHBF,Linz HBf. Bahnhofsplatz - Bahnhofspinne,48.29108,14.28951,270.0,Austria,4020 Linz,urban-centre,traffic,UTC+01,01/01/2014 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S108,Grünbach bei Freistadt,48.53111,14.57472,918.0,Austria,4264 Grünbach,rural,background,UTC+01,01/01/1986 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S156,"Braunau Zentrum, Kolpingplatz",48.25747,13.03923,350.0,Austria,5280 Braunau am Inn,urban-periphery,background,UTC+01,01/07/1978 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S173,"Steyregg Au, Freizeitpark",48.27975,14.3665,250.0,Austria,4221 Steyregg,urban-periphery,industrial,UTC+01,01/05/1998 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S184,"Linz Stadtpark, Noßbergerstraße",48.30612,14.2975,260.0,Austria,4020 Linz,urban-centre,background,UTC+01,29/10/2008 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S217,Enns Kristein - A1 Westautobahn,48.20944,14.43694,255.0,Austria,4470 Enns,unknown,traffic,UTC+01,16/01/2012 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S235,Feuerkogel (Höllengebirge),47.81586,13.72074,1602.0,Austria,4802 Ebensee,rural-remote,background,UTC+01,19/05/2015 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S406,Wels Linzerstraße,48.1649,14.0366,316.0,Austria,4600 Wels,urban-periphery,background,UTC+01,01/08/1978 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S409,Steyr Münichholz,48.04925,14.44236,305.0,Austria,4400 Steyr,urban-periphery,background,UTC+01,01/05/1991 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S415,Linz 24er Turm A7,48.32333,14.29778,255.0,Austria,4020 Linz,urban-periphery,traffic,UTC+01,01/07/1979 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S416,Linz Neue Welt,48.27329,14.31479,265.0,Austria,4020 Linz,urban-periphery,background,UTC+01,01/09/1996 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S431,Linz Römerberg B139,48.30299,14.28217,262.0,Austria,4020 Linz,urban-centre,traffic,UTC+01,03/11/1997 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S432,Lenzing Hauptstraße,47.97386,13.60892,485.0,Austria,4860 Lenzing,urban-periphery,industrial,UTC+01,29/10/2019 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT51500,Salzburg Stadtautobahn A1,47.81486,13.00044,425.0,Austria,5071 Wals-Siezenheim,urban-periphery,traffic,UTC+01,14/10/2013 00:00:00,,Amt der Salzburger Landesregierung,NET.05
