site_id,site_name,latitude,longitude,altitude,state,county,city,land_use,location_setting,owning_agency,established_date,closed_date,address,zip_code,area_classification
010030010,"FAIRHOPE, Alabama",30.497478,-87.880258,37.19,Alabama,Baldwin,Fairhope,COMMERCIAL,SUBURBAN,Al Dept Of Env Mgt,2000-01-01,,"FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",36532.0,urban-periphery
010050002,CLIO,31.664302,-85.606175,143.26,Alabama,Barbour,Not in a city,FOREST,SUBURBAN,Al Dept Of Env Mgt,2003-10-06,,"437 COUNTY ROAD 8, CLIO, ALABAMA",,urban-periphery
010070001,010070001,32.904048,-87.233057,445.0,Alabama,Bibb,Centreville (Centerville),AGRICULTURAL,RURAL,"Environmental Science & Engineering, Inc (Ese)",1991-07-15,,11.8 KM SW OF CENTREVILLE ON CNTY RD 25.,35034.0,rural
010270001,ASHLAND,33.284928,-85.803608,344.42,Alabama,Clay,Ashland,RESIDENTIAL,RURAL,Al Dept Of Env Mgt,1991-03-25,,ASHLAND AIRPORT,36251.0,rural
010330041,010330041,34.7637,-87.652807,158.0,Alabama,Colbert,Not in a city,INDUSTRIAL,SUBURBAN,Tennessee Valley Authority,1983-01-01,,0.98 MI. SSW OF NFDC CHIMNEY,,urban-periphery
010330042,010330042,34.762033,-87.662251,168.0,Alabama,Colbert,Not in a city,INDUSTRIAL,SUBURBAN,Tennessee Valley Authority,1983-01-01,,1.4 MI. SW OF NFDC CHIMNEY,,urban-periphery
010330043,010330043,34.73259,-87.857534,140.0,Alabama,Colbert,Not in a city,AGRICULTURAL,RURAL,Tennessee Valley Authority,1983-09-27,,TVA COLBERT 13   0.9 MI SW COLBERT FP,,rural
010330044,010330044,34.690647,-87.821422,238.0,Alabama,Colbert,Not in a City,AGRICULTURAL,RURAL,Tennessee Valley Authority,1983-09-26,,TVA COLBERT 14___3.98 MI SE COLBERT FP,,rural
010331003,010331003,34.7589,-88.0138,148.0,Alabama,Colbert,Not in a City,FOREST,RURAL,National Park Service,2009-05-06,,Natchez Trace Parkway,35616.0,rural
010490001,010490001,34.456508,-85.671628,488.0,Alabama,DeKalb,Fort Payne,AGRICULTURAL,RURAL,Al Dept Of Env Mgt,1997-01-01,,29.9 MI S OF WIDOWS CREEK POWER PLANT,35967.0,rural
010490005,010490005,34.495116,-85.865264,402.0,Alabama,DeKalb,Rainsville,AGRICULTURAL,RURAL,Al Dept Of Env Mgt,1997-01-01,,27.5 MILES SSW OF WIDOWS CREEK STEAM PPL,35986.0,rural
010490006,010490006,34.525372,-85.899937,378.0,Alabama,DeKalb,Powell,AGRICULTURAL,RURAL,Al Dept Of Env Mgt,1997-01-01,,25.9 MILES SSW OF WIDOWS CREEK STEAM PPL,35971.0,rural
010490009,010490009,34.291783,-85.958621,347.0,Alabama,DeKalb,Not in a City,AGRICULTURAL,RURAL,Al Dept Of Env Mgt,1997-01-01,,42.7 MILE S.S W OF WIDOWS CREEK STEAM,35962.0,rural
010491003,CROSSVILLE,34.288567,-85.969858,500.0,Alabama,DeKalb,Crossville,AGRICULTURAL,RURAL,Al Dept Of Env Mgt,1998-12-01,,"13112 HWY.68 , CROSSVILLE AL. 35962",35962.0,rural
010499991,Sand Mountain,34.289001,-85.970065,352.0,Alabama,DeKalb,Crossville,AGRICULTURAL,RURAL,USEPA - Clean Air and Power Division,1988-11-17,,"Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962",35962.0,rural
010510002,MONITOR LOCATED ON GROUNDS OF NATIONAL GUARD ARMORY.,32.583466,-85.93246,400.0,Alabama,Elmore,Tallassee,RESIDENTIAL,SUBURBAN,Al Dept Of Env Mgt,1982-03-30,,"164 MCNEAL ST., TALLASSEE, AL 36078",,urban-periphery
010510004,Wetumpka Westside Technology Park,32.53568,-86.255193,54.0,Alabama,Elmore,Wetumpka,INDUSTRIAL,URBAN AND CENTER CITY,Al Dept Of Env Mgt,2018-03-20,,"3148 Elmore Road, Wetumpka, Alabama 36092",36092.0,urban-centre
010531000,PCI MET1,31.0921,-87.5435,89.61,Alabama,Escambia,Not in a City,AGRICULTURAL,RURAL,Poarch Band of Creek Indians,2014-09-01,,Jack Springs Rd,36502.0,rural
010550001,010550001,33.999819,-86.107475,17.0,Alabama,Etowah,Attalla,RESIDENTIAL,SUBURBAN,Al Dept Of Env Mgt,1981-01-01,,ATTALLA COMMUNITY CENTER,,urban-periphery
010550008,GADSDEN,34.015097,-86.012194,0.0,Alabama,Etowah,Gadsden,RESIDENTIAL,SUBURBAN,Al Dept Of Env Mgt,1984-02-01,,3200 WALNUT ST,,urban-periphery
010550010,GADSDEN C. COLLEGE,33.98821,-85.992556,50.0,Alabama,Etowah,Gadsden,COMMERCIAL,URBAN AND CENTER CITY,Al Dept Of Env Mgt,2000-01-01,,"314 COLLEGE DRIVE, GADSDEN, AL 35902",35903.0,urban-centre
010710020,010710020,34.877025,-85.720805,457.0,Alabama,Jackson,Not in a city,AGRICULTURAL,RURAL,Tennessee Valley Authority,1972-01-01,,TVA WIDOWS CRK 11 2.0 MI ESE WIDOWS CRK,,rural
010710022,010710022,34.856748,-85.735528,459.0,Alabama,Jackson,Not in a city,AGRICULTURAL,RURAL,Al Dept Of Env Mgt,1997-01-01,,2.14 MI. SSE OF WIDOWS CREEK STEAM PLANT,,rural
010710039,010710039,34.874249,-85.763029,187.0,Alabama,Jackson,Not in a city,INDUSTRIAL,RURAL,Tennessee Valley Authority,1982-01-01,,TVA WIDOWS CRK 26   .83 MI SW WDCK,,rural
010730002,010730002,33.3975,-86.955278,168.0,Alabama,Jefferson,Bessemer,COMMERCIAL,URBAN AND CENTER CITY,"Jefferson County, AL  Department Of Health",1980-01-16,,"1500 1ST AVE N., BESSEMER, AL",35020.0,urban-centre
010730008,010730008,33.539548,-86.533317,204.0,Alabama,Jefferson,Leeds,INDUSTRIAL,RURAL,"Jefferson County, AL  Department Of Health",1985-10-01,,"NEW JER., HAYES INT'L, 1370 BORDEN AVENU",,rural
010730023,North Birmingham,33.553056,-86.815,177.0,Alabama,Jefferson,Birmingham,COMMERCIAL,URBAN AND CENTER CITY,"Jefferson County, AL  Department Of Health",1979-03-12,,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",35207.0,urban-centre
010730028,010730028,33.529444,-86.850278,166.0,Alabama,Jefferson,Birmingham,RESIDENTIAL,SUBURBAN,"Jefferson County, AL  Department Of Health",1981-01-01,,"EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.",35204.0,urban-periphery
010730031,010730031,33.503717,-86.808046,183.0,Alabama,Jefferson,Birmingham,COMMERCIAL,URBAN AND CENTER CITY,"Jefferson County, AL  Department Of Health",1982-01-01,,"UAB, GUY TATE BLDG., 1400 6TH AVE. SOUTH",,urban-centre
010730034,010730034,33.5275,-86.807778,185.0,Alabama,Jefferson,Birmingham,RESIDENTIAL,URBAN AND CENTER CITY,"Jefferson County, AL  Department Of Health",1984-01-01,,"2301 11TH AVE NORTH, BIRMINGHAM, AL.",35203.0,urban-centre
010731005,McAdory,33.331111,-87.003611,163.0,Alabama,Jefferson,Not in a City,RESIDENTIAL,SUBURBAN,"Jefferson County, AL  Department Of Health",1987-06-17,, ROUTE 8 MCADORY,35111.0,urban-periphery
