site_id,site_name,latitude,longitude,altitude,city,station_name_chinese
1001A,The West Palace of Longevity,39.8673,116.366,47,Beijing,万寿西宫
1002A,Dingling Tomb,40.2865,116.17,307,Beijing,定陵
1003A,A surname,39.9522,116.434,50,Beijing,东四
1004A,Temple of Heaven,39.8745,116.434,46,Beijing,天坛
1005A,Agriculture exhibition hall,39.9716,116.473,37,Beijing,农展馆
1006A,Official garden,39.9425,116.361,55,Beijing,官园
1007A,"Wanliu, Haidian District",39.9934,116.315,54,Beijing,海淀区万柳
1008A,Shunyi New ,40.1438,116.72,32,Beijing,顺义新城
1009A,Huairou Town,40.3937,116.644,205,Beijing,怀柔镇
1010A,Changping Town,40.1952,116.23,58,Beijing,昌平镇
1011A,Olympic sports center,40.0031,116.407,49,Beijing,奥体中心
1012A,Ancient ,39.9279,116.225,63,Beijing,古城
1013A,Municipal Monitoring Center (outage 150702),39.097,117.151,9,Tianjin,市监测中心(停运150702)
1014A,Nankou Road (no service 161122),39.173,117.193,8,Tianjin,南口路(停运161122)
1015A,Be industrious and thrifty,39.1654,117.145,5,Tianjin,勤俭道
1016A,Nanjing Road (no service 160601),39.1205,117.184,12,Tianjin,南京路(停运160601)
1017A,Dazhigu No. 8 Road,39.1082,117.237,4,Tianjin,大直沽八号路
1018A,Way forward,39.0927,117.202,5,Tianjin,前进道
1019A,Huaihe Road,39.2133,117.1837,5,Tianjin,淮河道
1020A,Tianshan Road (outage 150702),39.1337,117.269,6,Tianjin,天山路(停运150702)
1021A,Skip road,39.0877,117.307,6,Tianjin,跃进路
1022A,Meijiang Community (out of service 150702),39.06,117.221,2,Tianjin,梅江小区(停运150702)
1023A,Fourth Avenue,39.0343,117.707,2,Tianjin,第四大街
1024A,Wing Ming road,38.8394,117.457,2,Tianjin,永明路
1025A,Space Road (out of service 170426),39.124,117.401,2,Tianjin,航天路(停运170426)
1026A,Han Bei Road,39.1587,117.764,1,Tianjin,汉北路
1027A,Tuanbowa,38.9194,117.157,2,Tianjin,团泊洼(对照点)
1028A,Chemical engineering school,37.995,114.609,70,Shijiazhuang ,化工学校
