site_id,site_name,latitude,longitude,altitude,area_classification
AM0001R,Amberd,40.38444519042969,44.260581970214844,2080.0,urban
AR0001R,Marambio,-64.24005889892578,-56.624778747558594,198.0,rural
AR0002G,Ushuaia,-54.84846496582031,-68.3106918334961,18.0,rural
AR0003R,San Julian Aero,-49.3026,-67.8223,62.0,rural
AR0004R,La Quiaca,-22.10333251953125,-65.600830078125,3459.0,rural
AR0005R,Pilar,-31.668611526489258,-63.88194274902344,339.0,rural
AT0001R,Kittsee,48.08333,17.06667,,urban
AT0002R,Illmitz,47.766666412353516,16.766666412353516,117.0,rural
AT0003R,Achenkirch,47.55,11.71667,960.0,rural
AT0004R,St. Koloman,47.650001525878906,13.199999809265137,851.0,rural
AT0005R,Vorhegg,46.67777633666992,12.972222328186035,1020.0,rural
AT0006U,Hohe Warte,48.24864,16.35645,202.0,urban
AT0007U,Stephansplatz,48.20814,16.37325,172.0,urban
AT0030R,Pillersdorf bei Retz,48.72111129760742,15.942221641540527,315.0,rural
AT0032R,Sulzberg,47.52916717529297,9.926667213439941,1020.0,rural
AT0033R,Stolzalpe bei Murau,47.12916564941406,14.203888893127441,1302.0,rural
AT0034G,Sonnblick,47.05406951904297,12.957940101623535,3106.0,rural
AT0037R,Zillertaler Alpen,47.13694381713867,11.869999885559082,1970.0,rural
AT0038R,Gerlitzen,46.69361114501953,13.914999961853027,1895.0,rural
AT0040R,Masenberg,47.34805679321289,15.882222175598145,1170.0,rural
AT0041R,Haunsberg,47.97305679321289,13.016111373901367,730.0,rural
AT0042R,Heidenreichstein,48.87861251831055,15.046667098999023,570.0,rural
AT0043R,Forsthof,48.106109619140625,15.91944408416748,581.0,rural
AT0044R,Graz Platte,47.11305618286133,15.470556259155273,651.0,rural
AT0045R,Dunkelsteinerwald,48.37111282348633,15.546667098999023,320.0,rural
AT0046R,Gänserndorf,48.334720611572266,16.73055648803711,161.0,urban
AT0047R,Stixneusiedl,48.05083465576172,16.676666259765625,240.0,urban
AT0048R,Zoebelboden,47.8386116027832,14.441389083862305,899.0,rural
AT0049R,Grebenzen bei St. Lamprecht,47.04027557373047,14.329999923706055,1648.0,rural
AT0050R,Graz Lustbuehel,47.06694412231445,15.493611335754395,481.0,rural
AU0001C,Alice Springs,-23.795085906982422,133.88900756835938,547.0,rural
AU0002G,Kennaook / Cape Grim Baseline Air Pollution Station,-40.682220458984375,144.68833923339844,94.0,rural
AU0004R,Wagga Wagga,-35.159828186035156,147.4561767578125,212.0,rural
AU0005U,Wollongong,-34.40570068359375,150.88046264648438,50.0,rural
AU0006U,Adelaide,-34.95167,138.52133,4.0,urban
BA0006R,Ivan Sedlo,43.76667,18.03333,970.0,rural
BB0001R,Ragged Point,13.170000076293945,-59.43000030517578,15.0,rural
BE0001R,Offagne,49.877777099609375,5.203610897064209,430.0,rural
BE0003R,Brugge,51.25,3.2,10.0,rural
BE0004R,Knokke,51.36,3.33333,,rural
BE0005R,University of Gent,51.05,3.71667,,rural
BE0006R,Uccle,50.79790115356445,4.358759880065918,100.0,urban
BE0007R,TMNT09 Vielsalm,50.30400466918945,6.001270771026611,496.0,rural
BE0008U,Angleur,50.61187,5.61099,68.0,rural
BE0009U,Charleroi-Mayence,50.4094,4.52365,140.0,rural
BE0010U,Herstal,50.65841,5.62799,61.0,rural
BE0011R,Moerkerke,51.016666412353516,2.5833330154418945,3.0,rural
BE0012U,Lodelinsart,50.42899,4.45878,133.0,urban
BE0013R,Houtem,51.25,3.3499999046325684,2.0,rural
BE0014R,Koksijde,51.12092,2.65854,4.0,rural
BE0015U,Mons,50.46517,3.93885,36.0,rural
BE0016U,Mouscron,50.75321,3.24135,43.0,rural
BE0017U,Namur,50.4632,4.87241,107.0,rural
BE0018U,TMEG01 Engis,50.58321,5.39747,137.0,rural
BE0019U,Brussels Sciensano,50.82431,4.38333,77.0,urban
BE0032R,Eupen,50.62942123413086,6.00101900100708,295.0,rural
BE0035R,Vezin,50.503334045410156,4.989443778991699,160.0,rural
BE0090R,Bredene,51.23333,2.98333,,rural
BG0001R,BEO Moussala,42.16666793823242,23.583332061767578,2971.0,rural
BG0002U,Burgas,42.49771,27.48269,16.0,rural
BG0003U,Varna,43.2125,27.95236,41.0,rural
BG0004U,Plovdiv,42.13713,24.7422,304.0,rural
BG0005U,Pleven,43.40356,24.61254,64.0,rural
BG0006U,Sofia,42.65369,23.38293,588.0,urban
BG0053R,Rojen peak,41.695831298828125,24.738611221313477,1750.0,rural
BM0001R,Tudor Hill (Bermuda),32.27000045776367,-62.880001068115234,30.0,rural
BO0001R,Mount Chacaltaya,-16.200000762939453,-68.0999984741211,5320.0,rural
BR0001R,Manacapuru (ARM),-3.21297,-60.5981,50.0,rural
BR0002G,Arembepe,-12.76667,-38.16667,10.0,urban
BR0100C,Manaus,-2.595,-60.209,45.0,rural
BY0004R,Vysokoe,52.33333,23.43333,163.0,rural
CA0001R,Tagish,60.3,-134.26667,,rural
CA0002R,Esther,51.66666793823242,-110.19999694824219,707.0,rural
CA0003R,Saturna,48.78333282470703,-123.13333129882812,178.0,rural
CA0004R,Harcourt B,46.5,-65.26667,37.0,rural
CA0005R,Jackson,45.59306,-63.84167,90.0,rural
CA0006R,Kejimkujik,44.43361282348633,-65.2058334350586,127.0,rural
CA0007R,Snare Rapids,63.51667,-116.0,240.0,rural
CA0008R,Algoma,47.035,-84.38111,411.0,rural
CA0009R,Bonner Lake,49.38639,-82.12139,245.0,rural
CA0010R,Chalk River,46.06278,-77.40472,184.0,rural
CA0011R,Egbert,44.23100662231445,-79.7838363647461,255.0,rural
CA0012R,Experimental Lakes Area,49.66389083862305,-93.72110748291016,369.0,rural
CA0013R,Longwoods,42.88472,-81.48056,239.0,rural
CA0014R,Pickle Lake B,51.45,-90.22,370.0,rural
CA0015R,Sprucedale,45.42361,-79.48583,350.0,rural
CA0016R,Warsaw Caves,44.46389,-78.13056,230.0,rural
CA0017R,Chapais,49.82222,-74.97639,381.0,rural
CA0018R,Frelighsburg,45.05028,-72.86167,203.0,rural
CA0019R,Lac Edouard,47.68167,-72.44278,243.0,rural
CA0020R,LG4,53.75722,-73.675,300.0,rural
CA0021R,Mingan,50.26667,-64.21667,14.0,rural
CA0022R,Sutton,45.07639,-72.67639,243.0,rural
CA0023R,Bratts Lake,50.20277786254883,-104.20417022705078,600.0,rural
CA0024R,Canterbury,45.95528,-66.47694,155.0,rural
CA0025R,Coles Island,45.92444,-65.81083,100.0,rural
CA0026R,Fundy NP,45.59778,-64.94917,55.0,rural
CA0027R,Holtville,46.53806,-66.4625,183.0,rural
CA0028R,Lakewood Heights,45.31278,-65.97361,82.0,rural
CA0029R,Nictau,47.23417,-67.32,172.0,rural
CA0030R,Pennfield,45.12972,-66.6575,65.0,rural
CA0031R,PetitPaquetville,47.69917,-65.05194,40.0,rural
CA0032R,Robertville,47.70833,-65.8075,60.0,rural
CA0033R,South Oromocto,45.44639,-66.64917,130.0,rural
CA0034R,St. Maure,47.95,-66.4625,122.0,rural
CA0035R,Trout Brook,47.11861,-66.4625,160.0,rural
CA0079R,Bay dEspoir B,47.9894,-55.818,190.0,rural
CA0080R,Goose Bay B,53.2903,-60.388,39.0,rural
CA0081R,Burnt Island,45.8167,-82.95,185.0,rural
CA0083R,Marten River,46.6711,-79.9167,,rural
CA0084R,Westport,44.6386,-76.37,133.0,rural
CA0098R,Chebogue Point,43.75,-66.12,5.0,rural
CA0100R,Whistler Mountain,50.05929946899414,-122.95760345458984,2182.0,rural
CA0101R,Sable Island,43.93299865722656,-60.016998291015625,4.0,rural
CA0102R,East Trout Lake,54.35374450683594,-104.98686218261719,500.0,rural
CA0103R,Eureka,80.05000305175781,-86.41665649414062,610.0,rural
CA0106U,Toronto,43.78049,-79.468,198.0,urban
CA0107R,Barrier Lake,51.029,-115.0336,1391.0,rural
CA0108R,Lac La Biche (Alberta),54.95381,-112.46665,548.0,rural
CA0300A,CAN-FRA,23.39,-113.3,,rural
CA0301A,CAN-MNL,23.39,-113.3,,rural
CA0302A,YYZ-FRA,43.68,-79.63,,urban
CA0420G,Alert,82.4991455078125,-62.34152603149414,210.0,rural
CH0001G,Jungfraujoch,46.54750061035156,7.985000133514404,3578.0,rural
CH0002R,Payerne,46.81305694580078,6.9447221755981445,489.0,rural
CH0003R,Tänikon,47.47972106933594,8.904722213745117,539.0,rural
CH0004R,Chaumont,47.049720764160156,6.9794440269470215,1137.0,rural
CH0005R,Rigi,47.067501068115234,8.463889122009277,1031.0,rural
CH0006C,Davos,46.81666564941406,9.850000381469727,1590.0,rural
CH0007U,Dübendorf,47.40486,8.60847,432.0,rural
CH0008U,Lugano Museo Cantonale,46.00414,8.96064,275.1,rural
CH0010U,Zürich-Kaserne,47.37759,8.53042,409.0,rural
CH0013R,Delemont,47.36667,7.35,,rural
CH0014R,Oeschberg,47.13333,7.61667,,rural
CH0015R,Einsiedeln,47.13333,8.75,,rural
CH0016R,Magadino,46.16667,8.88333,,rural
CH0017R,Basel Universitätsspital,47.5618,7.58391,256.0,rural
CH0018R,Buchs,47.1733,9.47268,446.0,rural
CH0019R,Geneva Hôpitaux Universitaires,46.1923,6.14936,382.0,rural
CH0020R,La Chaux-de-Fonds Hospital Neuchâtelois,47.1135,6.83199,1037.0,rural
CH0021R,Lausanne Hospital Universitaire,46.5245,6.64325,569.0,rural
CH0022R,Luzern Kantonsspital,47.0576,8.29677,463.0,rural
CH0023R,Neuchatel Université,47.0007,6.95019,489.0,rural
CH0024R,Locarno-Monti,46.1725,8.78738,376.0,rural
CH0025R,Zürich Kräbühlstrasse,47.3782,8.5658,558.0,rural
CH0026R,Bern ARTORG Center,46.95036,7.42466,546.0,rural
CH0027R,Davos-Wolfgang,46.82909,9.85535,1591.0,rural
CH0028R,Münsterlingen Kantonsspital,47.6302,9.23688,415.0,rural
CH0029U,Bern-Bollwek,46.95111,7.44083,542.0,rural
CH0030U,Lugano-UniversitÃ,46.01111,8.95722,287.0,rural
CH0031R,Sion,46.22028,7.34194,483.0,rural
CH0032R,Sion (Hôpital),46.2362,7.38556,496.0,rural
CH0033R,Magadino-Cadenazzo,46.16028,8.93389,203.0,rural
CH0053R,Beromünster,47.189613342285156,8.175434112548828,797.0,rural
CI0001R,Lamto,6.21677,-5.02543,105.0,rural
CL0001R,El Tololo,-30.17254066467285,-70.79923248291016,2220.0,rural
CL0002R,Easter Island,-27.1597,-109.4284,47.0,rural
CN0001B,Tie Shan Ping,29.633333206176758,104.68333435058594,450.0,rural
CN0002R,Lei Gong Shan,26.366666793823242,108.18333435058594,1630.0,rural
CN0003R,Cai Jia Tang,27.916667938232422,112.43333435058594,450.0,rural
CN0004B,Liu Xi He,23.55,113.58333,500.0,rural
CN0005R,Liu Chong Guan,26.63333,106.71667,1320.0,rural
CN0011R,Shouxian (ARM),32.5584,116.782,23.0,rural
CN0100R,Linan,30.3,119.73,138.0,urban
CN0101G,Mt. Waliguan,36.28300094604492,100.9000015258789,3810.0,rural
CN1001U,Chongqing-Guanyinqiao,29.56667,106.51667,262.0,urban
