# Site ID, Site Name, Latitude, Longitude, Altitude (m)
BA01,BA01,,,
BA02,BA02,,,
BA03,BA03,-12.630000,-38.358000,
BA04,BA04,-12.657000,-38.370000,
BA05,BA05,,,
BA06,Concórdia,,,
BA07,BA07,-12.636000,-38.274000,
BA08,BA08,-12.642000,-38.376000,
BA09,BA09,-12.801000,-38.226000,
BA10,BA10,,,
BA11,Botelho,-12.615000,-38.520000,
BA12,BA12,-12.954000,-38.430000,
BA13,BA13,-12.990000,-38.520000,
BA14,BA14,,,
BA15,BA15,-13.005000,-38.490000,
BA16,BA16,,,
BA17,BA17,-12.978000,-38.466000,
BA18,BA18,-12.996000,-38.478000,
BA19,BA19,-12.756000,-38.286000,
BA20,BA20,-12.963000,-38.478000,
ES02,ES02,-20.343000,-40.398000,
ES03,ES03,,,
ES04,ES04,-20.253000,-40.266000,
ES05,Laranjeiras,-20.190000,-40.254000,
ES06,ES06,,,
ES07,ES07,-20.349000,-40.320000,
ES08,ES08,-20.334000,-40.296000,
ES09,ES09,-20.220000,-40.236000,
ES12,ES12,-20.814000,-40.632000,
ES13,ES13,-20.742000,-40.602000,
ES14,ES14,-20.820000,-40.626000,
ES15,ES15,,,
ES16,ES16,,,
ES17,Ubu,-20.802000,-40.596000,
ES18,Linhares 1,-19.506000,-39.804000,
ES19,ES19,-19.566000,-39.804000,
MG01,Avenida Amazonas,-19.938000,-43.992000,
MG02,Centro - Av. do Contorno,-19.914000,-43.938000,
MG03,PUC São Gabriel,,,
MG04,PUC Barreiro,-19.977000,-44.028000,
MG05,Bairro Jardim das Alterosas,-19.947000,-44.160000,
MG06,Bairro Petrovale,-19.995000,-44.112000,
MG07,Centro Administrativo,-19.968000,-44.208000,
MG08,Bairro Cascata,-19.989000,-44.088000,
MG09,Bairro Piratininga,-20.004000,-44.058000,
MG10,MG - Cidade Industrial,-19.962000,-44.034000,
MG20,Bom Retiro,-19.509000,-42.558000,
MG21,Cariru,-19.491000,-42.528000,
MG22,Cidade Nobre,-19.461000,-42.558000,
MG23,Veneza,-19.473000,-42.528000,
MG24,Escola Cecília Meireles,,,
MG35,Basílica,,,
MG37,Lobo Leite,-20.520000,-43.794000,
MG51,Aeroporto CMD,-19.020000,-43.434000,
MG55,E.M. Pe Vicente Assunção,,,
MG62,Parque da Cachoeira,-20.145000,-44.160000,
PR01,PR01,,,
PR02,PR02,-25.497000,-49.338000,
PR03,CSN,-25.569000,-49.380000,
PR04,PR04,,,
PR05,PR05,,,
PR06,PR06,-25.554000,-49.392000,
PR07,PR07,-25.587000,-49.404000,
PR08,Assis,-25.578000,-49.404000,
RJ01,RJ - Taquara,-22.935000,-43.374000,
RJ02,NI - Monteiro Lobato,-22.761000,-43.440000,
RJ03,SG - UERJ,-22.833000,-43.074000,
RJ04,RJ04,-22.989000,-43.416000,
