# Site ID, Site Name, Latitude, Longitude, Altitude (m)
BA01,BA01,,,
BA02,BA02,,,
BA05,BA05,,,
BA06,Concórdia,,,
BA10,BA10,,,
BA14,BA14,,,
BA16,BA16,,,
ES02,ES02,-20.343000,-40.398000,
ES03,ES03,,,
ES04,ES04,-20.253000,-40.266000,
ES05,Laranjeiras,-20.190000,-40.254000,
ES06,ES06,,,
ES07,ES07,-20.349000,-40.320000,
ES08,ES08,-20.334000,-40.296000,
ES09,ES09,-20.220000,-40.236000,
ES12,ES12,-20.814000,-40.632000,
ES13,ES13,-20.742000,-40.602000,
ES14,ES14,-20.820000,-40.626000,
ES15,ES15,,,
ES16,ES16,,,
ES17,Ubu,-20.802000,-40.596000,
ES18,Linhares 1,-19.506000,-39.804000,
ES19,ES19,-19.566000,-39.804000,
MG03,PUC São Gabriel,,,
MG20,Bom Retiro,-19.509000,-42.558000,
MG21,Cariru,-19.491000,-42.528000,
MG22,Cidade Nobre,-19.461000,-42.558000,
MG23,Veneza,-19.473000,-42.528000,
MG24,Escola Cecília Meireles,,,
MG35,Basílica,,,
MG37,Lobo Leite,-20.520000,-43.794000,
MG51,Aeroporto CMD,-19.020000,-43.434000,
MG55,E.M. Pe Vicente Assunção,,,
PR01,PR01,,,
PR04,PR04,,,
PR05,PR05,,,
RJ05,RJ - Engenhão,,,
RJ11,RJ - Ilha de Paquetá,,,
RJ12,RJ - Gericinó,,,
RJ14,RJ14,,,
RJ17,Sp - Piranema,-22.836000,-43.710000,
RJ18,Itg - Coroa Grande,-22.905000,-43.872000,
RJ19,Mt - Itacuruçá,,,
RJ20,DC - Campos Elíseos,,,
RJ220,Santa Cruz (CMS) - Móvel,,,
RJ226,SJB - Barra do Açu,,,
RJ227,SJB - Mato Escuro,-21.888000,-41.064000,
RJ23,DC - São Bento,,,
RJ24,DC - Vila São Luiz,,,
RJ25,SC - Adalgisa Nery,-22.890000,-43.716000,
RJ26,Jp - Engenheiro Pedreira,-22.671000,-43.596000,
RJ27,SC - Largo do Bodegão,,,
RJ271,RJ271,,,
RJ28,Itg - Monte Serrat,-22.875000,-43.770000,
RJ47,VR - Belmonte,-22.518000,-44.130000,
RJ48,VR - Retiro,-22.503000,-44.124000,
RJ49,VR - Santa Cecília,,,
RJ50,PR - Porto Real,-22.422000,-44.286000,
RJ51,Qt - Bom Retiro,-22.398000,-44.322000,
RJ53,Rs - Cidade Alegria,-22.284000,-44.292000,
RJ68,Mc - Fazenda Aires,-22.344000,-41.958000,
RJ69,Mc - Pesagro,-22.377000,-41.814000,
RJ70,Mc - Fazenda Severina,-22.314000,-41.880000,
RJ71,Mc - Cabiúnas,,,
RJ76,Ma - Macuco,-21.990000,-42.258000,
RJ78,Cg - Val Palmas,-21.972000,-42.288000,
RJ87,Pref - São Cristovão,,,
RJ89,Pref - Irajá,,,
RJ92,Pref - Pedra de Guaraíba,,,
RJ94,BR - São Bernardo,,,
RJ97,RJ - Lourenço Jorge,,,
RJ98,RJ98,,,
RJ99,RJ99,,,
