# Site ID, Site Name, Latitude, Longitude, Altitude (m)
BA03,BA03,-12.630000,-38.358000,
BA04,BA04,-12.657000,-38.370000,
BA07,BA07,-12.636000,-38.274000,
BA08,BA08,-12.642000,-38.376000,
BA09,BA09,-12.801000,-38.226000,
BA11,Botelho,-12.615000,-38.520000,
BA12,BA12,-12.954000,-38.430000,
BA13,BA13,-12.990000,-38.520000,
BA15,BA15,-13.005000,-38.490000,
BA17,BA17,-12.978000,-38.466000,
BA18,BA18,-12.996000,-38.478000,
BA19,BA19,-12.756000,-38.286000,
BA20,BA20,-12.963000,-38.478000,
MG01,Avenida Amazonas,-19.938000,-43.992000,
MG02,Centro - Av. do Contorno,-19.914000,-43.938000,
MG04,PUC Barreiro,-19.977000,-44.028000,
MG05,Bairro Jardim das Alterosas,-19.947000,-44.160000,
MG06,Bairro Petrovale,-19.995000,-44.112000,
MG07,Centro Administrativo,-19.968000,-44.208000,
MG08,Bairro Cascata,-19.989000,-44.088000,
MG09,Bairro Piratininga,-20.004000,-44.058000,
MG10,MG - Cidade Industrial,-19.962000,-44.034000,
MG62,Parque da Cachoeira,-20.145000,-44.160000,
PR02,PR02,-25.497000,-49.338000,
PR03,CSN,-25.569000,-49.380000,
PR06,PR06,-25.554000,-49.392000,
PR07,PR07,-25.587000,-49.404000,
PR08,Assis,-25.578000,-49.404000,
RJ01,RJ - Taquara,-22.935000,-43.374000,
RJ02,NI - Monteiro Lobato,-22.761000,-43.440000,
RJ03,SG - UERJ,-22.833000,-43.074000,
RJ04,RJ04,-22.989000,-43.416000,
RJ06,RJ - Lagoa,-22.974000,-43.218000,
RJ07,RJ - Leblon,-22.977000,-43.224000,
RJ08,RJ08,-22.956000,-43.176000,
RJ10,RJ - Ilha do Governador,-22.803000,-43.182000,
RJ100,RJ100,-22.764000,-43.386000,
RJ115,RJ115,-22.950000,-43.230000,
RJ13,RJ - Campo dos Afonsos,-22.878000,-43.380000,
RJ15,Itb - Porto das Caixas,-22.701000,-42.876000,
RJ16,Itb - Sambaetiba,-22.668000,-42.786000,
RJ21,DC - Pilar,-22.707000,-43.314000,
RJ22,DC - Jardim Primavera,-22.674000,-43.284000,
RJ222,RJ - Manguinhos,-22.884000,-43.242000,
RJ80,NI - Jardim Guandu,-22.827000,-43.608000,
RJ85,Pref - Centro,-22.908000,-43.176000,
RJ86,Pref - Copacabana,-22.965000,-43.182000,
RJ88,Pref - Tijuca,-22.926000,-43.230000,
RJ90,Pref - Bangu,-22.887000,-43.470000,
RJ91,Pref - Campo Grande,-22.887000,-43.554000,
RJ93,RJ93,-22.902000,-43.104000,
RJ95,RJ - Centro,-22.908000,-43.194000,
RJ96,RJ96,-22.899000,-43.200000,
