# Site ID, Site Name, Latitude, Longitude, Altitude (m)
A002,A002,-16.644000,-49.218000,770.0
A003,A003,-17.718000,-49.098000,771.4
A009,A009,-10.191000,-48.300000,291.9
A010,A010,-12.615000,-47.874000,280.0
A011,A011,-18.966000,-50.616000,488.5
A012,A012,-16.272000,-47.964000,959.5
A013,A013,-15.906000,-52.242000,347.0
A014,A014,-15.939000,-50.142000,512.0
A015,A015,-14.979000,-49.542000,522.0
A016,A016,-17.925000,-51.720000,582.0
A017,A017,-14.088000,-46.368000,834.0
A018,A018,-12.018000,-48.552000,242.0
A019,A019,-11.745000,-49.050000,287.0
A020,A020,-8.970000,-48.192000,189.0
A021,A021,-7.104000,-48.204000,226.0
A022,A022,-15.219000,-48.990000,667.0
A023,A023,-16.968000,-51.816000,737.0
A024,A024,-14.133000,-47.526000,1260.0
A025,A025,-17.787000,-50.982000,782.0
A026,A026,-17.454000,-52.602000,862.0
A027,A027,-16.947000,-50.424000,678.0
A028,A028,-16.422000,-51.150000,625.0
A032,A032,-13.248000,-46.890000,1253.0
A033,A033,-17.304000,-48.282000,752.0
A034,A034,-18.159000,-47.928000,890.0
A035,A035,-18.411000,-49.194000,488.0
A036,A036,-16.788000,-47.610000,1202.0
A037,A037,-16.677000,-48.618000,949.0
A038,A038,-11.595000,-46.848000,732.0
A039,A039,-11.988000,-49.608000,220.0
A040,A040,-10.434000,-45.924000,791.0
A041,A041,-9.576000,-49.722000,203.0
A043,A043,-8.154000,-46.638000,425.0
A044,A044,-5.643000,-48.114000,117.0
A048,A048,-7.125000,-48.780000,171.0
A049,A049,-8.094000,-48.480000,200.0
A050,A050,-9.792000,-47.130000,291.0
A051,A051,-10.476000,-49.632000,161.0
A052,A052,-11.046000,-48.186000,306.0
A053,A053,-11.283000,-47.214000,512.0
A054,A054,-12.591000,-49.530000,231.0
A055,A055,-10.827000,-49.848000,178.0
A101,A101,-3.105000,-60.018000,48.8
A102,A102,-9.357000,-69.930000,187.0
A104,A104,-9.957000,-68.166000,220.0
A108,A108,-7.611000,-72.684000,220.0
A109,A109,-6.651000,-69.864000,143.0
A110,A110,-8.778000,-67.332000,111.0
A111,A111,-7.434000,-64.788000,64.0
A112,A112,-7.923000,-63.120000,72.0
A113,A113,-7.215000,-59.886000,160.0
A117,A117,-4.098000,-63.144000,53.0
A119,A119,-3.294000,-60.630000,55.0
A120,A120,-3.582000,-59.130000,19.9
A121,A121,-3.132000,-58.482000,74.0
