# Site ID, Site Name, Latitude, Longitude, Altitude (m)
A001,A001,-15.789000,-47.928000,1159.5
A045,A045,-15.597000,-47.628000,1200.0
A046,A046,-15.936000,-48.138000,990.0
A201,BELEM,-1.410000,-48.438000,21.2
A301,RECIFE,-8.058000,-34.962000,11.3
A305,FORTALEZA,-3.831000,-38.538000,29.6
A401,SALVADOR,-13.017000,-38.514000,47.6
A456,SALVADOR (RADIO FAROL),-12.807000,-38.496000,31.0
A521,BELO HORIZONTE - PAMPULHA,-19.884000,-43.968000,854.0
A555,IBIRITE (ROLA MOCA),-20.031000,-44.010000,1198.8
A572,BELO HORIZONTE - SANTO AGOSTINHO,-19.935000,-43.950000,915.5
A602,RIO DE JANEIRO-MARAMBAIA,-23.049000,-43.602000,12.0
A603,DUQUE DE CAXIAS - XEREM,-22.590000,-43.284000,22.0
A610,PICO DO COUTO,-22.482000,-43.290000,1777.0
A621,RIO DE JANEIRO - VILA MILITAR,-22.860000,-43.410000,30.4
A627,NITEROI,-22.866000,-43.104000,6.0
A636,RIO DE JANEIRO - JACAREPAGUA,-22.941000,-43.404000,20.0
A652,RIO DE JANEIRO - FORTE DE COPACABANA,-22.989000,-43.188000,25.6
A701,SAO PAULO - MIRANTE,-23.496000,-46.620000,785.6
A744,BRAGANCA PAULISTA,-23.952000,-46.530000,891.0
A755,BARUERI,-23.523000,-46.872000,776.5
A771,SAO PAULO - INTERLAGOS,-23.724000,-46.680000,771.0
A801,PORTO ALEGRE - JARDIM BOTANICO,-30.054000,-51.174000,41.2
A807,CURITIBA,-25.449000,-49.230000,922.9
A873,MORRETES,-25.512000,-48.810000,50.3
A884,CAMPO BOM,-29.673000,-51.066000,23.4
B806,COLOMBO,-25.323000,-49.158000,950.0
B807,PORTO ALEGRE- BELEM NOVO,-30.186000,-51.180000,3.3
B809,SAPUCAIA DO SUL,-29.814000,-51.156000,23.0
B810,PARQUE ELDORADO,-30.096000,-51.672000,50.0
B812,CHARQUEADAS,-29.967000,-51.624000,23.0
B814,MONTENEGRO,-29.760000,-51.438000,15.0
B825,PORTO ALEGRE - BELEM NOVO,-30.186000,-51.180000,3.3
F501,BELO HORIZONTE - CERCADINHO,-19.980000,-43.956000,1199.5
