# Site ID, Site Name, Latitude, Longitude, Altitude (m)
SP063,Santana,-23.505000,-46.626000,
SP064,Santo Amaro,-23.655000,-46.710000,
SP065,Mau,,,
SP066,SP066,,,
SP067,Sorocaba - Centro,-23.502000,-47.478000,
SP072,SP072,,,
SP073,Congonhas,-23.616000,-46.662000,
SP083,Ibirapuera,-23.592000,-46.662000,
SP084,Lapa,-23.508000,-46.704000,
SP085,Mooca,-23.550000,-46.602000,
SP086,SP086,,,
SP087,SP087,,,
SP088,SP088,,,
SP089,Campinas - Centro,-22.902000,-47.058000,
SP090,Cambuci,-23.568000,-46.614000,
SP091,SP091,,,
SP092,Diadema,-23.685000,-46.614000,
SP094,SÆo Bernardo do Campo - Centro,-23.547000,-46.644000,
SP095,SP095,,,
SP096,SP096,,,
SP097,Itaquera,-23.580000,-46.464000,
SP098,SP098,,,
SP099,Pinheiros,-23.562000,-46.704000,
SP100,SP100,,,
SP101,SP101,,,
SP103,SP103,,,
SP105,SP105,,,
SP106,Araraquara,-21.783000,-48.186000,
SP107,SP107,,,
SP108,Bauru,-22.326000,-49.092000,
SP109,SP109,,,
SP110,SP110,,,
SP111,SP111,,,
SP112,SP112,,,
SP113,Piracicaba,-22.701000,-47.652000,
SP114,Presidente Prudente,-22.119000,-51.408000,
SP116,SP116,,,
SP117,SP117,,,
SP118,Guarulhos - Pao Municipal,-23.463000,-46.494000,
SP119,SP119,,,
SP120,Osasco,-23.526000,-46.794000,
SP236,SP236,,,
SP248,Catanduva,-21.141000,-48.984000,
SP254,SP254,,,
SP256,SP256,,,
SP258,Santos - Ponta da Praia,-23.964000,-46.320000,
SP259,SP259,,,
SP262,Interlagos,-23.679000,-46.674000,
SP263,SP263,,,
SP264,SP264,,,
SP266,Itaim Paulista,-23.502000,-46.422000,
SP268,Pirassununga,,,
SP269,SP269,,,
SP270,SP270,,,
SP272,SP272,,,
SP273,Santa Gertrudes,-22.461000,-47.538000,
SP275,SP275,,,
SP276,Campinas - Taquaral,-22.875000,-47.058000,
SP277,SP277,,,
SP279,Guarulhos - Pimentas,-23.439000,-46.410000,
SP280,SP280,,,
SP281,Limeira,-22.563000,-47.412000,
SP284,Pico do Jaragu,,,
SP287,SP287,,,
SP288,SP288,,,
SP289,Guaratinguet,,,
SP290,Americana,-22.725000,-47.346000,
SP291,SP291,,,
SP292,Rio Claro,,,
SP293,Perus,-23.412000,-46.758000,
SP294,SP294,,,
