# Site ID, Site Name, Latitude, Longitude, Altitude (m)
SP065,Mau,,,
SP066,SP066,,,
SP067,Sorocaba - Centro,-23.502000,-47.478000,
SP072,SP072,,,
SP086,SP086,,,
SP087,SP087,,,
SP088,SP088,,,
SP089,Campinas - Centro,-22.902000,-47.058000,
SP091,SP091,,,
SP095,SP095,,,
SP096,SP096,,,
SP098,SP098,,,
SP100,SP100,,,
SP101,SP101,,,
SP103,SP103,,,
SP105,SP105,,,
SP106,Araraquara,-21.783000,-48.186000,
SP107,SP107,,,
SP108,Bauru,-22.326000,-49.092000,
SP109,SP109,,,
SP110,SP110,,,
SP111,SP111,,,
SP112,SP112,,,
SP113,Piracicaba,-22.701000,-47.652000,
SP114,Presidente Prudente,-22.119000,-51.408000,
SP116,SP116,,,
SP117,SP117,,,
SP119,SP119,,,
SP236,SP236,,,
SP248,Catanduva,-21.141000,-48.984000,
SP254,SP254,,,
SP256,SP256,,,
SP258,Santos - Ponta da Praia,-23.964000,-46.320000,
SP259,SP259,,,
SP263,SP263,,,
SP264,SP264,,,
SP268,Pirassununga,,,
SP269,SP269,,,
SP270,SP270,,,
SP272,SP272,,,
SP273,Santa Gertrudes,-22.461000,-47.538000,
SP275,SP275,,,
SP276,Campinas - Taquaral,-22.875000,-47.058000,
SP277,SP277,,,
SP280,SP280,,,
SP281,Limeira,-22.563000,-47.412000,
SP284,Pico do Jaragu,,,
SP287,SP287,,,
SP288,SP288,,,
SP289,Guaratinguet,,,
SP290,Americana,-22.725000,-47.346000,
SP291,SP291,,,
SP292,Rio Claro,,,
SP294,SP294,,,
