# Site ID, Site Name, Latitude, Longitude, Altitude (m)
SP063,Santana,-23.505000,-46.626000,
SP064,Santo Amaro,-23.655000,-46.710000,
SP073,Congonhas,-23.616000,-46.662000,
SP083,Ibirapuera,-23.592000,-46.662000,
SP084,Lapa,-23.508000,-46.704000,
SP085,Mooca,-23.550000,-46.602000,
SP090,Cambuci,-23.568000,-46.614000,
SP092,Diadema,-23.685000,-46.614000,
SP094,SÆo Bernardo do Campo - Centro,-23.547000,-46.644000,
SP097,Itaquera,-23.580000,-46.464000,
SP099,Pinheiros,-23.562000,-46.704000,
SP118,Guarulhos - Pao Municipal,-23.463000,-46.494000,
SP120,Osasco,-23.526000,-46.794000,
SP262,Interlagos,-23.679000,-46.674000,
SP266,Itaim Paulista,-23.502000,-46.422000,
SP279,Guarulhos - Pimentas,-23.439000,-46.410000,
SP293,Perus,-23.412000,-46.758000,
