# Site ID, Site Name, Latitude, Longitude, Altitude (m)
4101241,4101241,40.810833,29.436552,
4101322,4101322,40.845787,29.425142,
AD0942A,Escaldes-Engordany,42.509693,1.539138,1080.0
AD0944A,Engolasters,42.516945,1.565250,1637.0
AD0945A,SudRadio-Envalira,42.534882,1.716986,2515.0
AL0203A,Korca,40.625931,20.780180,848.0
AL0204A,AL0204A,40.403091,19.486200,
AL0205A,Durres,41.319901,19.449200,1.0
AL0206A,Shkoder,42.313900,19.523420,13.0
AL0207A,Elbasan,41.110981,20.081699,150.0
AT0ENK1,Enzenkirchen im Sauwald,48.391647,13.671101,525.0
AT0ILL1,Illmitz am Neusiedler See,47.770279,16.766390,117.0
AT0KLH1,Klöch bei Bad Radkersburg,46.767502,15.956111,417.0
AT0PIL1,Pillersdorf bei Retz,48.721100,15.942222,315.0
AT0SON1,Sonnblick,47.054165,12.957778,3106.0
AT0VOR1,Vorhegg bei Kötschach-Mauthen,46.679707,12.971942,1036.0
AT0ZOE2,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,47.838612,14.441389,892.0
AT10001,Eisenstadt Laschoberstraße,47.840015,16.526665,165.0
AT10002,AT10002,47.304142,16.193031,
AT10003,Kittsee,48.109165,17.070278,136.0
AT10035,AT10035,46.942036,16.148272,
AT11007,AT11007,47.465279,16.647223,
AT2F103,AT2F103,46.653057,14.266111,
AT2F202,Klein St. Paul - Pemberg,46.841923,14.528902,810.0
AT2KA21,AT2KA21,46.620014,14.316990,
AT2KA41,Klagenfurt Kreuzbergl,46.629700,14.289142,550.0
AT2KA61,Klagenfurt A2 Nordumfahrung ,46.652500,14.266111,455.0
AT2KA71,Klagenfurt Sterneckstraße,46.626617,14.299145,445.0
AT2M121,Arnoldstein Gailitz Waldsiedlungsstraße,46.558899,13.704967,574.0
AT2M226,Ebenthal Zell,46.610279,14.398334,420.0
AT2SP10,AT2SP10,46.935547,13.195533,
AT2SP18,AT2SP18,46.801388,13.493889,
AT2VI12,AT2VI12,46.611130,13.841152,
AT2VL52,Gerlitzen Steinturm,46.683899,13.901968,1897.0
AT2WO15,Wolfsberg Hauptschule,46.834999,14.843611,460.0
AT2WO25,AT2WO25,46.763893,14.822202,
AT2WO35,St. Georgen im Lavanttal - Herzogberg,46.708332,14.891667,540.0
AT30065,"Purkersdorf, Tullnerbachstraße",48.195835,16.143612,260.0
AT30101,AT30101,48.120277,14.878333,
AT30103,Kollmitzberg,48.179722,14.866667,465.0
AT30104,AT30104,48.192230,14.519540,
AT30201,"Bad Vöslau, Gainfarn",47.959167,16.205833,265.0
AT30202,Forsthof am Schöpfl,48.106133,15.919404,581.0
AT30301,Hainburg Krankenhaus,48.143612,16.959444,180.0
AT30302,Stixneusiedl,48.050278,16.675278,235.0
AT30401,Gänserndorf Baumschulweg,48.334721,16.729445,161.0
AT30403,Wolkersdorf,48.392242,16.522264,260.0
AT30407,AT30407,48.230835,16.636389,
AT30502,Heidenreichstein Thaures,48.878613,15.046667,570.0
AT30599,Klosterneuburg B14,48.308224,16.327944,170.0
AT30601,Klosterneuburg Meynertgasse,48.301373,16.304691,260.0
AT30603,AT30603,48.086094,16.433331,
AT30701,Ziersdorf,48.528896,15.942760,230.0
AT30801,AT30801,48.724209,15.498420,
AT30902,"Stockerau, Rudolf Diesel-Straße",48.385277,16.182222,175.0
AT31102,"Annaberg, Joachimsberg",47.855267,15.321935,880.0
AT31204,Pöchlarn,48.213333,15.197222,216.0
AT31301,AT31301,48.578609,16.580555,
AT31401,Mödling Bachgasse,48.086113,16.302221,215.0
AT31402,AT31402,48.125000,16.331388,
AT31406,Biedermannsdorf Mühlengasse,48.083336,16.337212,188.0
AT31413,Wiener Neudorf Hauptstraße,48.083889,16.330278,210.0
AT31502,AT31502,47.670006,15.854726,
AT31701,Dunkelsteinerwald - Unterbergern,48.370277,15.545834,320.0
AT31703,AT31703,48.353336,15.746928,
AT31901,Tulln Leopoldgasse,48.331364,16.059452,178.0
AT31902,AT31902,48.331112,15.903611,
AT31904,AT31904,48.276390,15.935000,
AT32101,Wiesmath,47.608334,16.293056,738.0
AT32301,St. Pölten Eybnerstraße,48.211422,15.631674,270.0
AT32302,St. Pölten Europaplatz,48.209984,15.611103,271.0
AT32401,Wiener Neustadt,47.814140,16.255014,265.0
AT32501,AT32501,48.408611,15.619166,
AT32604,AT32604,48.044971,14.772256,
AT32701,"Schwechat Sportplatz, Mühlgasse",48.145000,16.474445,155.0
AT32702,AT32702,48.145000,16.511110,
AT4S108,Grünbach bei Freistadt,48.531097,14.574717,918.0
AT4S125,AT4S125,47.716110,13.632222,
AT4S156,"Braunau Zentrum, Kolpingplatz",48.257778,13.039722,350.0
AT4S173,"Steyregg Au, Freizeitpark",48.278889,14.365833,250.0
AT4S184,"Linz Stadtpark, Noßbergerstraße",48.306095,14.297496,260.0
AT4S217,Enns Kristein - A1 Westautobahn,48.209446,14.436914,255.0
AT4S235,Feuerkogel (Höllengebirge),47.815853,13.720737,1602.0
AT4S245,AT4S245,47.974140,13.615047,
AT4S252,AT4S252,48.036331,14.415724,
AT4S254,AT4S254,47.557083,13.647278,
AT4S404,AT4S404,48.225277,14.238889,
AT4S406,Wels Linzerstraße,48.165005,14.035547,316.0
AT4S407,AT4S407,48.000832,13.667500,
AT4S409,Steyr Münichholz,48.050858,14.440598,305.0
AT4S415,Linz 24er Turm A7,48.323360,14.297766,255.0
AT4S416,Linz Neue Welt,48.274445,14.314722,265.0
AT4S418,AT4S418,47.971943,13.600833,
AT4S431,Linz Römerberg B139,48.302776,14.282778,262.0
AT4S432,Lenzing Hauptstraße,47.974319,13.609270,485.0
AT51000,AT51000,47.797489,13.053599,
AT51066,AT51066,47.805557,13.043333,
AT51200,AT51200,47.818062,13.029973,
AT52000,AT52000,47.683056,13.100000,
AT52055,St. Koloman Kleinhorn,47.650276,13.232778,1005.0
AT52100,Hallein Winterstall,47.666920,13.105881,650.0
AT52300,Hallein A10 Tauernautobahn,47.691113,13.108037,445.0
AT53055,Haunsberg,47.936668,13.015833,730.0
AT54057,"St. Johann im Pongau, Bezirkshauptmannschaft",47.351387,13.205556,620.0
AT55018,AT55018,47.154140,13.505002,
AT55019,Zederhaus Lamm,47.133781,13.543180,1140.0
AT55032,AT55032,47.125847,13.806927,
AT56072,Zell am See Freizeitzentrum/Eishalle,47.326641,12.795124,775.0
AT60018,Graz Schloßberg,47.075832,15.437500,450.0
AT60036,Graz Lustbühel,47.066956,15.493603,473.0
AT60106,Köflach,47.061695,15.079210,445.0
AT60107,AT60107,47.044987,15.149998,
AT60114,AT60114,47.192490,14.753302,
AT60118,"Judenburg, Sportplatz",47.178333,14.676666,715.0
AT60119,AT60119,47.210251,14.824448,
AT60135,Straßengel Kirche,47.113056,15.339167,454.0
AT60136,Judendorf Süd,47.120277,15.351111,375.0
AT60137,AT60137,47.059170,15.016667,
AT60138,Graz Nord Gösting,47.095524,15.414192,355.0
AT60139,AT60139,47.069710,15.404131,
AT60141,AT60141,47.359425,15.098884,
AT60142,Leoben Donawitz Kindergarten,47.375557,15.074500,555.0
AT60143,AT60143,47.382500,15.089167,
AT60145,AT60145,47.445580,15.290315,
AT60150,AT60150,47.404984,15.360832,
AT60151,AT60151,46.873066,15.495040,
AT60156,AT60156,47.348045,15.881945,
AT60157,AT60157,47.630562,13.796667,
AT60164,AT60164,47.055611,15.416603,
AT60170,Graz Süd Tiergartenweg,47.041668,15.433056,345.0
AT60171,Graz Ost Petersgasse,47.059429,15.466115,366.0
AT60172,Graz Mitte Gries,47.069160,15.431709,366.0
AT60177,AT60177,47.565437,14.244676,
AT60178,Weiz Bahnhofstraße,47.215702,15.628392,459.0
AT60179,AT60179,47.282860,15.971852,
AT60180,AT60180,47.409420,15.253304,
AT60183,AT60183,47.206390,15.345834,
AT60185,Klöch bei Bad Radkersburg,46.767502,15.956111,417.0
AT60189,AT60189,47.358330,13.633371,
AT60190,Arnfels - Remschnigg,46.651966,15.367749,785.0
AT60191,Gratwein,47.135555,15.323611,382.0
AT60194,Mürzzuschlag Roseggerpark,47.604721,15.673056,679.0
AT60195,AT60195,46.813889,15.212778,
AT60196,Grebenzen bei St. Lambrecht,47.040272,14.330015,1860.0
AT60197,Leibnitz Lastenstraße,46.778332,15.540556,272.0
AT60198,Fürstenfeld Ungartorweg,47.047222,16.078888,276.0
AT72106,AT72106,47.271290,11.416945,
AT72110,Innsbruck Fallmerayerstraße,47.262619,11.392361,577.0
AT72113,Innsbruck Sadrach,47.271118,11.366652,678.0
AT72123,AT72123,47.305622,11.375998,
AT72223,AT72223,47.239552,11.390653,
AT72227,Hall in Tirol Sportplatz,47.278069,11.512497,558.0
AT72315,Imst Inntalautobahn A12,47.216961,10.735586,719.0
AT72519,Brixlegg Innweg,47.428555,11.871802,519.0
AT72530,Wörgl Josef Stelzhamer-Straße,47.488560,12.066633,508.0
AT72538,Kramsach Angerberg,47.458717,11.909950,602.0
AT72547,Kufstein Festung,47.580528,12.169248,526.0
AT72550,Kundl A12 Inntal-Autobahn,47.468918,11.958036,507.0
AT72552,AT72552,47.581810,12.172411,
AT72619,AT72619,46.968082,10.185693,
AT72705,Höfen Lärchbichl,47.469997,10.682226,877.0
AT72710,Heiterwang Ort L355,47.447598,10.744117,985.0
AT72821,"Vomp A12 Inntalautobahn, Raststätte",47.348774,11.692028,557.0
AT72822,AT72822,47.346951,11.691663,
AT72910,AT72910,46.828033,12.765599,
AT72912,Lienz Tiefbrunnen ,46.819183,12.765869,681.0
AT80503,AT80503,47.529171,9.926653,
AT80706,Lustenau Wiesenrain,47.410820,9.652757,410.0
AT80709,AT80709,47.458885,9.640270,
AT80710,Lustenau Zollamt,47.432518,9.649433,410.0
AT80807,AT80807,47.410030,9.743441,
AT81919,Feldkirch Bärenkreuzung,47.238861,9.596703,460.0
AT82708,Bludenz Herrengasse,47.156483,9.822944,563.0
AT82801,Wald am Arlberg S16,47.128864,10.034324,949.0
AT900KE,Kaiser-Ebersdorf,48.156918,16.475552,158.0
AT900ZA,Hohe Warte,48.248993,16.357079,210.0
AT90A23,AT90A23,48.203060,16.434549,
AT90AKC,AT90AKC,48.219517,16.345552,
AT90FLO,AT90FLO,48.260841,16.396950,
AT90LAA,AT90LAA,48.161411,16.392817,
AT90LOB,AT90LOB,48.162071,16.525614,
AT90MBA,AT90MBA,48.188374,16.300020,
AT90TAB,Taborstraße,48.216740,16.380919,162.0
AT9BELG,AT9BELG,48.174355,16.361418,
AT9GAUD,AT9GAUD,48.187145,16.339331,
AT9JAEG,AT9JAEG,48.270157,16.297264,
AT9KEND,AT9KEND,48.205002,16.309750,
AT9LIES,Liesing - Carlberger-Gasse Gewerbegebiet,48.138035,16.296698,211.0
AT9SCHA,AT9SCHA,48.235371,16.301563,
AT9STAD,Stadlau,48.226360,16.458345,159.0
AT9STEF,Stephansplatz,48.208149,16.373253,172.0
BA0001G,IVAN SEDLO,43.778332,18.020281,970.0
BA0002A,ZENICA - BRIST,44.202221,17.900499,341.0
BA0029A,SARAJEVO-BJ-AUTOMAT,43.867496,18.423061,630.0
BA0031A,SKVER - MS1,44.540554,18.673338,220.0
BA0032A,TUZLA1 - MS2,44.534721,18.661678,210.0
BA0037A,ZENICA - CENTAR,44.199001,17.912701,318.0
BA0038A,ZENICA - TETOVO,44.225399,17.891100,336.0
BA0039A,ZENICA - RADAKOVO,44.195202,17.931999,332.0
BA0040A,JAJCE - HARMANI,44.342999,17.267900,421.0
BA0041A,GORAZDE - RASADNIK,43.661598,18.977501,361.0
BA0042A,SARAJEVO - OTOKA,43.848400,18.363701,512.0
BA0043A,SARAJEVO - ILIDZA,43.830101,18.311100,498.0
BA0044A,TUZLA - BUKINJE,44.523701,18.600201,215.0
BA0045A,LUKAVAC - CENTAR,44.533199,18.534700,187.0
BA0046A,ZIVINICE - CENTAR,44.454102,18.648500,215.0
BA0047A,BROD-RAFINERIJA,45.070000,17.590000,88.0
BA0048A,PRIJEDOR-AUTOMATSKA STANICA,44.970001,16.709999,133.0
BA0049A,SARAJEVO - VIJECNICA,43.859001,18.434799,553.0
BA0050A,SARAJEVO - ILIJAS,43.959999,18.269300,459.0
BA0051A,ZENICA - VRANDUK,44.290001,17.910000,361.0
BA0052A,KAKANJ - DOBOJ,44.110001,18.120001,381.0
BELAL01,BELAL01,51.236195,4.385224,
BELAL02,40AL02 - BEVEREN,51.304520,4.234833,4.0
BELAL03,40AL03 - BEVEREN,51.253963,4.201460,4.0
BELAL05,40AL05 - BEVEREN,51.263119,4.278890,8.0
BELGK06,BELGK06,50.927891,5.470620,
BELHB23,40HB23 - HOBOKEN,51.170300,4.341005,13.0
BELLD01,BELLD01,51.109978,5.004864,
BELLD02,40LD02 - LAAKDAL,51.120384,5.021546,22.0
BELLM05,BELLM05,51.215149,5.258111,
BELMN01,40MN01 - MENEN,50.793468,3.109642,10.0
BELOB01,BELOB01,50.917229,3.307386,
BELOB02,BELOB02,50.914951,3.376212,
BELR833,BELR833,51.327660,4.362261,
BELRB01,BELRB01,51.089397,4.331232,
BELRL01,40RL01 - ROESELARE,50.953178,3.121156,20.0
BELSA04,40SA04 - Hoevenen,51.313931,4.403868,6.0
BELSZ02,BELSZ02,50.913021,4.512184,
BELWZ02,40WZ02 - MOL,51.192799,5.221534,40.0
BETB001,BETB001,50.845779,4.368113,
BETB004,BETB004,50.852051,4.347777,
