# Site ID, Site Name, Latitude, Longitude, Altitude (m)
4101241,4101241,40.810833,29.436552,
4101322,4101322,40.845787,29.425142,
AT0ILL1,Illmitz am Neusiedler See,47.770279,16.766390,117.0
AT10001,Eisenstadt Laschoberstraße,47.840015,16.526665,165.0
AT10003,Kittsee,48.109165,17.070278,136.0
AT30065,"Purkersdorf, Tullnerbachstraße",48.195835,16.143612,260.0
AT30201,"Bad Vöslau, Gainfarn",47.959167,16.205833,265.0
AT30202,Forsthof am Schöpfl,48.106133,15.919404,581.0
AT30301,Hainburg Krankenhaus,48.143612,16.959444,180.0
AT30302,Stixneusiedl,48.050278,16.675278,235.0
AT30401,Gänserndorf Baumschulweg,48.334721,16.729445,161.0
AT30403,Wolkersdorf,48.392242,16.522264,260.0
AT30407,AT30407,48.230835,16.636389,
AT30599,Klosterneuburg B14,48.308224,16.327944,170.0
AT30601,Klosterneuburg Meynertgasse,48.301373,16.304691,260.0
AT30603,AT30603,48.086094,16.433331,
AT30701,Ziersdorf,48.528896,15.942760,230.0
AT30902,"Stockerau, Rudolf Diesel-Straße",48.385277,16.182222,175.0
AT31301,AT31301,48.578609,16.580555,
AT31401,Mödling Bachgasse,48.086113,16.302221,215.0
AT31402,AT31402,48.125000,16.331388,
AT31406,Biedermannsdorf Mühlengasse,48.083336,16.337212,188.0
AT31413,Wiener Neudorf Hauptstraße,48.083889,16.330278,210.0
AT31703,AT31703,48.353336,15.746928,
AT31901,Tulln Leopoldgasse,48.331364,16.059452,178.0
AT31902,AT31902,48.331112,15.903611,
AT31904,AT31904,48.276390,15.935000,
AT32401,Wiener Neustadt,47.814140,16.255014,265.0
AT32701,"Schwechat Sportplatz, Mühlgasse",48.145000,16.474445,155.0
AT32702,AT32702,48.145000,16.511110,
AT900KE,Kaiser-Ebersdorf,48.156918,16.475552,158.0
AT900ZA,Hohe Warte,48.248993,16.357079,210.0
AT90A23,AT90A23,48.203060,16.434549,
AT90AKC,AT90AKC,48.219517,16.345552,
AT90FLO,AT90FLO,48.260841,16.396950,
AT90LAA,AT90LAA,48.161411,16.392817,
AT90LOB,AT90LOB,48.162071,16.525614,
AT90MBA,AT90MBA,48.188374,16.300020,
AT90TAB,Taborstraße,48.216740,16.380919,162.0
AT9BELG,AT9BELG,48.174355,16.361418,
AT9GAUD,AT9GAUD,48.187145,16.339331,
AT9JAEG,AT9JAEG,48.270157,16.297264,
AT9KEND,AT9KEND,48.205002,16.309750,
AT9LIES,Liesing - Carlberger-Gasse Gewerbegebiet,48.138035,16.296698,211.0
AT9SCHA,AT9SCHA,48.235371,16.301563,
AT9STAD,Stadlau,48.226360,16.458345,159.0
AT9STEF,Stephansplatz,48.208149,16.373253,172.0
BELAL01,BELAL01,51.236195,4.385224,
BELAL03,40AL03 - BEVEREN,51.253963,4.201460,4.0
BELAL05,40AL05 - BEVEREN,51.263119,4.278890,8.0
BELHB23,40HB23 - HOBOKEN,51.170300,4.341005,13.0
BELRB01,BELRB01,51.089397,4.331232,
BELSZ02,BELSZ02,50.913021,4.512184,
BETB001,BETB001,50.845779,4.368113,
BETB004,BETB004,50.852051,4.347777,
BETB006,BETB006,50.838638,4.374388,
BETB011,BETB011,50.857807,4.288706,
BETE007,BETE007,50.795300,4.252628,
BETE008,BETE008,50.926094,4.395920,
BETE009,BETE009,50.954918,4.435417,
BETE704,47E704 - WACHTEBEKE,51.176102,3.869928,
BETM802,BETM802,51.260990,4.424399,
BETMEU1,BETMEU1,50.895000,4.395717,
BETN035,BETN035,50.977543,4.837618,
BETN040,42N040 - ST.P.LEEUWG,50.768139,4.225194,20.0
BETN043,41N043 - HAREN,50.883694,4.382977,17.0
BETN051,BETN051,50.798916,3.930293,
BETN063,BETN063,50.655437,4.668288,
BETR001,41R001 - MOLENBEEK,50.849712,4.334104,20.0
BETR002,BETR002,50.825127,4.384562,
BETR010,BETR010,50.865108,4.428427,
BETR012,41R012 - UCCLE,50.796650,4.358624,101.0
BETR020,BETR020,50.941387,4.436721,
BETR501,BETR501,50.409313,4.452172,
BETR502,BETR502,50.428997,4.458681,
BETR510,45R510 - CHATELINEAU,50.416435,4.521130,118.0
BETR512,45R512 - MARCHIENNE,50.407810,4.395897,107.0
BETR701,BETR701,51.058331,3.729298,
BETR702,44R702 - Gent (G.Carlierlaan),51.040688,3.734972,8.0
BETR710,BETR710,51.061279,3.775262,
BETR801,BETR801,51.209663,4.431821,
BETR802,42R802 - BORGERHOUT,51.209518,4.431792,6.0
BETR803,42R803 - ANTWERPEN,51.228630,4.428454,
BETR805,42R805 - ANTWERPEN,51.208229,4.421559,6.0
BETR811,BETR811,51.252102,4.491362,
BETR817,42R817 - ANTWERPEN,51.177132,4.417949,6.0
BETR823,BETR823,51.213249,4.239931,
BETR834,42R834 - Boom,51.091999,4.380104,
BETR892,42R892 - KALLO,51.263039,4.278890,9.0
BETR893,BETR893,51.281380,4.385771,
BETR897,42R897 - ANTWERPEN,51.250107,4.342104,5.0
BETWOL1,BETWOL1,50.856712,4.425761,
BG0040A,AMS Nadezhda-Sofia,42.732292,23.310972,534.0
BG0050A,AMS Hipodruma-Sofia,42.680557,23.296785,581.0
BG0052A,AMS Druzhba -Sofia,42.666508,23.400164,548.0
BG0070A,AMS Kopitoto,42.637192,23.243864,1321.0
BG0073A,AMS ExEA/Pavlovo-Sofia,42.669796,23.268402,615.0
BG0079A,AMS Mladost-Sofia,42.655487,23.383270,
BG0080A,AMS Center-Pernik,42.610336,23.032190,
CZ0ABRE,Praha 6-Brevnov,50.084385,14.380116,300.0
CZ0ACHO,Praha 4-Chodov,50.030170,14.517450,300.0
CZ0AKAL,Praha 8-Karlin,50.094227,14.442035,203.0
CZ0AKOB,Praha 8-Kobylisy,50.122166,14.467547,269.0
CZ0ALEG,Praha 2-Legerova,50.072388,14.430673,219.0
CZ0ALIB,Praha 4-Libus,50.007298,14.445898,301.0
CZ0APRU,Praha 10-Prumyslova,50.062286,14.537796,267.0
CZ0AREP,Praha 1-n. Republiky,50.088058,14.429190,190.0
CZ0ARIE,CZ0ARIE,50.081486,14.442664,
CZ0ASMI,CZ0ASMI,50.073128,14.398108,
CZ0ASTO,Praha 5-Stodulky,50.046131,14.331413,309.0
CZ0ASUC,CZ0ASUC,50.126545,14.384633,
CZ0AVRS,Praha 10-Vrsovice,50.066429,14.446152,201.0
CZ0AVYN,Praha 9-Vysocany,50.111080,14.503096,219.0
CZ0SBER,Beroun,49.957912,14.058275,216.0
CZ0SKLM,CZ0SKLM,50.143875,14.101753,
CZ0SKLS,Kladno-Svermov,50.167412,14.106048,219.0
CZ0SONR,Ondrejov,49.913506,14.782586,514.0
CZ0STCS,Tobolka-Certovy schody,49.918503,14.094489,420.0
CZ0UDOK,Doksany,50.458855,14.170162,158.0
DEBB021,Potsdam-Zentrum,52.401352,13.059945,31.0
DEBB053,Hasenholz (Buckow),52.563835,14.015252,88.0
DEBB054,"Potsdam, Zeppelinstr.",52.393932,13.037474,31.0
DEBB060,DEBB060,52.832466,13.822211,
DEBB067,DEBB067,52.608608,12.885194,
DEBB068,"Bernau, Lohmühlenstr.",52.677650,13.582269,71.0
DEBB073,"Potsdam, Großbeerenstr.",52.388870,13.094618,32.0
DEBB075,"Potsdam, Groß Glienicke",52.484169,13.123698,39.0
DEBB086,Blankenfelde-Mahlow,52.349705,13.424304,43.0
DEBB099,DEBB099,52.481880,13.848250,
DEBB110,Dallgow-Döberitz,52.539505,13.048779,39.0
DEBE010,DEBE010,52.543041,13.349326,
DEBE018,DEBE018,52.485813,13.348775,
DEBE027,Berlin Marienfelde,52.398407,13.368103,45.0
DEBE032,Berlin Grunewald (3.5 m),52.473190,13.225144,50.0
DEBE034,DEBE034,52.489452,13.430844,
DEBE051,Berlin Buch,52.644169,13.483079,60.0
DEBE056,Berlin Friedrichshagen,52.447697,13.647050,35.0
DEBE061,DEBE061,52.463612,13.318250,
DEBE062,Berlin Frohnau (3.5 m),52.653271,13.296081,50.0
DEBE063,DEBE063,52.467533,13.441654,
DEBE064,DEBE064,52.481709,13.433967,
DEBE065,DEBE065,52.514072,13.469931,
DEBE066,Berlin Karlshorst,52.485294,13.529504,35.0
DEBE067,DEBE067,52.506599,13.332972,
DEBE068,Berlin Mitte,52.513607,13.418833,35.0
DEBE069,Berlin Mariendorfer Damm,52.438114,13.387720,50.0
DEBY004,Kleinwallstadt/Hofstetter Straße,49.869423,9.171544,124.0
DEBY005,Aschaffenburg/Bussardweg,49.991516,9.117973,134.0
DEBY037,DEBY037,48.137253,11.564924,
DEBY039,DEBY039,48.154533,11.554669,
DEBY089,München/Johanneskirchen,48.173195,11.648036,513.0
DEBY109,DEBY109,47.968754,11.220172,
DEBY115,München/Landshuter Allee,48.149605,11.536513,521.0
DEBY189,München/Allach,48.181690,11.464450,510.0
DEHE001,DEHE001,49.872303,8.664619,
DEHE005,Frankfurt-Höchst,50.101749,8.542517,100.0
DEHE008,Frankfurt Ost,50.125332,8.746343,103.0
DEHE011,Hanau,50.135769,8.921570,105.0
DEHE018,Raunheim,50.010326,8.451527,90.0
DEHE022,DEHE022,50.050343,8.244949,
DEHE037,Wiesbaden Ringkirche,50.077190,8.230316,135.0
DEHE040,DEHE040,49.869457,8.653745,
DEHE041,DEHE041,50.124588,8.691911,
DEHE042,DEHE042,50.532967,8.684397,
DEHE043,Riedstadt,49.825165,8.516798,90.0
DEHE052,Kleiner Feldberg,50.221943,8.446079,824.0
DEHE112,Wiesbaden Schiersteiner Straße,50.072121,8.228865,147.0
DEHE116,DEHE116,50.101494,8.784892,
DEHE135,Frankfurt-Schwanheim,50.075462,8.576305,94.0
DEHH008,DEHH008,53.564140,9.967882,
DEHH015,Hamburg Veddel,53.523262,10.021227,4.0
DEHH016,DEHH016,53.529018,10.081685,
DEHH026,DEHH026,53.560631,9.957236,
DEHH033,DEHH033,53.638290,9.998009,
DEHH047,DEHH047,53.630741,10.110595,
DEHH050,Hamburg Neugraben,53.480927,9.857223,3.0
DEHH059,DEHH059,53.507931,9.990569,
DEHH064,DEHH064,53.564400,9.944580,
DEHH068,DEHH068,53.592300,10.053859,
DEHH070,DEHH070,53.555668,9.943012,
DEHH072,DEHH072,53.535957,9.844080,
DEHH073,DEHH073,53.532074,9.832702,
DEHH079,DEHH079,53.545269,9.944815,
DEHH081,Hamburg Hafen,53.529160,9.981599,6.0
DENI062,Lüneburger Heide,53.246960,10.456500,47.0
DENI063,Altes Land,53.524181,9.685030,3.0
DENW021,Bottrop-Welheim,51.525955,6.976880,30.0
DENW022,Gelsenkirchen-Bismarck,51.533642,7.101868,30.0
DENW024,Essen-Vogelheim,51.496540,6.980991,40.0
DENW029,Hattingen-Blankenstein,51.403008,7.208546,95.0
DENW034,Duisburg-Walsum,51.524029,6.748363,17.0
DENW038,Mülheim-Styrum,51.453461,6.865050,39.0
DENW040,Duisburg-Buchholz,51.385258,6.762973,35.0
DENW042,Krefeld-Linn,51.337669,6.640242,36.0
DENW043,Essen-Ost Steeler Straße,51.451176,7.030534,113.0
DENW053,Köln-Chorweiler,51.019337,6.884571,46.0
DENW058,Hürth,50.876179,6.873818,92.0
DENW059,Köln-Rodenkirchen,50.889870,6.985074,50.0
DENW062,Bonn-Auerberg,50.753628,7.082648,60.0
DENW066,Nettetal-Kaldenkirchen,51.326935,6.195834,47.0
DENW071,Düsseldorf-Lörick,51.249214,6.732353,38.0
DENW074,Niederzier,50.883484,6.469312,105.0
DENW078,Ratingen-Tiefenbroich,51.303394,6.819887,42.0
DENW079,Leverkusen-Manfort,51.028931,7.004976,50.0
DENW080,Solingen-Wald,51.183781,7.052573,208.0
DENW082,Düsseldorf Corneliusstraße,51.213165,6.782538,45.0
DENW096,Mönchengladbach-Rheydt,51.154606,6.425610,83.0
DENW100,DENW100,51.169960,6.458890,
DENW112,Duisburg Kardinal-Galen-Straße,51.437687,6.771867,36.0
DENW114,Wuppertal-Langerfeld,51.277615,7.231854,186.0
DENW116,Krefeld (Hafen),51.342571,6.670194,34.0
DENW134,Essen Gladbecker Straße,51.477898,7.005276,50.0
DENW182,DENW182,50.927109,6.582205,
DENW188,Oberhausen Mülheimer Straße 117,51.474934,6.863629,47.0
DENW189,Wuppertal Gathe,51.260685,7.147378,158.0
DENW206,DENW206,51.176151,7.084060,
DENW208,Gelsenkirchen Kurt-Schumacher-Straße,51.527901,7.084555,36.0
DENW211,Köln Clevischer Ring,50.962837,7.004605,53.0
DENW212,Köln Turiner Straße,50.947269,6.957649,55.0
DENW247,Essen-Schuir (LANUV),51.406845,6.965589,155.0
DENW259,Mönchengladbach Friedrich-Ebert-Straße,51.169434,6.439945,65.0
DENW329,Jackerath,51.033833,6.451483,112.0
DENW337,Jüchen-Hochneukirch,51.097637,6.469463,83.0
DENW338,Duisburg-Bruckhausen,51.485493,6.735431,24.0
DENW355,Leverkusen Gustav-Heinemann-Straße,51.031471,7.010934,49.0
DENW367,DENW367,51.568050,6.990946,
DENW381,DENW381,51.219578,6.704074,
DENW382,DENW382,51.460720,6.727486,
DERP007,Mainz-Mombach,50.017551,8.216803,115.0
DERP009,Mainz-Zitadelle,49.995014,8.273979,100.0
DERP010,DERP010,50.001026,8.261131,
DERP011,Mainz-Rheinallee,50.009869,8.265800,85.0
DESH001,Altendeich,53.670551,9.585874,8.0
DESH016,Barsbüttel,53.570583,10.214871,42.0
