# Site ID, Site Name, Latitude, Longitude, Altitude (m)
000050113,000050113,45.547199,-73.747200,
000050119,000050119,45.523102,-73.493896,
000050204,000050204,45.436901,-75.726097,
000050308,000050308,46.821400,-71.220802,
000050311,000050311,46.774170,-71.369720,
000052201,000052201,45.443100,-73.468597,
000052401,000052401,45.622200,-76.017799,
000053501,000053501,47.014702,-70.864403,
000060104,000060104,45.432201,-75.676399,
000060424,000060424,43.661900,-79.385300,
000060512,000060512,43.256100,-79.861702,
000061402,000061402,43.140301,-80.296097,
000070119,000070119,49.948898,-97.396400,
000090120,000090120,53.502800,-113.611099,
000090121,000090121,53.547199,-113.368103,
000090130,000090130,53.545300,-113.499199,
000090133,000090133,53.564411,-113.562584,
000090222,000090222,51.081402,-114.140297,
000090228,000090228,51.047611,-114.075165,
000090601,000090601,53.698898,-113.223297,
000090606,000090606,53.800117,-112.927795,
000091101,000091101,53.682499,-112.868599,
000100110,000100110,49.279400,-122.971100,
000100111,000100111,49.280830,-122.849167,
000100119,000100119,49.215279,-122.985558,
000100125,000100125,49.158329,-122.901672,
000100127,000100127,49.132778,-122.694168,
000100128,000100128,49.141392,-123.108330,
000100132,000100132,49.323891,-123.083611,
000100134,000100134,49.186390,-123.152222,
000100135,000100135,49.288059,-122.791389,
000100140,000100140,49.009869,-123.082016,
000101202,000101202,49.245281,-122.708893,
000101301,000101301,49.095558,-122.566940,
000101501,000101501,49.215000,-122.581940,
000105301,000105301,49.441700,-123.491699,
032BAA010002,032BAA010002,-34.577301,-58.417599,
040130019,WEST PHOENIX,33.483799,-112.142601,333.0
040131003,MESA,33.410500,-111.865097,383.0
040131004,NORTH PHOENIX,33.560299,-112.066299,378.0
040131010,FALCON FIELD,33.452202,-111.733101,384.0
040131030,040131030,33.629200,-111.676903,
040132001,GLENDALE,33.569401,-112.191498,350.0
040132005,PINNACLE PEAK,33.712299,-111.852699,733.0
040133002,CENTRAL PHOENIX,33.457901,-112.045998,339.0
040133003,SOUTH SCOTTSDALE,33.479698,-111.917198,368.0
040134003,SOUTH PHOENIX,33.403301,-112.073097,326.0
040134004,WEST CHANDLER,33.299000,-111.884300,366.0
040134005,TEMPE,33.412399,-111.934700,352.0
040134006,HIGLEY,33.309944,-111.720032,391.0
040134008,CAVE CREEK,33.821701,-112.017403,587.0
040134009,WEST 43RD AVENUE,33.406399,-112.144302,318.0
040134010,DYSART,33.636902,-112.339401,359.0
040134016,Zuni Hills,33.686741,-112.294167,386.0
040134018,040134018,33.684502,-112.086357,
040134019,040134019,33.396099,-111.968002,
040134020,Thirty-Third,33.461807,-112.128044,326.0
040137003,St Johns Air Monitoring Site,33.290150,-112.159874,326.0
040137020,Senior Center Air Monitoring Station,33.488300,-111.855003,377.0
040137021,Red Mountain Air Monitoring Station,33.507900,-111.754601,394.0
040137022,Lehi Air Monitoring Station,33.474499,-111.805099,412.0
040137024,High School Air Monitoring Station,33.507999,-111.837799,366.0
040139702,BLUE POINT-SHERIFF STATION-TONTO NF-SALT RIVER RECREATION AREA,33.545502,-111.609299,436.0
040139704,FOUNTAIN HILLS,33.611000,-111.725304,505.0
040139812,DURANGO COMPLEX,33.426498,-112.118103,317.0
040139997,JLG SUPERSITE,33.503601,-112.095001,346.0
040213016,MARICOPA 1405,33.061150,-112.052040,406.0
040217004,Casa Blanca Air Monitoring Site,33.117531,-111.884911,359.0
060010007,Livermore,37.687527,-121.784218,137.0
060010009,Oakland,37.743061,-122.169907,11.0
060010011,Oakland West,37.814800,-122.282402,
060010012,Laney College,37.793625,-122.263374,3.9
060010013,Berkeley- Aquatic Park,37.864765,-122.302742,2.7
060010015,Pleasanton - Owens Ct,37.701221,-121.903023,101.0
060012001,Hayward,37.654701,-122.031700,290.0
060016001,Chabot,37.720810,-122.099136,173.0
060016003,Pleasanton,37.698750,-121.913307,102.0
060130002,Concord,37.938301,-122.025002,26.0
060130006,Richmond - 7th St.,37.947800,-122.363602,6.0
060131004,San Pablo,37.960400,-122.357101,20.0
060132007,San Ramon,37.743649,-121.934189,119.0
060136003,Pt. San Pablo,37.961861,-122.423332,70.0
060370002,060370002,34.136475,-117.923965,
060370016,Glendora,34.143902,-117.850800,275.0
060370113,West Los Angeles,34.051098,-118.456383,91.0
060371103,Los Angeles-North Main Street,34.066429,-118.226753,87.0
060371201,Reseda,34.199200,-118.533096,226.0
060371302,Compton,33.901402,-118.205002,27.0
060371602,Pico Rivera #2,34.010284,-118.068481,75.0
060371701,Pomona,34.066700,-117.750603,270.0
060372005,Pasadena,34.132629,-118.127144,250.0
060374004,Long Beach (South),33.792221,-118.175278,6.0
060374006,Long Beach (Hudson),33.802418,-118.219933,10.0
060374008,Long Beach-Route 710 Near Road,33.859661,-118.200706,12.0
060375005,LAX Hastings,33.955070,-118.430458,21.0
060376012,Santa Clarita,34.383301,-118.528297,397.0
060410001,San Rafael,37.972198,-122.518898,3.0
060590007,Anaheim,33.830585,-117.938507,10.0
060590008,Anaheim Near-Road,33.819305,-117.918762,44.0
060595001,La Habra,33.925060,-117.952583,82.0
060730001,Chula Vista,32.631229,-117.059074,53.0
060731006,Alpine,32.842297,-116.768326,627.0
060731014,Donovan,32.579361,-116.929489,199.0
060731016,San Diego - Kearny Villa Rd.,32.845467,-117.123894,134.0
060731022,El Cajon - Lexington Elementary School,32.789562,-116.944221,143.0
060750005,San Francisco,37.765800,-122.397797,5.0
060811001,Redwood City,37.482800,-122.202202,3.0
060850002,Gilroy,36.999573,-121.574684,63.0
060850005,San Jose - Jackson,37.348301,-121.894699,31.0
060850006,San Jose - Knox Avenue,37.338203,-121.849892,30.9
060851001,Los Gatos,37.226700,-121.978600,116.0
060852006,San Martin,37.079201,-121.599403,86.0
060870007,Santa Cruz,36.983318,-121.988220,28.0
