# Site ID, Site Name, Latitude, Longitude, Altitude (m)
1009A,Huairou Town,40.393700,116.643997,205.0
1036A,Supply and Marketing Cooperatives (closed 200110),39.623299,118.153000,29.0
1037A,Radar station,39.637402,118.137001,30.0
1038A,Materials bureau,39.633301,118.171997,33.0
1039A,Ceramic Company (shutdown 200109),39.628399,118.211998,29.0
1040A,Twelve middle schools,39.662800,118.302002,20.0
1041A,hill,39.623199,118.193001,27.0
1042A,Beidaihe Environmental Protection Bureau,39.835300,119.514000,28.0
1043A,The first pass,40.006699,119.753998,39.0
1044A,Monitoring station,39.950001,119.589996,23.0
1046A,Construction block,39.934399,119.525002,6.0
1047A,Environmental Protection Agency,36.611401,114.500000,57.0
1048A,East sewage treatment plant,36.610600,114.529999,58.0
1049A,Mine institute,36.571098,114.490997,56.0
1050A,Congtai Park,36.616100,114.526001,60.0
1051A,natatorium,38.856098,115.480003,24.0
1052A,Huadian District 2,38.889198,115.510002,17.0
1053A,Reception center,38.905800,115.459000,19.0
1054A,Surface water plant,38.834202,115.447998,24.0
1055A,Film plant,38.866402,115.429001,26.0
1056A,Monitoring station,38.864399,115.507004,20.0
1057A,People's Park,40.816700,114.849998,893.0
1059A,Five coffers,40.799999,114.849998,760.0
1060A,Century Grand Garden,40.762199,114.889999,728.0
1061A,North pump House,40.866699,114.866997,878.0
1062A,railway,40.908298,117.956001,337.0
1063A,Bank of China,40.977200,117.914001,394.0
1064A,Development zone,40.928001,117.952003,321.0
1065A,Cultural center,40.966099,117.805000,400.0
1066A,Detached palace,40.991901,117.918999,352.0
1071A,Cangxian urban construction Bureau,38.283600,116.872002,8.0
1072A,Television relay station,38.312801,116.845001,9.0
1073A,Municipal Environmental Protection Bureau,38.310001,116.861000,7.0
1074A,Electric machinery north Factory,37.750500,115.682999,20.0
1075A,Municipal monitoring station,37.742199,115.655998,24.0
1076A,Municipal Environmental Protection Bureau,37.717800,115.713997,24.0
1077A,Dahua Spring,37.083900,114.468002,70.0
1078A,Xing division high school,37.034401,114.516998,65.0
1079A,Road and bridge company,37.068001,114.500999,62.0
1080A,Municipal Environmental Protection Bureau,37.055599,114.473000,77.0
1081A,Sharp lawn,37.887299,112.522003,790.0
1083A,Shanglan (comparison point),38.010799,112.433998,813.0
1084A,Jinyuan,37.712399,112.469002,767.0
1085A,shop,37.781399,112.476997,776.0
1086A,Peach orchard,37.869202,112.537003,789.0
1087A,docktown,37.819500,112.570000,788.0
1088A,Nanchai,37.985401,112.549004,804.0
1089A,Golden victory,37.780499,112.487999,786.0
1090A,A supervisor in Hohmarket,40.757900,111.651001,1034.0
1091A,Xiao Zhao,40.803299,111.657997,1049.0
1092A,Xingsong Community (out of service 200113),40.845200,111.658997,1067.0
1093A,Sugar Factory (closed 200113),40.814400,111.608002,1059.0
1094A,Ruyi water treatment plant,40.836899,111.750999,1072.0
1095A,Twenty-ninth,40.794800,111.695999,1057.0
1096A,Jinchuan Campus of Technology University,40.786598,111.551003,1066.0
1097A,Fertilizer plant living area,40.761200,111.717003,1043.0
1098A,Forest road,41.833302,123.641998,132.0
