# Site ID, Site Name, Latitude, Longitude, Altitude (m)
1001A,The West Palace of Longevity,39.867298,116.365997,47.0
1002A,Dingling Tomb,40.286499,116.169998,307.0
1003A,A surname,39.952202,116.433998,50.0
1004A,Temple of Heaven,39.874500,116.433998,46.0
1005A,Agriculture exhibition hall,39.971600,116.473000,37.0
1006A,Official garden,39.942501,116.361000,55.0
1007A,"Wanliu, Haidian District",39.993401,116.315002,54.0
1008A,Shunyi New ,40.143799,116.720001,32.0
1010A,Changping Town,40.195202,116.230003,58.0
1011A,Olympic sports center,40.003101,116.406998,49.0
1012A,Ancient ,39.927898,116.224998,63.0
1013A,Municipal Monitoring Center (outage 150702),39.097000,117.151001,9.0
1014A,Nankou Road (no service 161122),39.173000,117.193001,8.0
1015A,Be industrious and thrifty,39.165401,117.144997,5.0
1016A,Nanjing Road (no service 160601),39.120499,117.183998,12.0
1017A,Dazhigu No. 8 Road,39.108200,117.237000,4.0
1018A,Way forward,39.092701,117.202003,5.0
1019A,Huaihe Road,39.226101,117.184998,5.0
1020A,Tianshan Road (outage 150702),39.133701,117.268997,6.0
1021A,Skip road,39.087700,117.306999,6.0
1022A,Meijiang Community (out of service 150702),39.060001,117.221001,2.0
1023A,Fourth Avenue,39.034302,117.707001,2.0
1024A,Wing Ming road,38.839401,117.457001,2.0
1025A,Space Road (out of service 170426),39.124001,117.401001,2.0
1026A,Han Bei Road,39.158699,117.764000,1.0
1027A,Tuanbowa,38.919399,117.156998,2.0
1029A,Staff hospital,38.044601,114.442001,79.0
1030A,High-tech zone,38.032902,114.592003,70.0
1031A,Northwest water source,38.166000,114.439003,75.0
1032A,Southwest higher Education,38.004799,114.455002,76.0
1033A,Century Park,38.016102,114.539001,71.0
1034A,People's hall,38.045700,114.509003,78.0
1035A,Fenglong Mountain,37.892502,114.339996,270.0
1067A,Pharmaceutical company,39.511299,116.670998,18.0
1068A,Development zone,39.567101,116.760002,15.0
1070A,North China Aerospace Institute,39.527199,116.724998,16.0
1119A,Food factory,43.916698,125.322998,217.0
1120A,Passenger car factory,43.910000,125.287003,214.0
1121A,University of Posts and Telecommunications,43.840000,125.278999,219.0
1122A,Labor park,43.840000,125.278999,198.0
1123A,Garden department,43.869400,125.324997,221.0
1124A,Jingyuetan,43.787800,125.454002,228.0
1125A,Springing bay,43.549999,125.633003,218.0
1126A,Economic development zone sanitation Department,43.866699,125.417000,203.0
1127A,Administrative Committee of High-tech Zone,43.816700,125.250000,210.0
1128A,Daishan Park,43.849998,125.217003,213.0
1129A,Lingbei,45.755001,126.542000,119.0
1130A,Songbei Commercial University,45.816700,126.560997,118.0
1131A,Ah Cheng Huining,45.542198,126.978996,144.0
1132A,Nangang Xuefu Road,45.722198,126.598999,149.0
1133A,Taiping Grand Park,45.773300,126.689003,129.0
1134A,"Chengde Square, Daowai",45.766701,126.635002,135.0
1135A,Xiangfang Hongqi Street,45.731899,126.684998,147.0
1136A,Dynamic peace path,45.725800,126.646004,152.0
1137A,Daoli Jianguo Road,45.747799,126.593002,122.0
1138A,Bungalow East light factory,45.610001,126.614998,180.0
1139A,Hulan Teachers College,45.981899,126.611000,127.0
1140A,Provincial Academy of Agricultural Sciences,45.684200,126.621002,166.0
1141A,Putuo,31.238001,121.400002,7.0
1142A,Fifteenth factory,31.203600,121.477997,8.0
1143A,Hongkou,31.300800,121.467003,9.0
1144A,Xu Hui attended Normal University,31.165400,121.412003,4.0
1145A,Yang Pu four Piao,31.265900,121.536003,11.0
1146A,Qingpu Dianshan Lake,31.093500,120.977997,6.0
1147A,Jing 'an monitoring Station,31.226101,121.425003,8.0
1148A,Chuansha in Pudong,31.190701,121.703003,5.0
1149A,Pudong New Area monitoring station,31.228399,121.532997,9.0
1150A,Pudong Zhangjiang District,31.207100,121.577003,5.0
1151A,Maigao Bridge,32.108299,118.803001,21.0
1152A,Meadow gate,32.057201,118.749001,6.0
1153A,Shan Xi Road,32.070000,118.774002,13.0
1154A,Zhonghua Gate,32.014400,118.777000,15.0
1155A,Ruijin Road,32.031399,118.803001,13.0
1156A,Xuanwu Lake,32.077499,118.794998,15.0
1157A,Pukou District,32.087799,118.625999,15.0
1158A,Olympic sports center,32.009201,118.737000,5.0
1159A,Xianlin University Town,32.105000,118.906998,19.0
1223A,Binjiang,30.209999,120.210999,8.0
1224A,Xi Xi,30.274700,120.063004,6.0
1226A,Lower sand,30.305799,120.348000,9.0
1227A,Wolong Bridge,30.245600,120.126999,15.0
1228A,Zhejiang Agricultural University,30.269199,120.190002,15.0
1229A,Chaoyang five district,30.289700,120.156998,16.0
1230A,United primary,30.311899,120.120003,12.0
1231A,Linping Town,30.418301,120.301003,10.0
1232A,Chengxiang Town,30.181900,120.269997,13.0
1233A,Cloud habitat,30.180799,120.087997,80.0
1234A,District environmental building,29.910801,121.835999,4.0
1235A,Wanli University,29.820801,121.559998,5.0
1236A,Ronsay Hospital,29.957199,121.712997,6.0
1237A,Sanjiang secondary,29.890600,121.554001,9.0
1239A,Qianhu Lake water plant,29.773600,121.633003,5.0
1240A,Swire primary,29.863300,121.585999,9.0
1241A,Municipal Environmental monitoring Center,29.850599,121.524002,5.0
1246A,Paogang Station,30.091101,120.598000,10.0
1299A,Kokansuo,36.611401,116.987999,190.0
1300A,Agricultural science institute,36.669998,116.930000,28.0
1301A,Development zone,36.673901,117.113998,80.0
1302A,Jinan Chemical Plant,36.687199,116.988998,34.0
1303A,Provincial seed storehouse,36.685299,117.051003,39.0
1304A,Machine tool Plant II,36.648899,116.943001,37.0
1305A,Municipal monitoring station,36.662201,117.049004,61.0
1306A,Chang Qing Party School,36.533600,116.734001,61.0
1316A,Tobacco factory,34.754501,113.681000,104.0
1317A,Zheng spinning machine,34.774502,113.640999,103.0
1318A,Banking school,34.801899,113.675003,92.0
1319A,Water supply company,34.808300,113.565002,112.0
1320A,Economic development zone management Committee,34.718700,113.726997,100.0
1321A,Forty-seven middle schools,34.773201,113.734001,95.0
1322A,Municipal monitoring station,34.749599,113.598999,131.0
1323A,River medical University,34.749599,113.598999,107.0
1324A,Gangli Reservoir (comparison point),34.953602,113.636002,98.0
1325A,East Lake Pear Garden,30.573299,114.370003,29.0
1326A,Hanyang Moon Lake,30.558001,114.252998,31.0
1327A,Hankou Flower Bridge,30.618799,114.281998,28.0
1328A,Wuchang Ziyang,30.533199,114.302002,35.0
1329A,Wuchang Ziyang,30.621700,114.364998,30.0
1330A,Ziyang District Administration Center,30.632500,114.155998,29.0
1331A,Ziyang Middle School,30.594299,114.302002,38.0
1332A,Donghu Hi-tech,30.461201,114.392998,26.0
1333A,Wujia Mountain,30.633400,114.129997,21.0
1335A,Economic development zone environmental protection Bureau,28.242201,113.082001,62.0
1336A,Gaokai District Environmental Protection Bureau,28.220301,112.888000,70.0
1337A,Mapoling,28.201099,113.078003,42.0
1338A,Hunan Normal University,28.189699,112.944000,123.0
1339A,Yuhua District Environmental Protection Bureau,28.143000,113.002998,95.0
1340A,Wujialing,28.259701,112.978996,30.0
1341A,New train station,28.194401,113.000999,57.0
1342A,Tianxin District Environmental Protection Bureau,28.117800,112.984001,81.0
1343A,Hunan University of Traditional Chinese Medicine,28.130800,112.890999,35.0
1344A,Sand flat,28.358601,112.996002,82.0
1345A,Kwong nga secondary,23.142200,113.235001,9.0
