# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AT0005R,Vorhegg,46.677776,12.972222,1020.0
AT0048R,Zoebelboden,47.838612,14.441389,899.0
CH0001G,Jungfraujoch,46.547501,7.985000,3578.0
CH0002R,Payerne,46.813057,6.944722,489.0
CH0003R,Tänikon,47.479721,8.904722,539.0
CH0004R,Chaumont,47.049721,6.979444,1137.0
CH0005R,Rigi,47.067501,8.463889,1031.0
CH0053R,Beromünster,47.189613,8.175434,797.0
CY0002R,Agia Marina Xyliatou / Cyprus Atmospheric Observatory,35.038101,33.057800,520.0
CZ0003R,Kosetice (NAOK),49.573395,15.080278,535.0
CZ0005R,Churanov,49.066666,13.600000,1118.0
DE0001R,Westerland,54.925556,8.309722,12.0
DE0002R,Waldhof,52.802223,10.759444,74.0
DE0003R,Schauinsland,47.914722,7.908611,1205.0
DE0007R,Neuglobsow,53.166668,13.033333,62.0
DE0008R,Schmücke,50.650002,10.766667,937.0
DE0009R,Zingst,54.436798,12.724900,1.0
DE0044R,Melpitz,51.525501,12.927700,86.0
DK0003R,Tange,56.349998,9.600000,13.0
DK0008R,Anholt,56.716667,11.516667,40.0
DK0031R,Ulborg,56.290424,8.427486,10.0
EE0009R,Lahemaa,59.500000,25.900000,32.0
EE0011R,Vilsandi,58.383331,21.816668,6.0
ES0001R,San Pablo de los Montes,39.546940,-4.350560,917.0
ES0005R,Noia,42.720558,-8.923610,683.0
ES0006R,Mahón,39.875278,4.316390,78.0
ES0007R,Víznar,37.237221,-3.534170,1230.0
ES0008R,Niembro,43.439171,-4.850000,134.0
ES0009R,Campisabalos,41.274170,-3.142500,1360.0
ES0010R,Cabo de Creus,42.319172,3.315830,76.0
ES0011R,Barcarrota,38.472778,-6.923610,393.0
ES0012R,Zarra,39.082779,-1.101110,885.0
ES0013R,Penausende,41.238892,-5.897500,985.0
ES0014R,Els Torms,41.393890,0.734720,470.0
ES0016R,O Saviñao,42.634720,-7.704720,506.0
ES0017R,Doñana,37.051941,-6.555280,35.0
FI0009R,Utö,59.779167,21.377222,7.0
FI0018R,Virolahti III,60.530022,27.667540,4.0
FI0036R,Pallas (Matorova),68.000000,24.237223,340.0
FR0022R,Observatoire Perenne de l'Environnement,48.562222,5.505556,392.0
HU0002R,K-puszta,46.965332,19.544889,125.0
HU0003R,Farkasfa,46.910000,16.320000,312.0
IE0001R,Valentia Observatory,51.939720,-10.244444,11.0
IE0005R,Oak Park,52.868610,-6.924722,59.0
IE0006R,Malin Head,55.375000,-7.342778,20.0
IE0008R,Carnsore Point,52.178074,-6.364524,9.0
IS0002R,Irafoss,64.083336,-21.016666,66.0
IT0004R,Ispra,45.799999,8.633333,209.0
IT0015U,Lecce (ECO),40.335800,18.124500,36.0
IT0019R,Monte Martano,42.805462,12.565645,1090.0
LT0015R,Preila,55.376110,21.030556,5.0
LV0010R,Rucava,56.161945,21.173056,18.0
MD0013R,Leova II,46.488400,28.283501,166.0
NL0010R,Vredepeel,51.541111,5.853611,28.0
NO0002R,Birkenes II,58.388531,8.252000,219.0
NO0015R,Tustervatn,65.833336,13.916667,439.0
NO0039R,Kårvatn,62.783333,8.883333,210.0
NO0042G,Zeppelin mountain (Ny-Ålesund),78.907150,11.886680,474.0
NO0056R,Hurdal,60.372387,11.078142,300.0
PL0002R,Jarczew,51.814407,21.972420,180.0
PL0003R,Sniezka,50.736443,15.739500,1603.0
PL0004R,Leba,54.753895,17.534264,2.0
PL0005R,Diabla Gora,54.150002,22.066668,157.0
PL0009R,Zielonka,53.662117,17.934017,121.0
RS0005R,Kamenicki vis,43.400002,21.950001,813.0
RU0018R,Danki,54.900002,37.799999,150.0
SE0005R,Bredkälen,63.849998,15.333333,404.0
SE0014R,Råö,57.394001,11.914000,5.0
SE0020R,Hallahus,56.042900,13.148000,190.0
SE0022R,Norunda Stenen,60.085800,17.505280,45.0
SI0008R,Iskrba,45.566666,14.866667,520.0
SK0002R,Chopok,48.933334,19.583332,2008.0
SK0006R,Starina,49.049999,22.266666,345.0
