# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AR0001R,Marambio,-64.240059,-56.624779,198.0
AR0002G,Ushuaia,-54.848465,-68.310692,18.0
AR0005R,Pilar,-31.668612,-63.881943,339.0
AT0005R,Vorhegg,46.677776,12.972222,1020.0
AT0030R,Pillersdorf bei Retz,48.721111,15.942222,315.0
AT0032R,Sulzberg,47.529167,9.926667,1020.0
AT0034G,Sonnblick,47.053890,12.958889,3106.0
AT0038R,Gerlitzen,46.693611,13.915000,1895.0
AT0040R,Masenberg,47.348057,15.882222,1170.0
AT0041R,Haunsberg,47.973057,13.016111,730.0
AT0042R,Heidenreichstein,48.878613,15.046667,570.0
AT0045R,Dunkelsteinerwald,48.371113,15.546667,320.0
AT0048R,Zoebelboden,47.838612,14.441389,899.0
AT0049R,Grebenzen bei St. Lamprecht,47.040276,14.330000,1648.0
AT0050R,Graz Lustbuehel,47.066944,15.493611,481.0
AU0001C,Alice Springs,-23.795086,133.889008,547.0
AU0002G,Kennaook / Cape Grim Baseline Air Pollution Station,-40.682220,144.688339,94.0
AU0005U,Wollongong,-34.405701,150.880463,50.0
BE0001R,Offagne,49.877777,5.203611,430.0
BE0011R,Moerkerke,51.254570,3.362540,3.0
BE0013R,Houtem,51.016281,2.582320,2.0
BE0032R,Eupen,50.629421,6.001019,295.0
BE0035R,Vezin,50.503334,4.989444,160.0
BG0001R,BEO Moussala,42.166668,23.583332,2971.0
BG0053R,Rojen peak,41.695831,24.738611,1750.0
BM0001R,Tudor Hill (Bermuda),32.264702,-64.878799,30.0
BO0001R,Mount Chacaltaya,-16.200001,-68.099998,5320.0
CA0011R,Egbert,44.231007,-79.783836,255.0
CA0102R,East Trout Lake,54.353745,-104.986862,500.0
CA0103R,Eureka,80.050003,-86.416656,610.0
CA0420G,Alert,82.499146,-62.341526,210.0
CH0001G,Jungfraujoch,46.547501,7.985000,3578.0
CH0002R,Payerne,46.813057,6.944722,489.0
CH0003R,Tänikon,47.479721,8.904722,539.0
CH0004R,Chaumont,47.049721,6.979444,1137.0
CH0005R,Rigi,47.067501,8.463889,1031.0
CH0006C,Davos,46.816666,9.850000,1590.0
CH0053R,Beromünster,47.189613,8.175434,797.0
CL0001R,El Tololo,-30.172541,-70.799232,2220.0
CV0001G,Cape Verde Atmospheric Observatory,16.864031,-24.867519,10.0
CY0002R,Agia Marina Xyliatou / Cyprus Atmospheric Observatory,35.038101,33.057800,520.0
CZ0001R,Svratouch,49.735085,16.034197,735.0
CZ0003R,Kosetice (NAOK),49.573395,15.080278,535.0
CZ0005R,Churanov,49.066666,13.600000,1118.0
DE0001R,Westerland,54.925556,8.309722,12.0
DE0002R,Waldhof,52.802223,10.759444,74.0
DE0003R,Schauinsland,47.914722,7.908611,1205.0
DE0007R,Neuglobsow,53.166668,13.033333,62.0
DE0008R,Schmücke,50.650002,10.766667,937.0
DE0009R,Zingst,54.436798,12.724900,1.0
DE0043G,Hohenpeissenberg,47.801498,11.009619,975.0
DE0044R,Melpitz,51.525501,12.927700,86.0
DE0054R,Zugspitze-Schneefernerhaus,47.416500,10.979640,2671.0
DE0055B,Leipzig,51.352501,12.434600,113.0
DE0060G,Neumayer,-70.666000,-8.266000,42.0
DE0066K,Leipzig-Eisenbahnstrasse,51.345833,12.406389,120.0
DE0067K,Leipzig-Mitte,51.344166,12.377222,111.0
DK0005R,Keldsnor,54.746494,10.736160,10.0
DK0008R,Anholt,56.716667,11.516667,40.0
DK0010G,"Villum Research Station, Station Nord",81.599998,-16.670000,20.0
DK0025G,Summit,72.580002,-38.480000,3238.0
DK0031R,Ulborg,56.290424,8.427486,10.0
