# Site ID, Site Name, Latitude, Longitude, Altitude (m)
AT0002R,Illmitz,47.766666,16.766666,117.0
AT0043R,Forsthof,48.106110,15.919444,581.0
AT0046R,Gänserndorf,48.334721,16.730556,161.0
AT0047R,Stixneusiedl,48.050835,16.676666,240.0
DK0012R,Risø,55.693588,12.085797,3.0
EG0001U,Cairo,30.080832,31.290218,35.0
ES1778R,Montseny,41.766666,2.350000,700.0
FR0020R,SIRTA Atmospheric Research Observatory,48.708611,2.158889,162.0
GB0033R,Bush,55.858612,-3.205000,180.0
GB0037R,Ladybower Res.,53.398888,-1.753333,420.0
GB0048R,Auchencorth Moss,55.792160,-3.242900,260.0
GR0100B,DEM Athens,37.994999,23.816000,270.0
JP0005U,Sapporo,43.060001,141.328598,17.4
NL0011R,Cabauw Zijdeweg,51.970280,4.926389,1.0
NL0091R,De Zilk,52.299999,4.500000,4.0
NL0644R,Cabauw Wielsekade,51.974445,4.923611,1.0
NZ0001R,Baring Head,-41.408192,174.870804,85.0
SI0032R,Krvavec,46.299442,14.538611,1740.0
US0901R,Boulder Table Mountain,40.124981,-105.236801,1689.0
ZA0001G,Cape Point,-34.353481,18.489679,230.0
