number,type,name,long_name,grib,gribsrc,gribddp,gribsdm,gribwdl,gribwdc,gribngt,gribmss,gribod,advect,ddepvsea,ddepvlic,sedimv,scavin,scavbcr,scavbcs,optclass,hygclass,aerocv
1,SS,SSS,Sea-salt_1,1.210,1.215,4.215,7.215,10.215,13.215,16.215,19.215,22.215,true,1.1000E-02,1.1000E-02,2.4000E-05,0.9,0.15,0.01,SeaSaltSmall,SeaSalt,1
2,SS,SSM,Sea-salt_2,2.210,2.215,5.215,8.215,11.215,14.215,17.215,20.215,23.215,true,1.1500E-02,1.2000E-02,1.9500E-03,0.9,0.36,0.018,SeaSaltMedium,SeaSalt,2
3,SS,SSL,Sea-salt_3,3.210,3.215,6.215,9.215,12.215,15.215,18.215,21.215,24.215,true,1.2000E-02,1.5000E-02,1.8000E-02,0.9,0.36,0.05,SeaSaltLarge,SeaSalt,2
4,DU,DUS,Desert-dust_1,4.210,25.215,28.215,31.215,34.215,37.215,40.215,43.215,46.215,true,2.0000E-04,2.0000E-04,6.9040E-05,0.7,0.15,0.01,DustSmall,Dust,1
5,DU,DUM,Desert-dust_2,5.210,26.215,29.215,32.215,35.215,38.215,41.215,44.215,47.215,true,1.0000E-03,1.0000E-03,1.9820E-04,0.7,0.36,0.018,DustMedium,Dust,2
6,DU,DUL,Desert-dust_3,6.210,27.215,30.215,33.215,36.215,39.215,42.215,45.215,48.215,true,1.2000E-02,1.2000E-02,1.9620E-03,0.7,0.36,0.05,DustLarge,Dust,2
7,OM,OMHPHIL,Organic-matter_A,7.210,50.215,52.215,54.215,56.215,58.215,60.215,62.215,64.215,true,1.0000E-03,1.0000E-03,2.0000E-04,0.7,0.001,0.001,OrganicMatter,OrganicMatter,1
8,OM,OMHPHOB,Organic-matter_B,8.210,49.215,51.215,53.215,55.215,57.215,59.215,61.215,63.215,true,1.0000E-03,1.0000E-03,2.0000E-04,0,0.001,0.001,OrganicMatter,Hydrophobic,1
9,BC,BCHPHIL,Black-carbon_A,9.210,66.215,68.215,70.215,72.215,74.215,76.215,78.215,80.215,true,1.0000E-03,1.0000E-03,2.0000E-04,0.7,0.001,0.001,BlackCarbon,BlackCarbon,1
10,BC,BCHPHOB,Black-carbon_B,10.210,65.215,67.215,69.215,71.215,73.215,75.215,77.215,79.215,true,1.0000E-03,1.0000E-03,2.0000E-04,0,0.001,0.001,BlackCarbon,Hydrophobic,1
11,SU,SU,Sulphate_SO4,11.210,81.215,82.215,83.215,84.215,85.215,86.215,87.215,88.215,true,1.5000E-03,2.5000E-03,2.0000E-04,0.7,0.001,0.001,Sulphate,Sulphate,1
12,SU,SO2,Sulphate_SO2,12.210,168.215,169.215,170.215,171.215,172.215,173.215,174.215,175.215,true,-9.9990E+03,-9.9990E+03,0.0000E+00,0,0,0,None,None,0
13,NI,NIF,Nitrate_1,247.210,189.215,191.215,193.215,195.215,197.215,199.215,201.215,203.215,true,1.5000E-03,1.5000E-03,2.0000E-04,0.8,0.001,0.001,NitrateFine,Nitrate,1
14,NI,NIC,Nitrate_2,248.210,190.215,192.215,194.215,196.215,198.215,200.215,202.215,204.215,true,1.5000E-03,1.5000E-03,1.3352E-03,0.8,0.36,0.05,NitrateCoarse,Nitrate,2
15,AM,AM,Ammonium,249.210,205.215,206.215,207.215,208.215,209.215,210.215,211.215,42.216,true,1.5000E-03,1.5000E-03,2.0000E-04,0.9,0.001,0.001,Ammonium,Ammonium,1
16,SOA,SOA1,SecOrg_Bio,252.210,212.215,213.215,214.215,215.215,216.215,217.215,218.215,98.216,true,1.5000E-03,2.5000E-03,2.4000E-04,0.7,0.001,0.001,SecOrgBio,SecOrgBio,1
17,SOA,SOA2,SecOrg_Anth,253.210,219.215,220.215,221.215,222.215,223.215,224.215,225.215,99.216,true,1.5000E-03,2.5000E-03,2.4000E-04,0.7,0.001,0.001,SecOrgAnth,SecOrgAnth,1
18,SOA,SOAPA,SecOrg_PreAnt,76.216,79.216,82.216,85.216,88.216,91.216,94.216,97.216,100.216,true,-9.9990E+03,-9.9990E+03,0.0000E+00,0.2,0.,0.,None,None,0
19,SOA,SOAPB,SecOrg_PreBio,101.216,102.216,103.216,104.216,105.216,106.216,107.216,108.216,109.216,true,-9.9990E+03,-9.9990E+03,0.0000E+00,0.2,0.,0.,None,None,0
20,VFA,VFA,VolcAsh,13.210,50.216,51.216,52.216,53.216,54.216,55.216,56.216,57.216,true,2.0000E-03,2.0000E-03,5.0000E-02,0.8,0.35,0.05,VolcanicAsh,Hydrophobic,2
21,VSU,VSU,Volc_SO4,14.210,58.216,59.216,60.216,61.216,62.216,63.216,64.216,65.216,true,5.0000E-04,2.5000E-03,1.0000E-03,0.7,0.001,0.001,Sulphate,Sulphate,1
22,VSU,VSO2,Volc_SO2,15.210,66.216,67.216,68.216,69.216,70.216,71.216,72.216,73.216,true,-9.9990E+03,-9.9990E+03,0.0000E+00,0,0,0,None,None,0
