number, type, name,    long_name, descriptive_name,                            grib,   gribsrc, gribddp, gribsdm, gribwdl, gribwdc, gribngt, gribmss, gribod,  advect, ddepvsea,   ddepvlic,   sedimv,     scavin, scavbcr, scavbcs, optclass, hygclass, aerocv
1,      SU,   SO4,     SO4,       Sulfuric_acid_NOT_SULFATE,                   11.210, 81.215,  82.215,  83.215,  84.215,  85.215,  86.215,  87.215,  88.215,  true,   0.0015,     0.0025,     0.0,        0.7,    0.001,   0.01,    Sulphate, Sulphate, 1
2,      AM,   AM_AS,   AM_AS,     ammonium_wet_accumulation,                   35.212, 205.215, 206.215, 207.215, 208.215, 209.215, 210.215, 211.215, 42.216,  true,   1.5000E-03, 1.5000E-03, 1.0000E-03, 0.9,    0.0001,  0.005,   Ammonium, Ammonium, 1
3,      NI,   NI_AS,   NI_AS,     nitrate_wet_accumulation,                    36.212, 189.215, 191.215, 193.215, 195.215, 197.215, 199.215, 201.215, 203.215, true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   Nitrate,  Nitrate,  1
4,      AS,   AS_N,    AS_N,      number_wet_accumulation,                     1.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
5,      AS,   SO4_AS,  SO4_AS,    sulphate_wet_accumulation,                   2.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
6,      AS,   BC_AS,   BC_AS,     black_carbon_wet_accumulation,               3.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
7,      AS,   POM_AS,  POM_AS,    particulate_organic_matter_wet_accumulation, 4.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
8,      AS,   SS_AS,   SS_AS,     seasalt_wet_accumulation,                    5.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
9,      AS,   DU_AS,   DU_AS,     dust_wet_accumulation,                       6.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
10,     SOA,  SOA_NS,  SOA_NS,    SOA_wet_nucleation,                          7.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
11,     SOA,  SOA_KS,  SOA_KS,    SOA_wet_Aitken,                              8.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
12,     SOA,  SOA_AS,  SOA_AS,    SOA_wet_accumulation,                        9.212,  1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
13,     SOA,  SOA_CS,  SOA_CS,    SOA_wet_coarse,                              10.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
14,     SOA,  SOA_KI,  SOA_KI,    SOA_dry_Aitken,                              11.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
15,     H2O,  H2OPART, H2OPART,   H2O_particule_TBC,                           12.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
16,     KI,   KI_N,    KI_N,      number_dry_aitken,                           13.212, 50.215,  52.215,  54.215,  56.215,  58.215,  60.215,  62.215,  64.215,  true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
17,     KI,   BC_KI,   BC_KI,     black_carbon_dry_aitken,                     14.212, 65.215,  67.215,  69.215,  71.215,  73.215,  75.215,  77.215,  79.215,  true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
18,     KI,   POM_KI,  POM_KI,    particulate_organic_matter_dry_aitken,       15.212, 49.215,  51.215,  53.215,  55.215,  57.215,  59.215,  61.215,  63.215,  true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
19,     AI,   AI_N,    AI_N,      number_dry_accumulation,                     16.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
20,     AI,   DU_AI,   DU_AI,     dust_dry_accumulation,                       17.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
21,     KS,   KS_N,    KS_N,      number_wet_aitken,                           18.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
22,     KS,   SO4_KS,  SO4_KS,    sulfate_wet_aitken,                          19.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
23,     KS,   BC_KS,   BC_KS,     black_carbon_wet_aitken,                     20.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
24,     KS,   POM_KS,  POM_KS,    particulate_organic_matter_wet_aitken,       21.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
25,     CI,   CI_N,    CI_N,      number_dry_coarse,                           22.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
26,     CI,   DU_CI,   DU_CI,     dust_dry_coarse,                             23.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
27,     CS,   CS_N,    CS_N,      number_wet_coarse,                           24.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
28,     CS,   SO4_CS,  SO4_CS,    sulfate_wet_coarse,                          25.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
29,     CS,   BC_CS,   BC_CS,     black_carbon_wet_coarse,                     26.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
30,     CS,   POM_CS,  POM_CS,    particulate_organic_matter_wet_coarse,       27.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
31,     CS,   SS_CS,   SS_CS,     seasalt_wet_coarse,                          28.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
32,     CS,   DU_CS,   DU_CS,     dust_wet_coarse,                             29.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
33,     NS,   NS_N,    NS_N,      number_wet_nucleation,                       30.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
34,     NS,   SO4_NS,  SO4_NS,    sulphate_wet_nucleation,                     31.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
35,     VOC,  ELVOC,   ELVOC,     extremely_low_volatile_OC,                   32.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
36,     VOC,  ISVOC,   ISVOC,     semi_volatile_OC,                            33.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
37,     MSA,  MSA,     MSA,       methyl_sulphonic_acid,                       34.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
38,     CDNC, CDNC,    CDNC,      cloud_droplet_number_conc,                   37.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
39,     ICNC, ICNC,    ICNC,      ice_crystal_number_conc,                     38.212, 1.215,   1.215,   1.215,   1.215,   1.215,   1.215,   2.215,   2.215,   true,   1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8,    0.0001,  0.005,   m7opt,    m7hyg,    1
