number,wavelength,gribaod,gribaodabs,gribaodfm,gribssa,gribassimetry
1,550,207.210,104.215,122.215,140.215,158.215
2,340,217.210,96.215,114.215,132.215,150.215
3,355,218.210,97.215,115.215,133.215,151.215
4,380,219.210,98.215,116.215,134.215,152.215
5,400,220.210,99.215,117.215,135.215,153.215
6,440,221.210,100.215,118.215,136.215,154.215
7,469,213.210,101.215,119.215,137.215,155.215
8,500,222.210,102.215,120.215,138.215,156.215
9,532,223.210,103.215,121.215,139.215,157.215
10,645,224.210,105.215,123.215,141.215,159.215
11,670,214.210,106.215,124.215,142.215,160.215
12,800,225.210,107.215,125.215,143.215,161.215
13,858,226.210,108.215,126.215,144.215,162.215
14,865,215.210,109.215,127.215,145.215,163.215
15,1020,227.210,110.215,128.215,146.215,164.215
16,1064,228.210,111.215,129.215,147.215,165.215
17,1240,216.210,112.215,130.215,148.215,166.215
18,1640,229.210,113.215,131.215,149.215,167.215
19,2130,230.210,176.215,177.215,178.215,179.215
20,10000,8.216,9.216,10.216,11.216,12.216
