variable,native_name,unit,coordinate_time,coordinate_lat,coordinate_lon,coordinate_lev,description
absae370-950,absae370-950,unitless,time,latitude,longitude,unknown,angstrom exponent between 370 and 950 nm for total particulate absorption
absco370,absco370,Mm-1,time,latitude,longitude,unknown,total particulate aerosol absorption coefficient at 370nm
absco470,absco470,Mm-1,time,latitude,longitude,unknown,total particulate aerosol absorption coefficient at 470nm
absco520,absco520,Mm-1,time,latitude,longitude,unknown,total particulate aerosol absorption coefficient at 520nm
absco528,absco528,Mm-1,time,latitude,longitude,unknown,total particulate aerosol absorption coefficient at 528nm
absco637,absco637,Mm-1,time,latitude,longitude,unknown,total particulate aerosol absorption coefficient at 637nm
absco652,absco652,Mm-1,time,latitude,longitude,unknown,total particulate aerosol absorption coefficient at 652nm
absco880,absco880,Mm-1,time,latitude,longitude,unknown,total particulate aerosol absorption coefficient at 880nm
asy525,asy525,unitless,time,latitude,longitude,unknown,total particulate asymmetry factor at 525nm
lbsco450,lbsco450,Mm-1,time,latitude,longitude,unknown,total particulate aerosol light backscattering coefficient at 450nm
lbsco550,lbsco550,Mm-1,time,latitude,longitude,unknown,total particulate aerosol light backscattering coefficient at 550nm
lbsf450,lbsf450,unitless,time,latitude,longitude,unknown,total particulate aerosol light backscattering fraction at 450nm
lbsf550,lbsf550,unitless,time,latitude,longitude,unknown,total particulate aerosol light backscattering fraction at 550nm
lsae450-700,lsae450-700,unitless,time,latitude,longitude,unknown,angstrom exponent between 450 and 700 nm for total particulate scattering
pm10absae370-950,pm10absae370-950,unitless,time,latitude,longitude,unknown,angstrom exponent between 370 and 950 nm for PM10 absorption
pm10absco370,pm10absco370,Mm-1,time,latitude,longitude,unknown,PM10 aerosol absorption coefficient at 370nm
pm10absco470,pm10absco470,Mm-1,time,latitude,longitude,unknown,PM10 aerosol absorption coefficient at 470nm
pm10absco520,pm10absco520,Mm-1,time,latitude,longitude,unknown,PM10 aerosol absorption coefficient at 520nm
pm10absco522,pm10absco522,Mm-1,time,latitude,longitude,unknown,PM10 aerosol absorption coefficient at 522nm
pm10absco528,pm10absco528,Mm-1,time,latitude,longitude,unknown,PM10 aerosol absorption coefficient at 528nm
pm10absco880,pm10absco880,Mm-1,time,latitude,longitude,unknown,PM10 aerosol absorption coefficient at 880nm
pm10lbsco450,pm10lbsco450,Mm-1,time,latitude,longitude,unknown,PM10 aerosol light backscattering coefficient at 450nm
pm10lbsco550,pm10lbsco550,Mm-1,time,latitude,longitude,unknown,PM10 aerosol light backscattering coefficient at 550nm
pm10lbsf550,pm10lbsf550,unitless,time,latitude,longitude,unknown,PM10 aerosol light backscattering fraction at 550nm
pm10lsco450,pm10lsco450,Mm-1,time,latitude,longitude,unknown,PM10 aerosol light scattering coefficient at 450nm
pm10lsco550,pm10lsco550,Mm-1,time,latitude,longitude,unknown,PM10 aerosol light scattering coefficient at 550nm
pm1absae467-652,pm1absae467-652,unitless,time,latitude,longitude,unknown,angstrom exponent between 467 and 652 nm for PM1 absorption
pm1absae467-660,pm1absae467-660,unitless,time,latitude,longitude,unknown,angstrom exponent between 467 and 660 nm for PM1 absorption
pm1absco370,pm1absco370,Mm-1,time,latitude,longitude,unknown,PM1 aerosol absorption coefficient at 370nm
pm1absco470,pm1absco470,Mm-1,time,latitude,longitude,unknown,PM1 aerosol absorption coefficient at 470nm
pm1absco652,pm1absco652,Mm-1,time,latitude,longitude,unknown,PM1 aerosol absorption coefficient at 652nm
pm1absco660,pm1absco660,Mm-1,time,latitude,longitude,unknown,PM1 aerosol absorption coefficient at 660nm
pm1lbsco450,pm1lbsco450,Mm-1,time,latitude,longitude,unknown,PM1 aerosol light backscattering coefficient at 450nm
pm1lsco450,pm1lsco450,Mm-1,time,latitude,longitude,unknown,PM1 aerosol light scattering coefficient at 450nm
pm1lsco550,pm1lsco550,Mm-1,time,latitude,longitude,unknown,PM1 aerosol light scattering coefficient at 550nm
pm2p5absae370-880,pm2p5absae370-880,unitless,time,latitude,longitude,unknown,angstrom exponent between 370 and 880 nm for PM2.5 absorption
pm2p5absco467,pm2p5absco467,Mm-1,time,latitude,longitude,unknown,PM2.5 aerosol absorption coefficient at 467nm
pm2p5absco590,pm2p5absco590,Mm-1,time,latitude,longitude,unknown,PM2.5 aerosol absorption coefficient at 590nm
pm2p5absco670,pm2p5absco670,Mm-1,time,latitude,longitude,unknown,PM2.5 aerosol absorption coefficient at 670nm
pm2p5lbsco700,pm2p5lbsco700,Mm-1,time,latitude,longitude,unknown,PM2.5 aerosol light backscattering coefficient at 700nm
pm2p5lbsf450,pm2p5lbsf450,unitless,time,latitude,longitude,unknown,PM2.5 aerosol light backscattering fraction at 450nm
pm2p5lbsf550,pm2p5lbsf550,unitless,time,latitude,longitude,unknown,PM2.5 aerosol light backscattering fraction at 550nm
pm2p5lsco450,pm2p5lsco450,Mm-1,time,latitude,longitude,unknown,PM2.5 aerosol light scattering coefficient at 450nm
precal,precal,ug l-1,time,latitude,longitude,unknown,aluminium in precipitation
precpb,precpb,ug l-1,time,latitude,longitude,unknown,lead in precipitation
wetk,wetk,ug m-2 min-1,time,latitude,longitude,unknown,potassium wet deposition flux
wetna,wetna,ug m-2 min-1,time,latitude,longitude,unknown,sodium wet deposition flux
wetnh4,wetnh4,ug m-2 min-1,time,latitude,longitude,unknown,ammonium wet deposition flux
wetni,wetni,ng m-2 min-1,time,latitude,longitude,unknown,nickel wet deposition flux
wetso4,wetso4,ug m-2 min-1,time,latitude,longitude,unknown,sulphate wet deposition flux
