variable,native_name,unit,coordinate_time,coordinate_lat,coordinate_lon,coordinate_lev,description
PM10_ammonium_density,PM10_ammonium_density,ug/m3,time,latitude,longitude,unknown,
PM10_calcium_density,PM10_calcium_density,ug/m3,time,latitude,longitude,unknown,
PM10_chloride_density,PM10_chloride_density,ug/m3,time,latitude,longitude,unknown,
PM10_density,PM10_density,ug/m3,time,latitude,longitude,unknown,
PM10_elemental_carbon_as_carbon_density,PM10_elemental_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM10_iron_density,PM10_iron_density,ug/m3,time,latitude,longitude,unknown,
PM10_lead_density,PM10_lead_density,ug/m3,time,latitude,longitude,unknown,
PM10_manganese_density,PM10_manganese_density,ug/m3,time,latitude,longitude,unknown,
PM10_nitrate_as_nitrogen_density,PM10_nitrate_as_nitrogen_density,ug N/m3,time,latitude,longitude,unknown,
PM10_nitrate_density,PM10_nitrate_density,ug/m3,time,latitude,longitude,unknown,
PM10_organic_carbon_as_carbon_density,PM10_organic_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM10_sodium_density,PM10_sodium_density,ug/m3,time,latitude,longitude,unknown,
PM10_sulphate_corrected_as_sulphur_density,PM10_sulphate_corrected_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM10_sulphate_corrected_density,PM10_sulphate_corrected_density,ug/m3,time,latitude,longitude,unknown,
PM10_total_carbon_as_carbon_density,PM10_total_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM10_total_sulphate_as_sulphur_density,PM10_total_sulphate_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM10_total_sulphate_density,PM10_total_sulphate_density,ug/m3,time,latitude,longitude,unknown,
PM1_density,PM1_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_ammonium_density,PM2.5_ammonium_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_calcium_density,PM2.5_calcium_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_chloride_density,PM2.5_chloride_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_density,PM2.5_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_elemental_carbon_as_carbon_density,PM2.5_elemental_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM2.5_lead_density,PM2.5_lead_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_nitrate_as_nitrogen_density,PM2.5_nitrate_as_nitrogen_density,ug N/m3,time,latitude,longitude,unknown,
PM2.5_nitrate_density,PM2.5_nitrate_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_organic_carbon_as_carbon_density,PM2.5_organic_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM2.5_sodium_density,PM2.5_sodium_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_sulphate_corrected_as_sulphur_density,PM2.5_sulphate_corrected_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM2.5_sulphate_corrected_density,PM2.5_sulphate_corrected_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_total_carbon_as_carbon_density,PM2.5_total_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM2.5_total_sulphate_as_sulphur_density,PM2.5_total_sulphate_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM2.5_total_sulphate_density,PM2.5_total_sulphate_density,ug/m3,time,latitude,longitude,unknown,
ammonia_density,ammonia_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_ammonium_density,dry_aerosol_ammonium_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_calcium_density,dry_aerosol_calcium_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_chloride_density,dry_aerosol_chloride_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_iron_density,dry_aerosol_iron_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_nitrate_as_nitrogen_density,dry_aerosol_nitrate_as_nitrogen_density,ug N/m3,time,latitude,longitude,unknown,
dry_aerosol_nitrate_density,dry_aerosol_nitrate_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_sodium_density,dry_aerosol_sodium_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_sulphate_corrected_as_sulphur_density,dry_aerosol_sulphate_corrected_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
dry_aerosol_sulphate_corrected_density,dry_aerosol_sulphate_corrected_density,ug/m3,time,latitude,longitude,unknown,
dry_aerosol_total_sulphate_as_sulphur_density,dry_aerosol_total_sulphate_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
nitric_acid_density,nitric_acid_density,ug/m3,time,latitude,longitude,unknown,
nitrogen_dioxide_density,nitrogen_dioxide_density,ug/m3,time,latitude,longitude,unknown,
pressure,pressure,hPa,time,latitude,longitude,unknown,
sulphur_dioxide_density,sulphur_dioxide_density,ug/m3,time,latitude,longitude,unknown,
temperature,temperature,K,time,latitude,longitude,unknown,
