variable,native_name,unit,coordinate_time,coordinate_lat,coordinate_lon,coordinate_lev,description
NOx_as_nitrogen_density,NOx_as_nitrogen_density,ug N/m3,time,latitude,longitude,unknown,
NOx_mole_fraction,NOx_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
PM10_ammonium_density,PM10_ammonium_density,ug/m3,time,latitude,longitude,unknown,
PM10_calcium_density,PM10_calcium_density,ug/m3,time,latitude,longitude,unknown,
PM10_chloride_density,PM10_chloride_density,ug/m3,time,latitude,longitude,unknown,
PM10_density,PM10_density,ug/m3,time,latitude,longitude,unknown,
PM10_nitrate_as_nitrogen_density,PM10_nitrate_as_nitrogen_density,ug N/m3,time,latitude,longitude,unknown,
PM10_nitrate_density,PM10_nitrate_density,ug/m3,time,latitude,longitude,unknown,
PM10_sodium_density,PM10_sodium_density,ug/m3,time,latitude,longitude,unknown,
PM10_sulphate_corrected_as_sulphur_density,PM10_sulphate_corrected_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM10_sulphate_corrected_density,PM10_sulphate_corrected_density,ug/m3,time,latitude,longitude,unknown,
PM10_total_sulphate_as_sulphur_density,PM10_total_sulphate_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM10_total_sulphate_density,PM10_total_sulphate_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_ammonium_density,PM2.5_ammonium_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_calcium_density,PM2.5_calcium_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_chloride_density,PM2.5_chloride_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_density,PM2.5_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_elemental_carbon_as_carbon_density,PM2.5_elemental_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM2.5_nitrate_as_nitrogen_density,PM2.5_nitrate_as_nitrogen_density,ug N/m3,time,latitude,longitude,unknown,
PM2.5_nitrate_density,PM2.5_nitrate_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_organic_carbon_as_carbon_density,PM2.5_organic_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM2.5_sodium_density,PM2.5_sodium_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_sulphate_corrected_as_sulphur_density,PM2.5_sulphate_corrected_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM2.5_sulphate_corrected_density,PM2.5_sulphate_corrected_density,ug/m3,time,latitude,longitude,unknown,
PM2.5_total_carbon_as_carbon_density,PM2.5_total_carbon_as_carbon_density,ug C/m3,time,latitude,longitude,unknown,
PM2.5_total_sulphate_as_sulphur_density,PM2.5_total_sulphate_as_sulphur_density,ug S/m3,time,latitude,longitude,unknown,
PM2.5_total_sulphate_density,PM2.5_total_sulphate_density,ug/m3,time,latitude,longitude,unknown,
aerosol_absorption_coefficient,aerosol_absorption_coefficient,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_370nm,aerosol_absorption_coefficient_370nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_467nm,aerosol_absorption_coefficient_467nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_470nm,aerosol_absorption_coefficient_470nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_520nm,aerosol_absorption_coefficient_520nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_522nm,aerosol_absorption_coefficient_522nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_528nm,aerosol_absorption_coefficient_528nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_530nm,aerosol_absorption_coefficient_530nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_590nm,aerosol_absorption_coefficient_590nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_637nm,aerosol_absorption_coefficient_637nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_652nm,aerosol_absorption_coefficient_652nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_660nm,aerosol_absorption_coefficient_660nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_670nm,aerosol_absorption_coefficient_670nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_880nm,aerosol_absorption_coefficient_880nm,1/Mm,time,latitude,longitude,unknown,
aerosol_absorption_coefficient_950nm,aerosol_absorption_coefficient_950nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_backscattering_coefficient_450nm,aerosol_light_backscattering_coefficient_450nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_backscattering_coefficient_525nm,aerosol_light_backscattering_coefficient_525nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_backscattering_coefficient_550nm,aerosol_light_backscattering_coefficient_550nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_backscattering_coefficient_635nm,aerosol_light_backscattering_coefficient_635nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_backscattering_coefficient_700nm,aerosol_light_backscattering_coefficient_700nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_scattering_coefficient_450nm,aerosol_light_scattering_coefficient_450nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_scattering_coefficient_525nm,aerosol_light_scattering_coefficient_525nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_scattering_coefficient_550nm,aerosol_light_scattering_coefficient_550nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_scattering_coefficient_635nm,aerosol_light_scattering_coefficient_635nm,1/Mm,time,latitude,longitude,unknown,
aerosol_light_scattering_coefficient_700nm,aerosol_light_scattering_coefficient_700nm,1/Mm,time,latitude,longitude,unknown,
aerosol_optical_depth_1623nm,aerosol_optical_depth_1623nm,,time,latitude,longitude,unknown,
aerosol_optical_depth_1624nm,aerosol_optical_depth_1624nm,,time,latitude,longitude,unknown,
