# Site ID, Site Name, Latitude, Longitude, Altitude (m)
eu052801075n00,Site01,52.8,10.75,
eu04791791n00,Site02,47.91,7.91,
eu053161303n00,Site03,53.16,13.03,
eu05635960n00,Site04,56.35,9.6,
eu056711151n00,Site05,56.71,11.51,
eu055691208n00,Site06,55.69,12.08,
eu059772137n00,Site07,59.77,21.37,
eu060532766n00,Site08,60.53,27.66,
eu068002423n00,Site09,68.0,24.23,
eu05444787n00,Site10,54.44,-7.87,
eu05579324n00,Site11,55.79,-3.24,
eu05114143n00,Site12,51.14,-1.43,
eu046961958n00,Site13,46.96,19.58,
eu046911632n00,Site14,46.91,16.32,
eu056162117n00,Site15,56.16,21.17,
eu05838825n00,Site16,58.38,8.25,
eu065831391n00,Site17,65.83,13.91,
eu06278888n00,Site18,62.78,8.88,
eu078901188n00,Site19,78.9,11.88,
eu060371107n00,Site20,60.37,11.07,
eu078921192n00,Site21,78.92,11.92,
eu054152206n00,Site22,54.15,22.06,
eu063851533n00,Site23,63.85,15.33,
eu057391191n00,Site24,57.39,11.91,
eu056041314n00,Site25,56.04,13.14,
eu060081750n00,Site26,60.08,17.5,
eu049052226n00,Site27,49.05,22.26,
eu05635960n00,Site28,56.35,9.6,
eu056711151n00,Site29,56.71,11.51,
eu055691208n00,Site30,55.69,12.08,
eu060532766n00,Site31,60.53,27.66,
eu05444787n00,Site32,54.44,-7.87,
eu05579324n00,Site33,55.79,-3.24,
eu05114143n00,Site34,51.14,-1.43,
eu046961958n00,Site35,46.96,19.58,
eu046911632n00,Site36,46.91,16.32,
eu056162117n00,Site37,56.16,21.17,
eu05838825n00,Site38,58.38,8.25,
eu065831391n00,Site39,65.83,13.91,
eu06278888n00,Site40,62.78,8.88,
eu078901188n00,Site41,78.9,11.88,
eu060371107n00,Site42,60.37,11.07,
eu078921192n00,Site43,78.92,11.92,
eu054152206n00,Site44,54.15,22.06,
eu063851533n00,Site45,63.85,15.33,
eu057391191n00,Site46,57.39,11.91,
eu056041314n00,Site47,56.04,13.14,
eu060081750n00,Site48,60.08,17.5,
eu049052226n00,Site49,49.05,22.26,
